,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2008,Brasília,Bauru,30/01/2009 20:00,2ª RODADA,1º TURNO,casa,vitória,11,Arthur,33.7,17,5,32,11,2,4,3,7,5,6,2,3,5,2,1,1,3,0,1,0,12
1,2008,Brasília,Bauru,30/01/2009 20:00,2ª RODADA,1º TURNO,casa,vitória,11,Alex,30.9,16,6,38,13,2,7,4,6,2,5,0,6,6,5,2,2,0,0,0,0,15
2,2008,Brasília,Bauru,30/01/2009 20:00,2ª RODADA,1º TURNO,casa,vitória,11,Cipriano,25.8,14,5,30,10,0,2,5,8,4,8,4,4,8,1,1,0,4,0,4,0,13
3,2008,Brasília,Bauru,30/01/2009 20:00,2ª RODADA,1º TURNO,casa,vitória,11,Mineiro,16.2,8,4,12,6,0,0,4,6,0,0,0,3,3,0,0,1,1,0,3,0,9
4,2008,Brasília,Bauru,30/01/2009 20:00,2ª RODADA,1º TURNO,casa,vitória,11,Diego,22.6,7,3,16,7,1,2,2,5,0,0,0,2,2,0,2,0,4,0,0,0,7
5,2008,Brasília,Bauru,30/01/2009 20:00,2ª RODADA,1º TURNO,casa,vitória,11,Valtinho,29.8,6,2,23,8,0,5,2,3,2,2,1,4,5,5,1,0,2,0,3,0,11
6,2008,Brasília,Bauru,30/01/2009 20:00,2ª RODADA,1º TURNO,casa,vitória,11,David,6.9,4,2,6,3,0,0,2,3,0,0,2,2,4,0,0,0,0,0,1,0,2
7,2008,Brasília,Bauru,30/01/2009 20:00,2ª RODADA,1º TURNO,casa,vitória,11,Ratto,12.4,4,2,9,4,0,1,2,3,0,0,0,1,1,0,0,0,2,0,2,0,6
8,2008,Brasília,Bauru,30/01/2009 20:00,2ª RODADA,1º TURNO,casa,vitória,11,Erik,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2008,Brasília,Bauru,30/01/2009 20:00,2ª RODADA,1º TURNO,casa,vitória,11,Tchielo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2008,Brasília,Bauru,30/01/2009 20:00,2ª RODADA,1º TURNO,casa,vitória,11,Rossi,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2008,Brasília,Bauru,30/01/2009 20:00,2ª RODADA,1º TURNO,casa,vitória,11,Estevão,21.5,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,2,0,1,0,1
12,2008,Brasília,Bauru,30/01/2009 20:00,2ª RODADA,1º TURNO,casa,vitória,11,Equipe,0.0,76,29,166,62,5,21,24,41,13,21,9,29,38,13,7,6,18,0,15,0,76
0,2008,Bauru,Brasília,30/01/2009 20:00,2ª RODADA,1º TURNO,fora,derrota,-11,Larry Taylor,36.7,22,8,47,18,0,3,8,15,6,8,2,7,9,4,2,0,4,0,0,0,19
1,2008,Bauru,Brasília,30/01/2009 20:00,2ª RODADA,1º TURNO,fora,derrota,-11,Alex,38.2,14,5,34,12,2,4,3,8,2,6,0,2,2,0,0,0,2,0,4,0,18
2,2008,Bauru,Brasília,30/01/2009 20:00,2ª RODADA,1º TURNO,fora,derrota,-11,Ricardo,33.5,10,3,28,9,2,6,1,3,2,4,0,5,5,1,1,0,3,0,4,0,15
3,2008,Bauru,Brasília,30/01/2009 20:00,2ª RODADA,1º TURNO,fora,derrota,-11,Mãozão,22.9,7,3,7,3,0,0,3,3,1,1,1,3,4,0,0,0,3,0,2,0,4
4,2008,Bauru,Brasília,30/01/2009 20:00,2ª RODADA,1º TURNO,fora,derrota,-11,Daniel Filé,25.4,6,3,16,8,0,0,3,8,0,0,3,3,6,0,0,2,1,0,1,1,6
5,2008,Bauru,Brasília,30/01/2009 20:00,2ª RODADA,1º TURNO,fora,derrota,-11,F. Fischer,25.4,6,2,21,7,1,5,1,2,1,2,0,1,1,0,1,0,3,0,1,0,9
6,2008,Bauru,Brasília,30/01/2009 20:00,2ª RODADA,1º TURNO,fora,derrota,-11,Otávio,17.9,0,0,8,3,0,2,0,1,0,0,0,2,2,0,0,0,3,0,0,0,3
7,2008,Bauru,Brasília,30/01/2009 20:00,2ª RODADA,1º TURNO,fora,derrota,-11,Renato,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2008,Bauru,Brasília,30/01/2009 20:00,2ª RODADA,1º TURNO,fora,derrota,-11,Everton,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2008,Bauru,Brasília,30/01/2009 20:00,2ª RODADA,1º TURNO,fora,derrota,-11,Gui Deodato,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2008,Bauru,Brasília,30/01/2009 20:00,2ª RODADA,1º TURNO,fora,derrota,-11,Equipe,0.0,65,24,161,60,5,20,19,40,12,21,6,23,29,5,4,2,19,0,12,1,74
