,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2008,Joinville,Sesi Franca,22/04/2009 20:00,24ª RODADA,2º TURNO,casa,vitória,20,J. Sobral,27.6,19,7,36,13,3,8,4,5,2,2,1,3,4,3,3,0,1,0,1,2,14
1,2008,Joinville,Sesi Franca,22/04/2009 20:00,24ª RODADA,2º TURNO,casa,vitória,20,A. Williams,30.5,16,6,33,13,2,5,4,8,2,2,2,1,3,4,4,1,1,0,3,0,15
2,2008,Joinville,Sesi Franca,22/04/2009 20:00,24ª RODADA,2º TURNO,casa,vitória,20,André,32.7,13,4,29,9,2,5,2,4,3,6,1,3,4,0,1,0,1,0,3,0,13
3,2008,Joinville,Sesi Franca,22/04/2009 20:00,24ª RODADA,2º TURNO,casa,vitória,20,Viegas,23.8,9,3,11,4,3,3,0,1,0,0,0,3,3,4,0,0,3,0,1,0,5
4,2008,Joinville,Sesi Franca,22/04/2009 20:00,24ª RODADA,2º TURNO,casa,vitória,20,Shilton,34.8,9,3,18,7,0,0,3,7,3,4,2,10,12,2,2,0,2,0,2,1,9
5,2008,Joinville,Sesi Franca,22/04/2009 20:00,24ª RODADA,2º TURNO,casa,vitória,20,Olivia,16.5,6,2,9,3,1,2,1,1,1,1,0,3,3,0,1,0,2,0,0,0,3
6,2008,Joinville,Sesi Franca,22/04/2009 20:00,24ª RODADA,2º TURNO,casa,vitória,20,Espiga,9.0,4,2,7,3,0,1,2,2,0,0,0,1,1,1,0,0,0,0,1,0,4
7,2008,Joinville,Sesi Franca,22/04/2009 20:00,24ª RODADA,2º TURNO,casa,vitória,20,Tiagão,13.8,3,1,12,4,0,3,1,1,1,1,1,2,3,2,0,0,3,0,3,0,6
8,2008,Joinville,Sesi Franca,22/04/2009 20:00,24ª RODADA,2º TURNO,casa,vitória,20,Rômulo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2008,Joinville,Sesi Franca,22/04/2009 20:00,24ª RODADA,2º TURNO,casa,vitória,20,Fábio Catarina,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
