,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2008,Brasília,Flamengo,01/05/2009 17:00,27ª RODADA,2º TURNO,casa,derrota,-8,Alex Garcia,38.0,24,8,51,17,3,10,5,7,5,7,0,4,4,4,3,2,5,0,4,2,24
1,2008,Brasília,Flamengo,01/05/2009 17:00,27ª RODADA,2º TURNO,casa,derrota,-8,Arthur,34.1,23,7,47,16,4,9,3,7,5,6,0,2,2,0,0,0,4,0,2,0,20
2,2008,Brasília,Flamengo,01/05/2009 17:00,27ª RODADA,2º TURNO,casa,derrota,-8,Ratto,39.4,17,4,26,7,2,4,2,3,7,8,1,5,6,8,2,0,5,0,2,0,11
3,2008,Brasília,Flamengo,01/05/2009 17:00,27ª RODADA,2º TURNO,casa,derrota,-8,Estevão,17.5,10,4,12,5,0,0,4,5,2,2,1,4,5,0,1,0,3,0,0,0,5
4,2008,Brasília,Flamengo,01/05/2009 17:00,27ª RODADA,2º TURNO,casa,derrota,-8,Diego,21.7,7,2,23,7,0,5,2,2,3,4,0,1,1,0,1,0,4,0,4,0,13
5,2008,Brasília,Flamengo,01/05/2009 17:00,27ª RODADA,2º TURNO,casa,derrota,-8,Erik,3.8,6,1,9,2,1,1,0,1,3,4,0,1,1,1,1,0,1,0,0,0,4
6,2008,Brasília,Flamengo,01/05/2009 17:00,27ª RODADA,2º TURNO,casa,derrota,-8,Cipriano,18.1,3,1,12,5,1,2,0,3,0,0,0,1,1,0,1,0,5,0,3,0,8
7,2008,Brasília,Flamengo,01/05/2009 17:00,27ª RODADA,2º TURNO,casa,derrota,-8,Rossi,2.0,2,1,5,2,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,3
8,2008,Brasília,Flamengo,01/05/2009 17:00,27ª RODADA,2º TURNO,casa,derrota,-8,Pureza,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2008,Brasília,Flamengo,01/05/2009 17:00,27ª RODADA,2º TURNO,casa,derrota,-8,Tchielo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2008,Brasília,Flamengo,01/05/2009 17:00,27ª RODADA,2º TURNO,casa,derrota,-8,Mineiro,8.9,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0,0,0,0
11,2008,Brasília,Flamengo,01/05/2009 17:00,27ª RODADA,2º TURNO,casa,derrota,-8,David,16.5,0,0,4,2,0,0,0,2,0,0,0,2,2,0,1,0,5,0,1,0,3
12,2008,Brasília,Flamengo,01/05/2009 17:00,27ª RODADA,2º TURNO,casa,derrota,-8,Equipe,0.0,92,28,189,63,11,32,17,31,25,31,2,22,24,13,10,2,39,0,17,2,90
0,2008,Flamengo,Brasília,01/05/2009 17:00,27ª RODADA,2º TURNO,fora,vitória,8,Marcelinho,40.0,27,5,55,15,1,6,4,9,16,19,1,5,6,2,5,1,2,0,1,0,23
1,2008,Flamengo,Brasília,01/05/2009 17:00,27ª RODADA,2º TURNO,fora,vitória,8,Babby,29.2,20,9,30,12,0,0,9,12,2,6,2,10,12,1,2,1,5,0,3,2,15
2,2008,Flamengo,Brasília,01/05/2009 17:00,27ª RODADA,2º TURNO,fora,vitória,8,Hélio,31.5,20,7,26,9,3,4,4,5,3,4,4,4,8,2,0,0,4,0,2,0,9
3,2008,Flamengo,Brasília,01/05/2009 17:00,27ª RODADA,2º TURNO,fora,vitória,8,Duda,27.8,11,3,26,7,2,6,1,1,3,6,0,2,2,6,1,0,4,0,3,0,12
4,2008,Flamengo,Brasília,01/05/2009 17:00,27ª RODADA,2º TURNO,fora,vitória,8,Wagner,15.0,8,0,12,0,0,0,0,0,8,12,1,1,2,1,0,0,3,0,2,0,6
5,2008,Flamengo,Brasília,01/05/2009 17:00,27ª RODADA,2º TURNO,fora,vitória,8,Jefferson,25.0,7,2,25,8,1,7,1,1,2,2,0,3,3,1,1,1,3,0,2,0,11
