,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2008,Minas,Bauru,20/05/2009 19:00,3ª RODADA,QUARTAS,casa,vitória,1,Murilo,35.6,23,7,31,10,1,2,6,8,8,9,1,7,8,0,0,1,3,0,5,0,18
1,2008,Minas,Bauru,20/05/2009 19:00,3ª RODADA,QUARTAS,casa,vitória,1,Sucatzky,34.3,20,8,36,15,4,6,4,9,0,0,0,3,3,5,0,0,1,0,0,0,15
2,2008,Minas,Bauru,20/05/2009 19:00,3ª RODADA,QUARTAS,casa,vitória,1,Shipp,35.0,16,6,32,12,0,3,6,9,4,5,1,2,3,3,1,0,2,0,4,1,17
3,2008,Minas,Bauru,20/05/2009 19:00,3ª RODADA,QUARTAS,casa,vitória,1,Luiz Felipe,20.3,6,2,15,5,2,5,0,0,0,0,0,1,1,1,2,0,2,0,0,0,5
4,2008,Minas,Bauru,20/05/2009 19:00,3ª RODADA,QUARTAS,casa,vitória,1,Ricardo Probst,32.7,4,2,14,6,0,2,2,4,0,0,3,5,8,0,0,0,2,0,2,0,5
5,2008,Minas,Bauru,20/05/2009 19:00,3ª RODADA,QUARTAS,casa,vitória,1,Soró,18.8,3,1,14,5,0,2,1,3,1,2,1,3,4,2,0,0,2,0,2,0,7
6,2008,Minas,Bauru,20/05/2009 19:00,3ª RODADA,QUARTAS,casa,vitória,1,Charles,11.7,3,1,11,4,1,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,4
7,2008,Minas,Bauru,20/05/2009 19:00,3ª RODADA,QUARTAS,casa,vitória,1,Rodrigo Silva,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2008,Minas,Bauru,20/05/2009 19:00,3ª RODADA,QUARTAS,casa,vitória,1,Davis,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2008,Minas,Bauru,20/05/2009 19:00,3ª RODADA,QUARTAS,casa,vitória,1,Andre,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2008,Minas,Bauru,20/05/2009 19:00,3ª RODADA,QUARTAS,casa,vitória,1,Leandro Silva,8.3,0,0,8,3,0,2,0,1,0,0,0,4,4,0,0,0,2,0,0,0,3
11,2008,Minas,Bauru,20/05/2009 19:00,3ª RODADA,QUARTAS,casa,vitória,1,Hubner,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2008,Minas,Bauru,20/05/2009 19:00,3ª RODADA,QUARTAS,casa,vitória,1,Equipe,0.0,75,27,161,60,8,25,19,35,13,16,6,26,32,11,4,1,14,0,13,1,73
0,2008,Bauru,Minas,20/05/2009 19:00,3ª RODADA,QUARTAS,fora,derrota,-1,Larry Taylor,36.2,30,11,52,20,4,8,7,12,4,4,0,3,3,5,3,0,1,0,4,0,26
1,2008,Bauru,Minas,20/05/2009 19:00,3ª RODADA,QUARTAS,fora,derrota,-1,F. Fischer,36.0,21,8,44,16,4,10,4,6,1,2,1,5,6,1,2,0,1,0,0,0,16
2,2008,Bauru,Minas,20/05/2009 19:00,3ª RODADA,QUARTAS,fora,derrota,-1,Mãozão,25.9,10,4,14,6,0,0,4,6,2,2,1,4,5,0,0,0,3,0,2,0,8
3,2008,Bauru,Minas,20/05/2009 19:00,3ª RODADA,QUARTAS,fora,derrota,-1,Alex,32.8,7,3,26,10,1,6,2,4,0,0,1,3,4,1,0,1,2,0,3,0,12
4,2008,Bauru,Minas,20/05/2009 19:00,3ª RODADA,QUARTAS,fora,derrota,-1,Gaúcho,13.4,4,2,11,5,0,1,2,4,0,0,0,2,2,2,0,1,0,0,1,0,6
5,2008,Bauru,Minas,20/05/2009 19:00,3ª RODADA,QUARTAS,fora,derrota,-1,Renato,11.1,2,1,17,7,0,3,1,4,0,0,4,0,4,0,0,0,3,0,0,0,3
6,2008,Bauru,Minas,20/05/2009 19:00,3ª RODADA,QUARTAS,fora,derrota,-1,Daniel Filé,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,2008,Bauru,Minas,20/05/2009 19:00,3ª RODADA,QUARTAS,fora,derrota,-1,Otávio,17.5,0,0,9,4,0,1,0,3,0,0,3,4,7,0,0,0,1,0,2,0,3
8,2008,Bauru,Minas,20/05/2009 19:00,3ª RODADA,QUARTAS,fora,derrota,-1,Ricardo,19.0,0,0,10,3,0,2,0,1,0,2,2,2,4,0,0,0,1,0,0,0,2
9,2008,Bauru,Minas,20/05/2009 19:00,3ª RODADA,QUARTAS,fora,derrota,-1,Gui Deodato,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2008,Bauru,Minas,20/05/2009 19:00,3ª RODADA,QUARTAS,fora,derrota,-1,Equipe,0.0,74,29,183,71,9,31,20,40,7,10,12,23,35,9,5,2,13,0,12,0,75
