,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2008,Pinheiros,Saldanha,27/02/2009 20:00,9ª RODADA,1º TURNO,casa,vitória,8,Olivinha,39.4,20,5,40,12,2,5,3,7,8,11,2,11,13,0,3,0,3,0,1,0,15
1,2008,Pinheiros,Saldanha,27/02/2009 20:00,9ª RODADA,1º TURNO,casa,vitória,8,Marquinhos,34.0,19,5,40,12,2,7,3,5,7,9,0,2,2,3,1,0,2,0,8,0,24
2,2008,Pinheiros,Saldanha,27/02/2009 20:00,9ª RODADA,1º TURNO,casa,vitória,8,Benite,37.9,14,5,33,12,1,4,4,8,3,5,0,3,3,3,1,1,3,0,1,0,15
3,2008,Pinheiros,Saldanha,27/02/2009 20:00,9ª RODADA,1º TURNO,casa,vitória,8,Fusco,19.7,8,1,21,5,1,3,0,2,5,8,2,3,5,5,0,0,2,0,3,0,9
4,2008,Pinheiros,Saldanha,27/02/2009 20:00,9ª RODADA,1º TURNO,casa,vitória,8,Filipin,10.6,8,2,13,4,1,2,1,2,3,3,3,2,5,1,0,0,2,0,1,0,3
5,2008,Pinheiros,Saldanha,27/02/2009 20:00,9ª RODADA,1º TURNO,casa,vitória,8,Josuel,32.3,7,2,11,4,0,0,2,4,3,3,1,6,7,2,0,1,3,0,1,0,5
6,2008,Pinheiros,Saldanha,27/02/2009 20:00,9ª RODADA,1º TURNO,casa,vitória,8,Daniel Conti,7.8,4,2,9,4,0,1,2,3,0,0,0,0,0,0,0,0,2,0,1,0,5
7,2008,Pinheiros,Saldanha,27/02/2009 20:00,9ª RODADA,1º TURNO,casa,vitória,8,Thiaguinho,2.5,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,2008,Pinheiros,Saldanha,27/02/2009 20:00,9ª RODADA,1º TURNO,casa,vitória,8,Morro,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2008,Pinheiros,Saldanha,27/02/2009 20:00,9ª RODADA,1º TURNO,casa,vitória,8,Bruno Mortari,15.4,0,0,5,2,0,1,0,1,0,0,1,1,2,0,0,0,0,0,1,0,2
10,2008,Pinheiros,Saldanha,27/02/2009 20:00,9ª RODADA,1º TURNO,casa,vitória,8,Brunão,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2008,Pinheiros,Saldanha,27/02/2009 20:00,9ª RODADA,1º TURNO,casa,vitória,8,R. Piru,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2008,Pinheiros,Saldanha,27/02/2009 20:00,9ª RODADA,1º TURNO,casa,vitória,8,Equipe,0.0,83,23,175,56,8,24,15,32,29,39,9,28,37,14,5,2,17,0,17,0,80
0,2008,Saldanha,Pinheiros,27/02/2009 20:00,9ª RODADA,1º TURNO,fora,derrota,-8,Casé,29.6,20,5,33,10,3,5,2,5,7,8,0,1,1,3,1,1,4,0,3,0,16
1,2008,Saldanha,Pinheiros,27/02/2009 20:00,9ª RODADA,1º TURNO,fora,derrota,-8,Roberto,27.0,16,7,18,8,0,0,7,8,2,2,2,4,6,0,3,1,3,0,0,1,7
2,2008,Saldanha,Pinheiros,27/02/2009 20:00,9ª RODADA,1º TURNO,fora,derrota,-8,Eddy,38.8,15,6,40,16,3,7,3,9,0,1,1,6,7,2,4,0,5,0,2,1,17
3,2008,Saldanha,Pinheiros,27/02/2009 20:00,9ª RODADA,1º TURNO,fora,derrota,-8,João,24.4,10,4,27,10,1,5,3,5,1,2,0,0,0,2,2,0,1,0,1,0,12
4,2008,Saldanha,Pinheiros,27/02/2009 20:00,9ª RODADA,1º TURNO,fora,derrota,-8,Marcelo,25.7,8,4,16,8,0,0,4,8,0,0,1,6,7,0,0,0,4,0,2,0,9
5,2008,Saldanha,Pinheiros,27/02/2009 20:00,9ª RODADA,1º TURNO,fora,derrota,-8,Felipe,19.2,4,2,12,6,0,0,2,6,0,0,0,1,1,1,0,0,4,0,2,0,8
6,2008,Saldanha,Pinheiros,27/02/2009 20:00,9ª RODADA,1º TURNO,fora,derrota,-8,Gustavo,9.6,2,1,8,3,0,2,1,1,0,0,1,1,2,1,1,0,2,0,1,0,3
7,2008,Saldanha,Pinheiros,27/02/2009 20:00,9ª RODADA,1º TURNO,fora,derrota,-8,De Jesus,7.6,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,1,4,0,2,0,3
8,2008,Saldanha,Pinheiros,27/02/2009 20:00,9ª RODADA,1º TURNO,fora,derrota,-8,Rafinha,17.7,0,0,5,2,0,1,0,1,0,0,0,1,1,6,0,1,0,0,2,0,4
9,2008,Saldanha,Pinheiros,27/02/2009 20:00,9ª RODADA,1º TURNO,fora,derrota,-8,Matheus Freitas,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2008,Saldanha,Pinheiros,27/02/2009 20:00,9ª RODADA,1º TURNO,fora,derrota,-8,Equipe,0.0,75,29,161,64,7,20,22,44,10,13,5,20,25,16,11,4,27,0,15,2,79
