,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2009,Sesi Franca,Brasília,26/02/2010 20:00,17ª RODADA,2º TURNO,casa,vitória,9,Helinho,36.8,26,5,41,10,3,7,2,3,13,14,0,4,4,6,0,0,4,5,0,0,16
1,2009,Sesi Franca,Brasília,26/02/2010 20:00,17ª RODADA,2º TURNO,casa,vitória,9,Williams,25.4,17,8,23,10,0,0,8,10,1,3,1,5,6,0,2,1,3,3,1,0,11
2,2009,Sesi Franca,Brasília,26/02/2010 20:00,17ª RODADA,2º TURNO,casa,vitória,9,Rogério,39.1,13,4,35,13,2,5,2,8,3,4,2,5,7,2,0,1,0,2,1,0,14
3,2009,Sesi Franca,Brasília,26/02/2010 20:00,17ª RODADA,2º TURNO,casa,vitória,9,Benite,20.3,11,2,17,4,1,2,1,2,6,7,0,0,0,0,0,0,3,1,0,0,7
4,2009,Sesi Franca,Brasília,26/02/2010 20:00,17ª RODADA,2º TURNO,casa,vitória,9,Tony,34.3,11,4,32,12,3,8,1,4,0,0,0,2,2,6,1,0,3,2,0,0,12
5,2009,Sesi Franca,Brasília,26/02/2010 20:00,17ª RODADA,2º TURNO,casa,vitória,9,Márcio,20.9,8,4,16,7,0,0,4,7,0,2,0,3,3,0,0,0,5,3,1,1,9
6,2009,Sesi Franca,Brasília,26/02/2010 20:00,17ª RODADA,2º TURNO,casa,vitória,9,Ricardo Probst,11.7,8,1,12,2,0,0,1,2,6,8,2,1,3,0,0,0,3,4,1,1,4
7,2009,Sesi Franca,Brasília,26/02/2010 20:00,17ª RODADA,2º TURNO,casa,vitória,9,Turcão,5.5,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3
8,2009,Sesi Franca,Brasília,26/02/2010 20:00,17ª RODADA,2º TURNO,casa,vitória,9,Andrezão,0.9,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
9,2009,Sesi Franca,Brasília,26/02/2010 20:00,17ª RODADA,2º TURNO,casa,vitória,9,Cauê,5.2,0,0,3,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1
10,2009,Sesi Franca,Brasília,26/02/2010 20:00,17ª RODADA,2º TURNO,casa,vitória,9,Equipe,0.0,98,30,183,61,9,23,21,38,29,38,5,20,25,14,6,2,22,20,6,3,77
0,2009,Brasília,Sesi Franca,26/02/2010 20:00,17ª RODADA,2º TURNO,fora,derrota,-9,Giovannoni,29.9,23,9,46,19,1,4,8,15,4,4,4,4,8,0,0,0,1,6,3,0,20
1,2009,Brasília,Sesi Franca,26/02/2010 20:00,17ª RODADA,2º TURNO,fora,derrota,-9,Estevão,22.8,21,9,34,14,0,0,9,14,3,6,7,6,13,0,0,0,3,3,0,3,9
2,2009,Brasília,Sesi Franca,26/02/2010 20:00,17ª RODADA,2º TURNO,fora,derrota,-9,Arthur,14.3,13,4,19,7,2,2,2,5,3,3,4,1,5,1,1,1,3,3,1,0,5
3,2009,Brasília,Sesi Franca,26/02/2010 20:00,17ª RODADA,2º TURNO,fora,derrota,-9,Valtinho,25.5,10,4,28,12,0,2,4,10,2,2,1,3,4,8,1,1,3,2,2,0,14
4,2009,Brasília,Sesi Franca,26/02/2010 20:00,17ª RODADA,2º TURNO,fora,derrota,-9,Nezinho,19.1,8,3,27,10,1,6,2,4,1,1,1,1,2,2,0,0,3,1,2,0,11
5,2009,Brasília,Sesi Franca,26/02/2010 20:00,17ª RODADA,2º TURNO,fora,derrota,-9,Cipriano,19.3,7,2,12,4,0,1,2,3,3,3,2,3,5,0,0,1,4,2,2,0,5
6,2009,Brasília,Sesi Franca,26/02/2010 20:00,17ª RODADA,2º TURNO,fora,derrota,-9,Alex Garcia,21.8,6,3,22,9,0,4,3,5,0,0,0,3,3,2,0,0,2,3,0,1,9
7,2009,Brasília,Sesi Franca,26/02/2010 20:00,17ª RODADA,2º TURNO,fora,derrota,-9,Mineiro,1.5,1,0,2,0,0,0,0,0,1,2,1,0,1,0,0,0,2,1,0,0,0
8,2009,Brasília,Sesi Franca,26/02/2010 20:00,17ª RODADA,2º TURNO,fora,derrota,-9,Biro,0.9,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2009,Brasília,Sesi Franca,26/02/2010 20:00,17ª RODADA,2º TURNO,fora,derrota,-9,Rossi,4.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0
10,2009,Brasília,Sesi Franca,26/02/2010 20:00,17ª RODADA,2º TURNO,fora,derrota,-9,Equipe,0.0,89,34,192,76,4,19,30,57,17,21,20,22,42,13,2,3,23,21,10,4,74
