,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2009,Espírito Santo,Sesi Franca,07/03/2010 11:00,20ª RODADA,2º TURNO,casa,derrota,-21,Stevens,26.8,17,7,44,18,2,7,5,11,1,1,2,1,3,4,3,1,1,3,4,0,20
1,2009,Espírito Santo,Sesi Franca,07/03/2010 11:00,20ª RODADA,2º TURNO,casa,derrota,-21,McNeil,33.6,14,6,20,8,0,1,6,7,2,3,2,3,5,1,1,0,1,5,3,0,10
2,2009,Espírito Santo,Sesi Franca,07/03/2010 11:00,20ª RODADA,2º TURNO,casa,derrota,-21,Cicero,20.6,10,4,10,4,0,0,4,4,2,2,2,2,4,0,0,0,2,1,1,0,4
3,2009,Espírito Santo,Sesi Franca,07/03/2010 11:00,20ª RODADA,2º TURNO,casa,derrota,-21,Eric,19.4,7,2,15,5,2,3,0,2,1,2,2,4,6,0,2,0,2,1,1,0,5
4,2009,Espírito Santo,Sesi Franca,07/03/2010 11:00,20ª RODADA,2º TURNO,casa,derrota,-21,Xande,27.7,5,2,15,6,0,1,2,5,1,2,1,5,6,0,1,1,2,2,5,0,11
5,2009,Espírito Santo,Sesi Franca,07/03/2010 11:00,20ª RODADA,2º TURNO,casa,derrota,-21,Ansaloni,21.6,5,1,10,3,0,0,1,3,3,4,0,1,1,0,0,0,5,4,1,0,6
6,2009,Espírito Santo,Sesi Franca,07/03/2010 11:00,20ª RODADA,2º TURNO,casa,derrota,-21,Bruno,28.1,3,1,11,3,1,1,0,2,0,4,0,1,1,1,2,1,4,4,3,0,8
7,2009,Espírito Santo,Sesi Franca,07/03/2010 11:00,20ª RODADA,2º TURNO,casa,derrota,-21,Raul,20.0,3,1,10,3,1,2,0,1,0,2,0,0,0,0,1,0,2,2,2,0,6
8,2009,Espírito Santo,Sesi Franca,07/03/2010 11:00,20ª RODADA,2º TURNO,casa,derrota,-21,Pablo,0.6,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2009,Espírito Santo,Sesi Franca,07/03/2010 11:00,20ª RODADA,2º TURNO,casa,derrota,-21,Johnnie,0.8,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,2009,Espírito Santo,Sesi Franca,07/03/2010 11:00,20ª RODADA,2º TURNO,casa,derrota,-21,Robson,0.7,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2009,Espírito Santo,Sesi Franca,07/03/2010 11:00,20ª RODADA,2º TURNO,casa,derrota,-21,Equipe,0.0,64,24,143,53,6,17,18,36,10,20,9,17,26,6,10,3,19,22,20,0,72
0,2009,Sesi Franca,Espírito Santo,07/03/2010 11:00,20ª RODADA,2º TURNO,fora,vitória,21,Rogério,29.8,17,5,33,12,1,3,4,9,6,6,0,2,2,0,3,0,0,5,2,0,16
1,2009,Sesi Franca,Espírito Santo,07/03/2010 11:00,20ª RODADA,2º TURNO,fora,vitória,21,Márcio,16.9,15,6,21,9,3,3,3,6,0,0,1,1,2,1,1,0,4,0,0,1,8
2,2009,Sesi Franca,Espírito Santo,07/03/2010 11:00,20ª RODADA,2º TURNO,fora,vitória,21,Benite,25.4,12,4,25,9,1,4,3,5,3,3,1,1,2,3,0,0,1,2,2,0,11
3,2009,Sesi Franca,Espírito Santo,07/03/2010 11:00,20ª RODADA,2º TURNO,fora,vitória,21,Tony,29.8,10,4,25,10,2,5,2,5,0,0,0,0,0,1,4,0,2,1,3,0,13
4,2009,Sesi Franca,Espírito Santo,07/03/2010 11:00,20ª RODADA,2º TURNO,fora,vitória,21,Williams,26.1,10,4,16,7,0,0,4,7,2,2,0,7,7,2,1,3,3,4,2,0,10
5,2009,Sesi Franca,Espírito Santo,07/03/2010 11:00,20ª RODADA,2º TURNO,fora,vitória,21,Ricardo Probst,23.0,9,3,9,3,0,0,3,3,3,3,0,5,5,3,0,1,4,3,2,0,6
6,2009,Sesi Franca,Espírito Santo,07/03/2010 11:00,20ª RODADA,2º TURNO,fora,vitória,21,Helinho,27.1,5,2,12,5,0,1,2,4,1,1,2,2,4,3,1,0,4,4,2,0,5
7,2009,Sesi Franca,Espírito Santo,07/03/2010 11:00,20ª RODADA,2º TURNO,fora,vitória,21,Cauê,16.3,5,2,5,2,1,1,1,1,0,0,0,0,0,1,1,0,3,0,1,0,3
8,2009,Sesi Franca,Espírito Santo,07/03/2010 11:00,20ª RODADA,2º TURNO,fora,vitória,21,Andrezão,3.4,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2
9,2009,Sesi Franca,Espírito Santo,07/03/2010 11:00,20ª RODADA,2º TURNO,fora,vitória,21,Turcão,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10,2009,Sesi Franca,Espírito Santo,07/03/2010 11:00,20ª RODADA,2º TURNO,fora,vitória,21,Equipe,0.0,85,31,148,58,8,17,23,41,15,15,4,19,23,14,11,4,22,19,15,1,75
