,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2009,Araraquara,Sesi Franca,02/04/2010 17:00,27ª RODADA,2º TURNO,casa,vitória,26,Jhonatan,26.5,20,9,25,11,2,3,7,8,0,0,1,6,7,3,2,0,4,3,3,1,13
1,2009,Araraquara,Sesi Franca,02/04/2010 17:00,27ª RODADA,2º TURNO,casa,vitória,26,Chico,33.8,19,8,23,10,3,3,5,7,0,0,0,6,6,3,1,0,4,1,0,0,10
2,2009,Araraquara,Sesi Franca,02/04/2010 17:00,27ª RODADA,2º TURNO,casa,vitória,26,Deivisson,25.4,19,4,19,4,0,0,4,4,11,11,2,7,9,0,0,2,4,8,2,0,8
3,2009,Araraquara,Sesi Franca,02/04/2010 17:00,27ª RODADA,2º TURNO,casa,vitória,26,Luisinho,36.2,13,4,28,10,1,4,3,6,4,4,0,4,4,7,3,0,4,3,2,0,14
4,2009,Araraquara,Sesi Franca,02/04/2010 17:00,27ª RODADA,2º TURNO,casa,vitória,26,Neto,29.0,12,5,17,7,2,3,3,4,0,0,0,3,3,6,1,0,0,2,1,1,8
5,2009,Araraquara,Sesi Franca,02/04/2010 17:00,27ª RODADA,2º TURNO,casa,vitória,26,Arnaldinho,24.7,11,2,24,6,1,4,1,2,6,8,0,0,0,4,1,1,2,5,0,0,9
6,2009,Araraquara,Sesi Franca,02/04/2010 17:00,27ª RODADA,2º TURNO,casa,vitória,26,Vinicius,14.6,2,1,6,3,0,0,1,3,0,0,1,3,4,2,1,1,2,1,3,0,5
7,2009,Araraquara,Sesi Franca,02/04/2010 17:00,27ª RODADA,2º TURNO,casa,vitória,26,Equipe,0.0,96,33,142,51,9,17,24,34,21,23,4,29,33,25,9,4,20,23,11,2,67
0,2009,Sesi Franca,Araraquara,02/04/2010 17:00,27ª RODADA,2º TURNO,fora,derrota,-26,Tony,34.1,20,7,31,11,4,7,3,4,2,2,1,1,2,2,1,0,2,2,2,0,13
1,2009,Sesi Franca,Araraquara,02/04/2010 17:00,27ª RODADA,2º TURNO,fora,derrota,-26,Helinho,34.0,15,2,31,9,2,3,0,6,9,10,2,3,5,5,0,0,3,4,2,0,13
2,2009,Sesi Franca,Araraquara,02/04/2010 17:00,27ª RODADA,2º TURNO,fora,derrota,-26,Benite,22.5,10,4,26,12,2,2,2,10,0,0,0,1,1,2,0,1,0,1,2,0,14
3,2009,Sesi Franca,Araraquara,02/04/2010 17:00,27ª RODADA,2º TURNO,fora,derrota,-26,Ricardo Probst,21.3,9,4,16,7,0,0,4,7,1,2,1,3,4,1,0,1,3,4,2,0,9
4,2009,Sesi Franca,Araraquara,02/04/2010 17:00,27ª RODADA,2º TURNO,fora,derrota,-26,Rogério,24.3,7,2,17,6,1,3,1,3,2,2,2,3,5,0,1,0,5,3,2,0,7
5,2009,Sesi Franca,Araraquara,02/04/2010 17:00,27ª RODADA,2º TURNO,fora,derrota,-26,Williams,24.5,7,3,18,8,0,0,3,8,1,2,4,0,4,1,0,0,3,2,1,0,6
6,2009,Sesi Franca,Araraquara,02/04/2010 17:00,27ª RODADA,2º TURNO,fora,derrota,-26,Márcio,18.9,2,1,23,8,0,5,1,3,0,2,0,1,1,2,0,0,4,3,2,0,11
7,2009,Sesi Franca,Araraquara,02/04/2010 17:00,27ª RODADA,2º TURNO,fora,derrota,-26,Cauê,2.9,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8,2009,Sesi Franca,Araraquara,02/04/2010 17:00,27ª RODADA,2º TURNO,fora,derrota,-26,Turcão,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,2009,Sesi Franca,Araraquara,02/04/2010 17:00,27ª RODADA,2º TURNO,fora,derrota,-26,Cauê,13.0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,1,1,0,1
10,2009,Sesi Franca,Araraquara,02/04/2010 17:00,27ª RODADA,2º TURNO,fora,derrota,-26,Equipe,0.0,70,23,165,62,9,21,14,41,15,20,10,13,23,15,4,2,23,20,14,0,74
