,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2009,Assis,Bauru,08/04/2010 20:00,0ª RODADA,OITAVAS,casa,derrota,-7,Jay Parker,35.6,20,7,46,16,6,14,1,2,0,0,2,2,4,2,0,0,1,1,1,0,15
1,2009,Assis,Bauru,08/04/2010 20:00,0ª RODADA,OITAVAS,casa,derrota,-7,Tischer,36.0,12,6,24,11,0,2,6,9,0,0,4,6,10,0,0,1,5,2,1,3,8
2,2009,Assis,Bauru,08/04/2010 20:00,0ª RODADA,OITAVAS,casa,derrota,-7,Thomas,23.0,10,4,15,6,2,3,2,3,0,0,1,3,4,1,0,0,4,3,3,0,8
3,2009,Assis,Bauru,08/04/2010 20:00,0ª RODADA,OITAVAS,casa,derrota,-7,Mark Borders,38.3,10,5,24,10,0,4,5,6,0,0,1,1,2,5,2,0,4,1,7,0,16
4,2009,Assis,Bauru,08/04/2010 20:00,0ª RODADA,OITAVAS,casa,derrota,-7,Buboltz,18.3,8,3,23,8,2,5,1,3,0,2,2,2,4,3,0,0,1,1,0,0,7
5,2009,Assis,Bauru,08/04/2010 20:00,0ª RODADA,OITAVAS,casa,derrota,-7,Ricardo,32.1,7,2,16,5,1,4,1,1,2,2,0,2,2,3,0,0,1,5,1,0,7
6,2009,Assis,Bauru,08/04/2010 20:00,0ª RODADA,OITAVAS,casa,derrota,-7,Otávio,14.0,3,1,9,3,1,3,0,0,0,0,1,0,1,1,0,1,2,0,1,0,3
7,2009,Assis,Bauru,08/04/2010 20:00,0ª RODADA,OITAVAS,casa,derrota,-7,Paulão,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,2009,Assis,Bauru,08/04/2010 20:00,0ª RODADA,OITAVAS,casa,derrota,-7,Equipe,0.0,70,28,157,59,12,35,16,24,2,4,11,16,27,15,2,2,19,13,14,3,64
0,2009,Bauru,Assis,08/04/2010 20:00,0ª RODADA,OITAVAS,fora,vitória,7,Larry Taylor,36.5,20,9,41,17,2,6,7,11,0,1,0,3,3,3,1,1,2,3,3,0,20
1,2009,Bauru,Assis,08/04/2010 20:00,0ª RODADA,OITAVAS,fora,vitória,7,F. Fischer,37.4,14,5,30,11,3,7,2,4,1,1,0,1,1,2,0,0,0,1,0,0,11
2,2009,Bauru,Assis,08/04/2010 20:00,0ª RODADA,OITAVAS,fora,vitória,7,Jeff,36.3,13,5,24,9,0,2,5,7,3,4,3,5,8,1,4,0,2,6,1,0,9
3,2009,Bauru,Assis,08/04/2010 20:00,0ª RODADA,OITAVAS,fora,vitória,7,Eric,24.8,11,2,11,2,1,1,1,1,6,6,0,0,0,1,2,0,3,4,1,0,5
4,2009,Bauru,Assis,08/04/2010 20:00,0ª RODADA,OITAVAS,fora,vitória,7,Ricardo,30.8,9,3,21,8,1,3,2,5,2,2,1,4,5,0,1,0,1,2,3,0,11
5,2009,Bauru,Assis,08/04/2010 20:00,0ª RODADA,OITAVAS,fora,vitória,7,Eddy,22.0,5,2,11,4,1,3,1,1,0,0,1,1,2,0,1,0,4,2,2,0,5
6,2009,Bauru,Assis,08/04/2010 20:00,0ª RODADA,OITAVAS,fora,vitória,7,Renato,12.2,5,2,16,7,0,1,2,6,1,1,3,3,6,1,0,0,1,1,1,0,5
7,2009,Bauru,Assis,08/04/2010 20:00,0ª RODADA,OITAVAS,fora,vitória,7,Equipe,0.0,77,28,154,58,8,23,20,35,13,15,8,17,25,8,9,1,13,19,11,0,67
