,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2009,Paulistano,Londrina,29/11/2009 10:00,6ª RODADA,1º TURNO,casa,vitória,2,Dedé,26.0,20,8,35,13,4,7,4,6,0,2,2,3,5,1,2,0,1,1,2,0,14
1,2009,Paulistano,Londrina,29/11/2009 10:00,6ª RODADA,1º TURNO,casa,vitória,2,F. Penna,28.6,9,3,23,7,0,4,3,3,3,5,1,3,4,4,4,0,5,3,4,0,12
2,2009,Paulistano,Londrina,29/11/2009 10:00,6ª RODADA,1º TURNO,casa,vitória,2,Gaúcho,15.5,8,2,10,3,0,0,2,3,4,4,1,2,3,0,0,0,2,2,2,0,6
3,2009,Paulistano,Londrina,29/11/2009 10:00,6ª RODADA,1º TURNO,casa,vitória,2,Betinho,22.6,8,2,27,9,0,5,2,4,4,4,2,2,4,5,2,0,2,2,3,1,12
4,2009,Paulistano,Londrina,29/11/2009 10:00,6ª RODADA,1º TURNO,casa,vitória,2,Felipe,30.7,6,2,24,10,0,0,2,10,2,4,5,2,7,0,1,3,3,3,3,0,10
5,2009,Paulistano,Londrina,29/11/2009 10:00,6ª RODADA,1º TURNO,casa,vitória,2,Babby,31.2,6,2,21,9,0,1,2,8,2,2,2,5,7,1,1,4,3,1,2,0,10
6,2009,Paulistano,Londrina,29/11/2009 10:00,6ª RODADA,1º TURNO,casa,vitória,2,A. Bambu,12.2,3,1,5,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3
7,2009,Paulistano,Londrina,29/11/2009 10:00,6ª RODADA,1º TURNO,casa,vitória,2,Edu Mariano,15.6,2,1,11,4,0,2,1,2,0,1,2,1,3,1,0,0,2,1,2,0,4
8,2009,Paulistano,Londrina,29/11/2009 10:00,6ª RODADA,1º TURNO,casa,vitória,2,Maia,6.8,0,0,2,1,0,0,0,1,0,0,0,3,3,1,0,0,0,0,1,0,2
9,2009,Paulistano,Londrina,29/11/2009 10:00,6ª RODADA,1º TURNO,casa,vitória,2,Vinícius,10.7,0,0,5,2,0,1,0,1,0,0,0,2,2,1,0,0,1,0,1,0,3
10,2009,Paulistano,Londrina,29/11/2009 10:00,6ª RODADA,1º TURNO,casa,vitória,2,Equipe,0.0,62,21,163,60,5,21,16,39,15,22,15,23,38,14,10,7,20,13,21,1,75
0,2009,Londrina,Paulistano,29/11/2009 10:00,6ª RODADA,1º TURNO,fora,derrota,-2,Filipin,39.0,23,6,46,15,3,6,3,9,8,10,1,3,4,2,1,0,4,7,3,0,21
1,2009,Londrina,Paulistano,29/11/2009 10:00,6ª RODADA,1º TURNO,fora,derrota,-2,Adriano,36.5,11,3,30,11,0,0,3,11,5,8,2,8,10,0,1,2,2,6,3,2,15
2,2009,Londrina,Paulistano,29/11/2009 10:00,6ª RODADA,1º TURNO,fora,derrota,-2,Fernando,35.8,9,4,27,12,1,3,3,9,0,0,3,2,5,2,0,0,3,2,2,0,11
3,2009,Londrina,Paulistano,29/11/2009 10:00,6ª RODADA,1º TURNO,fora,derrota,-2,Rato,38.0,8,3,24,9,2,6,1,3,0,0,1,5,6,2,2,0,3,1,3,0,11
4,2009,Londrina,Paulistano,29/11/2009 10:00,6ª RODADA,1º TURNO,fora,derrota,-2,Zezinho,40.0,7,2,22,7,1,4,1,3,2,4,0,5,5,5,3,0,2,2,5,0,14
5,2009,Londrina,Paulistano,29/11/2009 10:00,6ª RODADA,1º TURNO,fora,derrota,-2,Bernardo,8.5,2,0,2,0,0,0,0,0,2,2,1,1,2,0,1,0,0,2,1,0,1
6,2009,Londrina,Paulistano,29/11/2009 10:00,6ª RODADA,1º TURNO,fora,derrota,-2,Equipe,0.0,60,18,151,54,7,19,11,35,17,24,8,24,32,11,8,2,14,20,17,2,73
