,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2009,Saldanha,Joinville,29/01/2010 20:00,13ª RODADA,1º TURNO,casa,derrota,-19,Roberto,31.3,13,6,28,12,0,2,6,10,1,2,1,5,6,0,3,1,0,2,2,2,14
1,2009,Saldanha,Joinville,29/01/2010 20:00,13ª RODADA,1º TURNO,casa,derrota,-19,Mosley,25.2,12,5,25,10,2,5,3,5,0,0,0,1,1,0,0,0,4,0,1,1,11
2,2009,Saldanha,Joinville,29/01/2010 20:00,13ª RODADA,1º TURNO,casa,derrota,-19,Kaçamba,23.7,10,4,20,7,0,1,4,6,2,5,0,0,0,0,1,0,4,4,0,0,9
3,2009,Saldanha,Joinville,29/01/2010 20:00,13ª RODADA,1º TURNO,casa,derrota,-19,Muñoz,28.8,9,3,19,6,0,3,3,3,3,4,0,2,2,1,1,0,2,1,1,0,9
4,2009,Saldanha,Joinville,29/01/2010 20:00,13ª RODADA,1º TURNO,casa,derrota,-19,Casé,11.4,8,3,14,5,1,2,2,3,1,2,1,1,2,0,0,0,5,2,1,0,6
5,2009,Saldanha,Joinville,29/01/2010 20:00,13ª RODADA,1º TURNO,casa,derrota,-19,Amiel14,12.7,5,2,14,5,1,4,1,1,0,0,1,2,3,0,0,0,1,0,0,0,4
6,2009,Saldanha,Joinville,29/01/2010 20:00,13ª RODADA,1º TURNO,casa,derrota,-19,Lucão,32.5,4,2,28,10,0,4,2,6,0,4,1,5,6,0,1,0,4,4,0,0,11
7,2009,Saldanha,Joinville,29/01/2010 20:00,13ª RODADA,1º TURNO,casa,derrota,-19,Andre,8.6,2,1,4,2,0,0,1,2,0,0,1,2,3,0,0,0,3,1,0,0,1
8,2009,Saldanha,Joinville,29/01/2010 20:00,13ª RODADA,1º TURNO,casa,derrota,-19,De Jesus,4.2,0,0,2,1,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0
9,2009,Saldanha,Joinville,29/01/2010 20:00,13ª RODADA,1º TURNO,casa,derrota,-19,Rafinha,17.9,0,0,9,3,0,3,0,0,0,0,1,3,4,0,0,0,1,1,1,0,3
10,2009,Saldanha,Joinville,29/01/2010 20:00,13ª RODADA,1º TURNO,casa,derrota,-19,Equipe,0.0,63,26,163,61,4,24,22,37,7,17,7,22,29,1,6,1,24,15,6,3,67
0,2009,Joinville,Saldanha,29/01/2010 20:00,13ª RODADA,1º TURNO,fora,vitória,19,J. Sobral,30.8,25,8,45,15,3,6,5,9,6,9,3,6,9,1,0,1,2,6,1,2,17
1,2009,Joinville,Saldanha,29/01/2010 20:00,13ª RODADA,1º TURNO,fora,vitória,19,Tiagão,31.3,13,4,22,7,3,4,1,3,2,4,0,5,5,0,2,0,3,3,2,1,11
2,2009,Joinville,Saldanha,29/01/2010 20:00,13ª RODADA,1º TURNO,fora,vitória,19,Shilton,31.6,11,4,13,5,0,0,4,5,3,3,2,6,8,1,2,0,3,3,1,0,5
3,2009,Joinville,Saldanha,29/01/2010 20:00,13ª RODADA,1º TURNO,fora,vitória,19,Audrei,19.3,11,3,14,4,1,2,2,2,4,4,1,0,1,1,1,0,2,2,4,0,9
4,2009,Joinville,Saldanha,29/01/2010 20:00,13ª RODADA,1º TURNO,fora,vitória,19,André,27.4,10,3,20,7,2,4,1,3,2,2,1,1,2,1,1,0,1,1,2,0,9
5,2009,Joinville,Saldanha,29/01/2010 20:00,13ª RODADA,1º TURNO,fora,vitória,19,André Goes,27.0,5,1,20,7,0,2,1,5,3,4,0,2,2,5,1,0,1,2,1,0,10
6,2009,Joinville,Saldanha,29/01/2010 20:00,13ª RODADA,1º TURNO,fora,vitória,19,Marcão,3.7,4,1,5,1,1,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,2
7,2009,Joinville,Saldanha,29/01/2010 20:00,13ª RODADA,1º TURNO,fora,vitória,19,Espiga,20.2,3,1,11,4,0,2,1,2,1,1,0,1,1,0,0,0,1,3,3,0,7
8,2009,Joinville,Saldanha,29/01/2010 20:00,13ª RODADA,1º TURNO,fora,vitória,19,V. Bristott,6.8,0,0,3,1,0,1,0,0,0,0,0,3,3,0,0,0,2,0,0,0,1
9,2009,Joinville,Saldanha,29/01/2010 20:00,13ª RODADA,1º TURNO,fora,vitória,19,Equipe,0.0,82,25,153,51,10,22,15,29,22,29,7,24,31,9,7,1,16,21,14,3,70
