,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2009,Minas,Pinheiros,07/02/2010 11:00,16ª RODADA,2º TURNO,casa,vitória,5,Murilo,36.6,24,7,34,12,0,0,7,12,10,10,6,6,12,1,2,2,5,8,4,0,14
1,2009,Minas,Pinheiros,07/02/2010 11:00,16ª RODADA,2º TURNO,casa,vitória,5,Luiz Felipe,30.8,19,6,39,14,4,8,2,6,3,3,1,2,3,7,1,0,2,2,1,0,15
2,2009,Minas,Pinheiros,07/02/2010 11:00,16ª RODADA,2º TURNO,casa,vitória,5,Jeffries,36.6,16,6,38,14,4,10,2,4,0,0,4,1,5,7,1,0,4,2,1,0,11
3,2009,Minas,Pinheiros,07/02/2010 11:00,16ª RODADA,2º TURNO,casa,vitória,5,Sucatzky,29.2,14,4,15,4,0,0,4,4,6,7,0,2,2,6,2,0,4,4,3,0,10
4,2009,Minas,Pinheiros,07/02/2010 11:00,16ª RODADA,2º TURNO,casa,vitória,5,Leandro Silva,18.0,7,3,21,8,1,5,2,3,0,0,2,1,3,0,3,0,3,0,3,0,9
5,2009,Minas,Pinheiros,07/02/2010 11:00,16ª RODADA,2º TURNO,casa,vitória,5,Drudi,23.8,6,3,18,9,0,0,3,9,0,0,2,4,6,3,0,2,4,3,2,0,9
6,2009,Minas,Pinheiros,07/02/2010 11:00,16ª RODADA,2º TURNO,casa,vitória,5,Perez,5.0,3,1,6,2,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
7,2009,Minas,Pinheiros,07/02/2010 11:00,16ª RODADA,2º TURNO,casa,vitória,5,Raulzinho,18.5,3,1,7,3,0,0,1,3,1,1,1,0,1,0,2,0,1,1,1,0,3
8,2009,Minas,Pinheiros,07/02/2010 11:00,16ª RODADA,2º TURNO,casa,vitória,5,Hubner,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
9,2009,Minas,Pinheiros,07/02/2010 11:00,16ª RODADA,2º TURNO,casa,vitória,5,Equipe,0.0,92,31,178,66,10,25,21,41,20,21,16,16,32,24,11,5,25,20,16,0,74
0,2009,Pinheiros,Minas,07/02/2010 11:00,16ª RODADA,2º TURNO,fora,derrota,-5,Shamell,40.0,26,6,47,13,4,11,2,2,10,10,0,3,3,2,2,0,1,9,2,0,19
1,2009,Pinheiros,Minas,07/02/2010 11:00,16ª RODADA,2º TURNO,fora,derrota,-5,Olivinha,26.0,19,8,40,17,1,4,7,13,2,2,5,2,7,2,1,1,2,3,3,0,16
2,2009,Pinheiros,Minas,07/02/2010 11:00,16ª RODADA,2º TURNO,fora,derrota,-5,Diego,26.5,11,3,21,7,1,3,2,4,4,4,1,0,1,4,2,1,4,4,3,0,11
3,2009,Pinheiros,Minas,07/02/2010 11:00,16ª RODADA,2º TURNO,fora,derrota,-5,Brewer,33.0,10,3,23,8,0,2,3,6,4,5,1,3,4,6,0,0,2,4,4,0,13
4,2009,Pinheiros,Minas,07/02/2010 11:00,16ª RODADA,2º TURNO,fora,derrota,-5,Morro,29.6,8,3,12,5,0,0,3,5,2,2,2,1,3,3,1,1,3,3,1,0,5
5,2009,Pinheiros,Minas,07/02/2010 11:00,16ª RODADA,2º TURNO,fora,derrota,-5,Bruno Mortari,13.5,6,2,13,4,1,3,1,1,1,2,0,2,2,0,1,0,1,2,0,0,5
6,2009,Pinheiros,Minas,07/02/2010 11:00,16ª RODADA,2º TURNO,fora,derrota,-5,L. Fernando,10.5,4,2,6,3,0,0,2,3,0,0,2,1,3,0,0,1,4,0,1,0,2
7,2009,Pinheiros,Minas,07/02/2010 11:00,16ª RODADA,2º TURNO,fora,derrota,-5,Thiaguinho,7.2,3,1,6,2,1,2,0,0,0,0,1,1,2,3,3,0,0,1,1,0,2
8,2009,Pinheiros,Minas,07/02/2010 11:00,16ª RODADA,2º TURNO,fora,derrota,-5,Gehrke,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
9,2009,Pinheiros,Minas,07/02/2010 11:00,16ª RODADA,2º TURNO,fora,derrota,-5,Equipe,0.0,87,28,168,59,8,25,20,34,23,25,12,13,25,21,10,4,19,26,15,0,72
