,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2010,Uberlândia,São José,06/02/2011 11:00,17ª RODADA,2º TURNO,casa,vitória,26,Robert Day,37.6,30,12,39,15,4,7,8,8,2,2,2,5,7,1,0,0,4,4,5,0,19
1,2010,Uberlândia,São José,06/02/2011 11:00,17ª RODADA,2º TURNO,casa,vitória,26,Collum,33.2,19,4,42,12,1,8,3,4,10,10,0,5,5,5,4,0,3,6,4,0,20
2,2010,Uberlândia,São José,06/02/2011 11:00,17ª RODADA,2º TURNO,casa,vitória,26,Estevão,29.0,14,7,18,8,0,0,7,8,0,2,2,7,9,0,0,0,2,1,0,0,7
3,2010,Uberlândia,São José,06/02/2011 11:00,17ª RODADA,2º TURNO,casa,vitória,26,Brasília,18.4,7,2,10,3,0,0,2,3,3,4,3,2,5,2,2,0,2,3,1,0,3
4,2010,Uberlândia,São José,06/02/2011 11:00,17ª RODADA,2º TURNO,casa,vitória,26,Soró,22.3,5,2,18,7,0,2,2,5,1,2,0,0,0,1,0,0,3,2,1,0,9
5,2010,Uberlândia,São José,06/02/2011 11:00,17ª RODADA,2º TURNO,casa,vitória,26,Valtinho,36.0,5,0,16,4,0,2,0,2,5,6,0,5,5,6,1,0,2,3,3,0,9
6,2010,Uberlândia,São José,06/02/2011 11:00,17ª RODADA,2º TURNO,casa,vitória,26,Hátila Passos,11.0,4,2,4,2,0,0,2,2,0,0,0,2,2,0,0,0,3,0,1,1,3
7,2010,Uberlândia,São José,06/02/2011 11:00,17ª RODADA,2º TURNO,casa,vitória,26,Raul,1.3,4,2,4,2,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,2
8,2010,Uberlândia,São José,06/02/2011 11:00,17ª RODADA,2º TURNO,casa,vitória,26,Bernardo,1.3,2,0,2,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,1
9,2010,Uberlândia,São José,06/02/2011 11:00,17ª RODADA,2º TURNO,casa,vitória,26,Cipolini,10.0,2,1,6,3,0,0,1,3,0,0,1,0,1,1,0,0,1,2,0,1,2
10,2010,Uberlândia,São José,06/02/2011 11:00,17ª RODADA,2º TURNO,casa,vitória,26,Equipe,0.0,92,32,159,56,5,19,27,37,23,28,8,27,35,17,7,0,20,22,15,2,74
0,2010,São José,Uberlândia,06/02/2011 11:00,17ª RODADA,2º TURNO,fora,derrota,-26,Renato Lamas,25.4,14,3,35,10,0,3,3,7,8,12,1,2,3,5,1,0,5,6,3,0,17
1,2010,São José,Uberlândia,06/02/2011 11:00,17ª RODADA,2º TURNO,fora,derrota,-26,Paulão,19.8,12,5,21,9,0,0,5,9,2,3,0,4,4,0,0,0,3,3,0,1,10
2,2010,São José,Uberlândia,06/02/2011 11:00,17ª RODADA,2º TURNO,fora,derrota,-26,Mineiro,27.1,10,4,18,7,1,2,3,5,1,2,1,2,3,1,2,0,3,3,2,0,9
3,2010,São José,Uberlândia,06/02/2011 11:00,17ª RODADA,2º TURNO,fora,derrota,-26,Paulo Nery,14.9,7,3,17,7,0,1,3,6,1,2,1,0,1,1,0,0,1,1,2,0,9
4,2010,São José,Uberlândia,06/02/2011 11:00,17ª RODADA,2º TURNO,fora,derrota,-26,Fabricio,15.1,6,2,14,4,0,1,2,3,2,5,2,1,3,1,2,0,3,2,0,0,4
5,2010,São José,Uberlândia,06/02/2011 11:00,17ª RODADA,2º TURNO,fora,derrota,-26,Matheus,26.8,6,2,19,7,2,5,0,2,0,0,0,0,0,2,1,0,1,0,0,0,7
6,2010,São José,Uberlândia,06/02/2011 11:00,17ª RODADA,2º TURNO,fora,derrota,-26,Shipp,17.5,6,3,16,8,0,0,3,8,0,0,0,2,2,0,1,0,0,0,1,0,9
7,2010,São José,Uberlândia,06/02/2011 11:00,17ª RODADA,2º TURNO,fora,derrota,-26,Xande,33.6,3,0,9,2,0,1,0,1,3,4,0,3,3,2,0,0,3,2,0,0,4
8,2010,São José,Uberlândia,06/02/2011 11:00,17ª RODADA,2º TURNO,fora,derrota,-26,Wanderson,18.0,2,1,10,4,0,2,1,2,0,0,1,2,3,1,1,0,5,2,2,0,5
9,2010,São José,Uberlândia,06/02/2011 11:00,17ª RODADA,2º TURNO,fora,derrota,-26,Equipe,0.0,66,23,159,58,3,15,20,43,17,28,6,16,22,13,8,0,24,19,10,1,73
