,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2010,Araraquara,Uberlândia,11/02/2011 20:00,18ª RODADA,2º TURNO,casa,derrota,-5,Luisinho,36.9,18,6,28,10,6,8,0,2,0,0,0,2,2,1,0,0,1,0,4,0,14
1,2010,Araraquara,Uberlândia,11/02/2011 20:00,18ª RODADA,2º TURNO,casa,derrota,-5,Chico,35.8,16,5,33,11,2,5,3,6,4,6,5,4,9,3,0,2,2,5,1,0,9
2,2010,Araraquara,Uberlândia,11/02/2011 20:00,18ª RODADA,2º TURNO,casa,derrota,-5,Fernando,20.8,14,6,24,10,2,4,4,6,0,0,1,5,6,1,2,1,5,0,2,0,11
3,2010,Araraquara,Uberlândia,11/02/2011 20:00,18ª RODADA,2º TURNO,casa,derrota,-5,J. Sobral,36.4,12,5,30,12,2,6,3,6,0,0,2,6,8,4,0,0,4,1,2,0,12
4,2010,Araraquara,Uberlândia,11/02/2011 20:00,18ª RODADA,2º TURNO,casa,derrota,-5,Deivisson,19.7,8,4,14,7,0,0,4,7,0,0,0,3,3,1,1,0,5,1,6,0,13
5,2010,Araraquara,Uberlândia,11/02/2011 20:00,18ª RODADA,2º TURNO,casa,derrota,-5,Mark Borders,7.9,5,2,6,2,0,0,2,2,1,2,0,1,1,3,1,0,0,1,0,0,3
6,2010,Araraquara,Uberlândia,11/02/2011 20:00,18ª RODADA,2º TURNO,casa,derrota,-5,Felipe,18.4,5,2,8,3,1,2,1,1,0,0,0,1,1,0,0,0,1,0,2,0,5
7,2010,Araraquara,Uberlândia,11/02/2011 20:00,18ª RODADA,2º TURNO,casa,derrota,-5,Neto,24.3,4,2,8,3,0,0,2,3,0,2,0,2,2,6,2,0,1,4,5,0,9
8,2010,Araraquara,Uberlândia,11/02/2011 20:00,18ª RODADA,2º TURNO,casa,derrota,-5,Equipe,0.0,82,32,151,58,13,25,19,33,5,10,8,24,32,19,6,3,19,12,22,0,76
0,2010,Uberlândia,Araraquara,11/02/2011 20:00,18ª RODADA,2º TURNO,fora,vitória,5,Robert Day,38.0,28,9,48,16,3,7,6,9,7,9,3,2,5,1,2,0,2,7,3,0,20
1,2010,Uberlândia,Araraquara,11/02/2011 20:00,18ª RODADA,2º TURNO,fora,vitória,5,Collum,40.0,18,7,44,18,4,8,3,10,0,0,0,6,6,5,2,0,2,4,5,0,23
2,2010,Uberlândia,Araraquara,11/02/2011 20:00,18ª RODADA,2º TURNO,fora,vitória,5,Hátila Passos,23.5,14,6,17,7,0,0,6,7,2,3,2,4,6,0,0,0,1,3,5,1,11
3,2010,Uberlândia,Araraquara,11/02/2011 20:00,18ª RODADA,2º TURNO,fora,vitória,5,Valtinho,40.0,10,2,16,4,0,2,2,2,6,6,0,1,1,6,3,1,2,4,3,0,9
4,2010,Uberlândia,Araraquara,11/02/2011 20:00,18ª RODADA,2º TURNO,fora,vitória,5,Estevão,15.6,8,3,22,10,0,0,3,10,2,2,2,3,5,0,1,0,4,0,1,0,10
5,2010,Uberlândia,Araraquara,11/02/2011 20:00,18ª RODADA,2º TURNO,fora,vitória,5,Brasília,16.0,5,2,7,3,1,1,1,2,0,0,0,1,1,1,4,0,0,1,1,0,4
6,2010,Uberlândia,Araraquara,11/02/2011 20:00,18ª RODADA,2º TURNO,fora,vitória,5,Cipolini,19.6,2,1,4,2,0,0,1,2,0,0,1,0,1,0,0,0,0,0,1,1,2
7,2010,Uberlândia,Araraquara,11/02/2011 20:00,18ª RODADA,2º TURNO,fora,vitória,5,Soró,23.4,2,0,7,2,0,1,0,1,2,2,0,1,1,1,0,0,1,1,0,0,3
8,2010,Uberlândia,Araraquara,11/02/2011 20:00,18ª RODADA,2º TURNO,fora,vitória,5,Equipe,0.0,87,30,165,62,8,19,22,43,19,22,8,18,26,14,12,1,12,20,19,2,82
