,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2010,Assis,Brasília,25/02/2011 20:00,22ª RODADA,2º TURNO,casa,vitória,3,Tony,28.4,22,6,35,11,3,5,3,6,7,8,0,3,3,9,3,0,2,3,0,0,14
1,2010,Assis,Brasília,25/02/2011 20:00,22ª RODADA,2º TURNO,casa,vitória,3,Matão,33.6,16,4,25,7,4,7,0,0,4,4,1,2,3,1,5,0,4,4,0,0,8
2,2010,Assis,Brasília,25/02/2011 20:00,22ª RODADA,2º TURNO,casa,vitória,3,Adriano,38.1,9,4,18,8,0,0,4,8,1,2,1,5,6,1,1,4,2,1,4,1,12
3,2010,Assis,Brasília,25/02/2011 20:00,22ª RODADA,2º TURNO,casa,vitória,3,Cauê,10.4,9,3,11,3,1,1,2,2,2,4,0,2,2,1,0,0,0,3,1,0,6
4,2010,Assis,Brasília,25/02/2011 20:00,22ª RODADA,2º TURNO,casa,vitória,3,Andrezão,14.9,8,3,14,5,1,1,2,4,1,3,1,2,3,0,0,0,4,2,1,0,6
5,2010,Assis,Brasília,25/02/2011 20:00,22ª RODADA,2º TURNO,casa,vitória,3,Calderon,21.0,8,3,18,8,2,2,1,6,0,0,2,4,6,2,0,1,3,1,1,0,7
6,2010,Assis,Brasília,25/02/2011 20:00,22ª RODADA,2º TURNO,casa,vitória,3,Ricardo,26.6,8,3,29,11,1,5,2,6,1,2,1,3,4,3,1,0,1,1,0,0,11
7,2010,Assis,Brasília,25/02/2011 20:00,22ª RODADA,2º TURNO,casa,vitória,3,Zezinho,14.6,7,1,13,3,0,1,1,2,5,6,0,1,1,5,1,0,0,3,0,0,5
8,2010,Assis,Brasília,25/02/2011 20:00,22ª RODADA,2º TURNO,casa,vitória,3,Paulão,6.1,2,1,6,3,0,0,1,3,0,0,0,2,2,1,0,2,3,0,1,0,4
9,2010,Assis,Brasília,25/02/2011 20:00,22ª RODADA,2º TURNO,casa,vitória,3,Cicero,6.5,2,1,4,2,0,0,1,2,0,0,0,0,0,0,0,0,3,1,0,0,2
10,2010,Assis,Brasília,25/02/2011 20:00,22ª RODADA,2º TURNO,casa,vitória,3,Equipe,0.0,91,29,173,61,12,22,17,39,21,29,6,24,30,23,11,7,22,19,8,1,75
0,2010,Brasília,Assis,25/02/2011 20:00,22ª RODADA,2º TURNO,fora,derrota,-3,Alex Garcia,35.0,28,9,46,15,5,10,4,5,5,6,0,6,6,7,1,2,2,3,4,0,21
1,2010,Brasília,Assis,25/02/2011 20:00,22ª RODADA,2º TURNO,fora,derrota,-3,Giovannoni,37.4,18,4,35,11,2,5,2,6,8,8,4,9,13,2,2,0,3,5,2,0,12
2,2010,Brasília,Assis,25/02/2011 20:00,22ª RODADA,2º TURNO,fora,derrota,-3,Cipriano,18.3,12,5,19,7,0,1,5,6,2,4,1,1,2,1,1,0,4,3,1,0,9
3,2010,Brasília,Assis,25/02/2011 20:00,22ª RODADA,2º TURNO,fora,derrota,-3,Tischer,16.1,8,4,12,6,0,0,4,6,0,0,1,2,3,0,0,0,4,5,0,3,5
4,2010,Brasília,Assis,25/02/2011 20:00,22ª RODADA,2º TURNO,fora,derrota,-3,Nezinho,33.6,8,2,33,11,2,9,0,2,2,2,0,3,3,6,0,0,3,2,4,0,16
5,2010,Brasília,Assis,25/02/2011 20:00,22ª RODADA,2º TURNO,fora,derrota,-3,Arthur,27.8,8,3,19,7,0,2,3,5,2,3,0,3,3,1,0,0,3,3,2,0,10
6,2010,Brasília,Assis,25/02/2011 20:00,22ª RODADA,2º TURNO,fora,derrota,-3,Bruninho,6.4,3,1,5,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0,2,0,4
7,2010,Brasília,Assis,25/02/2011 20:00,22ª RODADA,2º TURNO,fora,derrota,-3,Rossi,7.5,3,1,9,3,1,3,0,0,0,0,1,0,1,0,0,0,3,0,0,0,2
8,2010,Brasília,Assis,25/02/2011 20:00,22ª RODADA,2º TURNO,fora,derrota,-3,Alírio,16.9,0,0,3,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1
9,2010,Brasília,Assis,25/02/2011 20:00,22ª RODADA,2º TURNO,fora,derrota,-3,Equipe,0.0,88,29,181,63,11,32,18,31,19,23,7,26,33,19,4,3,23,21,15,3,80
