,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2010,Limeira,Assis,11/03/2011 20:00,24ª RODADA,2º TURNO,casa,vitória,4,Ramon,36.8,15,4,36,13,2,4,2,9,5,6,1,2,3,5,1,0,1,5,2,0,16
1,2010,Limeira,Assis,11/03/2011 20:00,24ª RODADA,2º TURNO,casa,vitória,4,Mineiro,24.1,15,7,15,7,0,0,7,7,1,1,2,5,7,1,0,1,5,2,1,0,6
2,2010,Limeira,Assis,11/03/2011 20:00,24ª RODADA,2º TURNO,casa,vitória,4,Charles,37.4,13,4,26,9,1,2,3,7,4,6,1,3,4,3,1,1,1,3,0,0,10
3,2010,Limeira,Assis,11/03/2011 20:00,24ª RODADA,2º TURNO,casa,vitória,4,Diego,35.2,11,1,32,10,1,4,0,6,8,8,2,4,6,4,2,0,3,5,7,0,18
4,2010,Limeira,Assis,11/03/2011 20:00,24ª RODADA,2º TURNO,casa,vitória,4,Alemão,15.9,11,3,19,7,0,0,3,7,5,5,4,1,5,0,0,0,5,4,1,0,6
5,2010,Limeira,Assis,11/03/2011 20:00,24ª RODADA,2º TURNO,casa,vitória,4,Durelle Brown,31.9,7,2,26,9,1,6,1,3,2,2,1,5,6,1,1,0,3,2,1,0,10
6,2010,Limeira,Assis,11/03/2011 20:00,24ª RODADA,2º TURNO,casa,vitória,4,Luis Fernando,10.7,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
7,2010,Limeira,Assis,11/03/2011 20:00,24ª RODADA,2º TURNO,casa,vitória,4,Equipe,0.0,72,21,156,56,5,16,16,40,25,28,11,20,31,14,5,2,19,21,12,0,68
0,2010,Assis,Limeira,11/03/2011 20:00,24ª RODADA,2º TURNO,fora,derrota,-4,Matão,27.0,17,6,37,13,4,9,2,4,1,2,1,3,4,0,1,0,1,3,4,0,17
1,2010,Assis,Limeira,11/03/2011 20:00,24ª RODADA,2º TURNO,fora,derrota,-4,Calderon,19.9,12,4,20,7,2,4,2,3,2,2,2,3,5,1,0,0,4,3,3,0,9
2,2010,Assis,Limeira,11/03/2011 20:00,24ª RODADA,2º TURNO,fora,derrota,-4,Ricardo,20.6,10,3,18,6,2,3,1,3,2,3,1,3,4,3,1,0,2,2,3,0,9
3,2010,Assis,Limeira,11/03/2011 20:00,24ª RODADA,2º TURNO,fora,derrota,-4,Adriano,35.7,8,3,14,6,0,0,3,6,2,2,1,2,3,0,3,3,2,2,1,0,7
4,2010,Assis,Limeira,11/03/2011 20:00,24ª RODADA,2º TURNO,fora,derrota,-4,Tony,27.2,8,3,37,14,1,8,2,6,1,1,0,2,2,2,0,0,1,2,1,0,15
5,2010,Assis,Limeira,11/03/2011 20:00,24ª RODADA,2º TURNO,fora,derrota,-4,Cauê,19.4,5,2,11,4,0,1,2,3,1,2,0,2,2,2,2,1,2,4,1,0,6
6,2010,Assis,Limeira,11/03/2011 20:00,24ª RODADA,2º TURNO,fora,derrota,-4,Cicero,21.0,4,1,16,5,0,2,1,3,2,4,2,1,3,0,1,0,5,2,1,0,6
7,2010,Assis,Limeira,11/03/2011 20:00,24ª RODADA,2º TURNO,fora,derrota,-4,Andrezão,8.5,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,2010,Assis,Limeira,11/03/2011 20:00,24ª RODADA,2º TURNO,fora,derrota,-4,Paulão,5.7,2,0,2,0,0,0,0,0,2,2,0,2,2,0,0,0,3,1,0,0,1
9,2010,Assis,Limeira,11/03/2011 20:00,24ª RODADA,2º TURNO,fora,derrota,-4,Zezinho,11.9,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0,3
10,2010,Assis,Limeira,11/03/2011 20:00,24ª RODADA,2º TURNO,fora,derrota,-4,Equipe,0.0,68,23,159,57,9,27,14,30,13,18,7,19,26,8,8,4,21,19,16,0,73
