,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2010,Joinville,Minas,13/03/2011 11:00,25ª RODADA,2º TURNO,casa,vitória,28,André,38.7,19,7,30,11,4,6,3,5,1,2,1,5,6,3,2,0,2,5,1,0,12
1,2010,Joinville,Minas,13/03/2011 11:00,25ª RODADA,2º TURNO,casa,vitória,28,Audrei,23.3,13,5,20,8,2,3,3,5,1,1,1,1,2,0,0,1,4,2,1,0,8
2,2010,Joinville,Minas,13/03/2011 11:00,25ª RODADA,2º TURNO,casa,vitória,28,Tiagão,23.0,11,5,19,9,1,1,4,8,0,0,3,5,8,1,1,0,3,0,0,0,6
3,2010,Joinville,Minas,13/03/2011 11:00,25ª RODADA,2º TURNO,casa,vitória,28,Gruber,26.9,11,5,24,11,1,2,4,9,0,0,2,6,8,0,2,1,2,0,2,1,11
4,2010,Joinville,Minas,13/03/2011 11:00,25ª RODADA,2º TURNO,casa,vitória,28,Renato,14.6,11,5,17,8,0,0,5,8,1,1,2,0,2,0,2,0,0,1,0,2,6
5,2010,Joinville,Minas,13/03/2011 11:00,25ª RODADA,2º TURNO,casa,vitória,28,V. Bristott,11.2,4,2,13,6,0,1,2,5,0,0,3,4,7,1,0,0,0,1,3,0,6
6,2010,Joinville,Minas,13/03/2011 11:00,25ª RODADA,2º TURNO,casa,vitória,28,Paulinho,21.2,4,1,24,9,1,4,0,5,1,2,0,1,1,0,1,0,4,2,1,0,11
7,2010,Joinville,Minas,13/03/2011 11:00,25ª RODADA,2º TURNO,casa,vitória,28,Schneider,16.7,3,1,16,6,1,4,0,2,0,0,0,2,2,2,0,0,1,0,1,0,7
8,2010,Joinville,Minas,13/03/2011 11:00,25ª RODADA,2º TURNO,casa,vitória,28,Coloneze,19.5,3,0,10,3,0,0,0,3,3,4,0,3,3,1,2,1,0,3,2,0,7
9,2010,Joinville,Minas,13/03/2011 11:00,25ª RODADA,2º TURNO,casa,vitória,28,João Victor,3.4,1,0,2,0,0,0,0,0,1,2,1,0,1,0,0,0,1,1,0,0,0
10,2010,Joinville,Minas,13/03/2011 11:00,25ª RODADA,2º TURNO,casa,vitória,28,William,1.5,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11,2010,Joinville,Minas,13/03/2011 11:00,25ª RODADA,2º TURNO,casa,vitória,28,Equipe,0.0,80,31,178,72,10,22,21,50,8,12,13,27,40,8,10,3,18,15,11,3,75
0,2010,Minas,Joinville,13/03/2011 11:00,25ª RODADA,2º TURNO,fora,derrota,-28,Michel,32.7,12,6,22,11,0,0,6,11,0,0,1,4,5,0,0,0,2,2,4,0,14
1,2010,Minas,Joinville,13/03/2011 11:00,25ª RODADA,2º TURNO,fora,derrota,-28,Winkelman,31.4,12,5,16,7,0,0,5,7,2,2,0,2,2,0,0,0,2,2,0,0,8
2,2010,Minas,Joinville,13/03/2011 11:00,25ª RODADA,2º TURNO,fora,derrota,-28,Raulzinho,23.7,8,3,26,9,0,4,3,5,2,4,0,6,6,1,1,0,2,6,2,0,13
3,2010,Minas,Joinville,13/03/2011 11:00,25ª RODADA,2º TURNO,fora,derrota,-28,Sucatzky,29.6,6,2,16,6,2,4,0,2,0,0,0,4,4,2,0,0,1,3,1,0,7
4,2010,Minas,Joinville,13/03/2011 11:00,25ª RODADA,2º TURNO,fora,derrota,-28,Perez,5.0,5,2,8,3,0,1,2,2,1,1,0,0,0,1,0,0,0,1,0,0,3
5,2010,Minas,Joinville,13/03/2011 11:00,25ª RODADA,2º TURNO,fora,derrota,-28,Felicio,17.0,4,1,10,4,0,0,1,4,2,2,3,3,6,0,2,0,0,1,3,0,5
6,2010,Minas,Joinville,13/03/2011 11:00,25ª RODADA,2º TURNO,fora,derrota,-28,Cauê,8.9,3,1,3,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
7,2010,Minas,Joinville,13/03/2011 11:00,25ª RODADA,2º TURNO,fora,derrota,-28,Leandro Silva,23.4,2,1,13,5,0,3,1,2,0,0,0,5,5,1,1,1,0,0,2,0,7
8,2010,Minas,Joinville,13/03/2011 11:00,25ª RODADA,2º TURNO,fora,derrota,-28,Bruno,12.3,0,0,8,3,0,2,0,1,0,0,0,1,1,1,0,0,1,0,0,0,3
9,2010,Minas,Joinville,13/03/2011 11:00,25ª RODADA,2º TURNO,fora,derrota,-28,Rodrigo Silva,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
10,2010,Minas,Joinville,13/03/2011 11:00,25ª RODADA,2º TURNO,fora,derrota,-28,Arnaldinho,31.4,0,0,15,6,0,3,0,3,0,0,1,0,1,0,0,0,3,1,1,0,6
11,2010,Minas,Joinville,13/03/2011 11:00,25ª RODADA,2º TURNO,fora,derrota,-28,Equipe,0.0,52,21,137,55,3,18,18,37,7,9,5,25,30,7,4,1,15,16,14,0,68
