,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2010,Sesi Franca,Bauru,25/03/2011 20:00,27ª RODADA,2º TURNO,casa,vitória,5,Helinho,25.0,17,6,36,13,2,6,4,7,3,4,1,5,6,1,1,0,4,4,0,0,14
1,2010,Sesi Franca,Bauru,25/03/2011 20:00,27ª RODADA,2º TURNO,casa,vitória,5,Ricardo Probst,24.3,16,5,22,7,0,0,5,7,6,8,4,7,11,2,0,2,4,6,0,0,6
2,2010,Sesi Franca,Bauru,25/03/2011 20:00,27ª RODADA,2º TURNO,casa,vitória,5,F. Penna,29.3,15,4,37,11,2,7,2,4,5,8,2,2,4,6,3,1,4,5,4,0,16
3,2010,Sesi Franca,Bauru,25/03/2011 20:00,27ª RODADA,2º TURNO,casa,vitória,5,Márcio,32.1,7,2,11,4,1,1,1,3,2,2,1,3,4,0,1,0,3,2,2,0,6
4,2010,Sesi Franca,Bauru,25/03/2011 20:00,27ª RODADA,2º TURNO,casa,vitória,5,Dedé,20.5,6,3,19,8,0,3,3,5,0,0,0,3,3,0,0,1,1,1,0,0,8
5,2010,Sesi Franca,Bauru,25/03/2011 20:00,27ª RODADA,2º TURNO,casa,vitória,5,Drudi,18.7,6,3,12,6,0,0,3,6,0,0,2,6,8,0,1,1,2,2,0,0,4
6,2010,Sesi Franca,Bauru,25/03/2011 20:00,27ª RODADA,2º TURNO,casa,vitória,5,Spillers,29.6,5,1,12,3,0,0,1,3,3,6,1,4,5,3,0,1,5,4,0,0,4
7,2010,Sesi Franca,Bauru,25/03/2011 20:00,27ª RODADA,2º TURNO,casa,vitória,5,Rogério,20.6,4,2,17,7,0,3,2,4,0,0,0,0,0,1,0,1,0,0,1,0,8
8,2010,Sesi Franca,Bauru,25/03/2011 20:00,27ª RODADA,2º TURNO,casa,vitória,5,Equipe,0.0,76,26,166,59,5,20,21,39,19,28,11,30,41,13,6,7,23,24,7,0,66
0,2010,Bauru,Sesi Franca,25/03/2011 20:00,27ª RODADA,2º TURNO,fora,derrota,-5,D. Nunes,33.0,22,5,35,10,2,5,3,5,10,10,3,3,6,0,1,1,1,5,1,2,12
1,2010,Bauru,Sesi Franca,25/03/2011 20:00,27ª RODADA,2º TURNO,fora,derrota,-5,Jeff,16.1,13,5,22,9,0,0,5,9,3,4,0,4,4,0,2,1,4,4,2,0,13
2,2010,Bauru,Sesi Franca,25/03/2011 20:00,27ª RODADA,2º TURNO,fora,derrota,-5,Pilar,22.3,12,5,23,9,1,3,4,6,1,2,1,1,2,2,0,0,4,3,1,1,10
3,2010,Bauru,Sesi Franca,25/03/2011 20:00,27ª RODADA,2º TURNO,fora,derrota,-5,Alex,37.5,8,2,29,9,2,7,0,2,2,4,1,3,4,0,0,0,3,2,1,0,11
4,2010,Bauru,Sesi Franca,25/03/2011 20:00,27ª RODADA,2º TURNO,fora,derrota,-5,F. Fischer,32.4,6,3,29,12,0,5,3,7,0,0,2,2,4,1,0,0,5,0,2,0,12
5,2010,Bauru,Sesi Franca,25/03/2011 20:00,27ª RODADA,2º TURNO,fora,derrota,-5,Larry Taylor,33.8,5,2,25,9,0,4,2,5,1,3,4,8,12,9,0,0,4,8,1,0,7
6,2010,Bauru,Sesi Franca,25/03/2011 20:00,27ª RODADA,2º TURNO,fora,derrota,-5,Gui Deodato,5.1,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
7,2010,Bauru,Sesi Franca,25/03/2011 20:00,27ª RODADA,2º TURNO,fora,derrota,-5,Renato,11.7,2,0,9,3,0,1,0,2,2,2,0,2,2,0,0,0,0,1,0,0,4
8,2010,Bauru,Sesi Franca,25/03/2011 20:00,27ª RODADA,2º TURNO,fora,derrota,-5,Lucas,6.2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
9,2010,Bauru,Sesi Franca,25/03/2011 20:00,27ª RODADA,2º TURNO,fora,derrota,-5,Equipe,0.0,71,23,177,63,6,26,17,37,19,25,11,23,34,12,3,2,23,23,9,3,71
