,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2010,Flamengo,Brasília,27/03/2011 11:00,28ª RODADA,2º TURNO,casa,vitória,13,Marcelinho,39.1,27,7,48,15,2,7,5,8,11,11,0,11,11,8,3,0,2,6,5,0,24
1,2010,Flamengo,Brasília,27/03/2011 11:00,28ª RODADA,2º TURNO,casa,vitória,13,Hélio,19.6,13,5,27,10,3,7,2,3,0,0,0,2,2,4,2,0,3,0,0,0,10
2,2010,Flamengo,Brasília,27/03/2011 11:00,28ª RODADA,2º TURNO,casa,vitória,13,Teague,17.4,12,4,22,7,1,4,3,3,3,4,0,0,0,0,1,0,4,2,1,0,10
3,2010,Flamengo,Brasília,27/03/2011 11:00,28ª RODADA,2º TURNO,casa,vitória,13,Duda,25.2,11,4,23,8,3,7,1,1,0,0,0,2,2,3,2,0,1,1,0,0,8
4,2010,Flamengo,Brasília,27/03/2011 11:00,28ª RODADA,2º TURNO,casa,vitória,13,Teichmann,26.0,10,5,24,11,0,1,5,10,0,1,2,8,10,1,0,1,3,3,2,2,11
5,2010,Flamengo,Brasília,27/03/2011 11:00,28ª RODADA,2º TURNO,casa,vitória,13,Jefferson,14.2,9,3,20,7,3,6,0,1,0,0,0,1,1,0,0,0,4,0,1,0,8
6,2010,Flamengo,Brasília,27/03/2011 11:00,28ª RODADA,2º TURNO,casa,vitória,13,Wagner,24.0,4,2,10,4,0,0,2,4,0,2,1,1,2,0,1,2,3,2,0,0,4
7,2010,Flamengo,Brasília,27/03/2011 11:00,28ª RODADA,2º TURNO,casa,vitória,13,Fred,20.4,4,1,8,2,0,0,1,2,2,4,0,0,0,0,2,0,4,2,1,0,5
8,2010,Flamengo,Brasília,27/03/2011 11:00,28ª RODADA,2º TURNO,casa,vitória,13,Dos Santos,14.0,3,0,6,0,0,0,0,0,3,6,1,3,4,0,0,0,1,3,1,0,2
9,2010,Flamengo,Brasília,27/03/2011 11:00,28ª RODADA,2º TURNO,casa,vitória,13,Equipe,0.0,93,31,188,64,12,32,19,32,19,28,4,28,32,16,11,3,25,19,11,2,82
0,2010,Brasília,Flamengo,27/03/2011 11:00,28ª RODADA,2º TURNO,fora,derrota,-13,Alex,35.5,29,9,44,13,5,8,4,5,6,10,1,5,6,2,1,0,2,10,2,0,18
1,2010,Brasília,Flamengo,27/03/2011 11:00,28ª RODADA,2º TURNO,fora,derrota,-13,Nezinho,31.5,16,5,38,13,3,8,2,5,3,4,1,7,8,2,2,0,5,3,8,0,22
2,2010,Brasília,Flamengo,27/03/2011 11:00,28ª RODADA,2º TURNO,fora,derrota,-13,Giovannoni,32.0,10,3,30,12,0,1,3,11,4,5,0,4,4,0,1,0,2,5,1,0,15
3,2010,Brasília,Flamengo,27/03/2011 11:00,28ª RODADA,2º TURNO,fora,derrota,-13,Rossi,14.0,9,3,12,4,3,4,0,0,0,0,0,0,0,1,2,0,2,0,0,0,4
4,2010,Brasília,Flamengo,27/03/2011 11:00,28ª RODADA,2º TURNO,fora,derrota,-13,Arthur,26.9,6,1,14,3,0,1,1,2,4,7,0,2,2,2,1,0,5,4,0,0,6
5,2010,Brasília,Flamengo,27/03/2011 11:00,28ª RODADA,2º TURNO,fora,derrota,-13,Cipriano,24.3,5,2,12,5,1,2,1,3,0,0,0,9,9,2,2,0,3,0,3,0,8
6,2010,Brasília,Flamengo,27/03/2011 11:00,28ª RODADA,2º TURNO,fora,derrota,-13,Ronald,10.3,4,1,6,2,0,0,1,2,2,2,1,0,1,0,0,0,2,1,0,0,2
7,2010,Brasília,Flamengo,27/03/2011 11:00,28ª RODADA,2º TURNO,fora,derrota,-13,Bruninho,11.0,1,0,7,2,0,1,0,1,1,2,0,1,1,0,0,0,1,2,3,0,6
8,2010,Brasília,Flamengo,27/03/2011 11:00,28ª RODADA,2º TURNO,fora,derrota,-13,Alírio,14.7,0,0,3,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
9,2010,Brasília,Flamengo,27/03/2011 11:00,28ª RODADA,2º TURNO,fora,derrota,-13,Equipe,0.0,80,24,166,55,12,26,12,29,20,30,3,29,32,9,10,0,22,25,17,0,81
