,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2010,Uberlândia,Brasília,20/04/2011 20:00,5ª RODADA,OITAVAS,casa,vitória,5,Robert Day,37.9,27,7,40,11,5,8,2,3,8,10,0,6,6,4,2,0,2,6,1,0,16
1,2010,Uberlândia,Brasília,20/04/2011 20:00,5ª RODADA,OITAVAS,casa,vitória,5,Valtinho,40.0,27,6,42,12,2,5,4,7,13,13,0,4,4,4,1,0,4,9,3,0,20
2,2010,Uberlândia,Brasília,20/04/2011 20:00,5ª RODADA,OITAVAS,casa,vitória,5,Cipolini,32.1,14,7,20,10,0,0,7,10,0,0,3,4,7,0,1,0,3,0,1,0,8
3,2010,Uberlândia,Brasília,20/04/2011 20:00,5ª RODADA,OITAVAS,casa,vitória,5,Collum,38.5,13,4,30,10,2,6,2,4,3,4,0,2,2,1,1,0,2,3,2,0,14
4,2010,Uberlândia,Brasília,20/04/2011 20:00,5ª RODADA,OITAVAS,casa,vitória,5,Estevão,23.9,8,3,18,8,0,0,3,8,2,2,3,3,6,2,0,0,3,2,0,0,6
5,2010,Uberlândia,Brasília,20/04/2011 20:00,5ª RODADA,OITAVAS,casa,vitória,5,Hátila Passos,21.2,7,1,14,4,0,0,1,4,5,6,3,1,4,1,0,0,4,5,0,0,3
6,2010,Uberlândia,Brasília,20/04/2011 20:00,5ª RODADA,OITAVAS,casa,vitória,5,Soró,4.9,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
7,2010,Uberlândia,Brasília,20/04/2011 20:00,5ª RODADA,OITAVAS,casa,vitória,5,Equipe,0.0,96,28,170,57,9,21,19,36,31,35,9,20,29,12,5,0,19,25,7,0,69
0,2010,Brasília,Uberlândia,20/04/2011 20:00,5ª RODADA,OITAVAS,fora,derrota,-5,Nezinho,35.9,24,7,39,13,6,9,1,4,4,4,0,1,1,5,2,0,4,6,5,0,20
1,2010,Brasília,Uberlândia,20/04/2011 20:00,5ª RODADA,OITAVAS,fora,derrota,-5,Cipriano,35.9,19,4,32,9,1,2,3,7,10,12,1,2,3,1,1,1,1,7,1,0,14
2,2010,Brasília,Uberlândia,20/04/2011 20:00,5ª RODADA,OITAVAS,fora,derrota,-5,Alex,36.1,17,7,33,13,1,5,6,8,2,2,1,3,4,8,1,0,4,2,2,0,15
3,2010,Brasília,Uberlândia,20/04/2011 20:00,5ª RODADA,OITAVAS,fora,derrota,-5,Giovannoni,36.1,16,7,30,13,1,3,6,10,1,1,2,2,4,2,1,0,2,2,1,0,12
4,2010,Brasília,Uberlândia,20/04/2011 20:00,5ª RODADA,OITAVAS,fora,derrota,-5,Fábio,14.3,5,2,10,4,1,2,1,2,0,0,0,1,1,0,1,0,3,0,0,0,4
5,2010,Brasília,Uberlândia,20/04/2011 20:00,5ª RODADA,OITAVAS,fora,derrota,-5,Arthur,13.3,5,2,10,4,1,2,1,2,0,0,0,0,0,0,1,0,5,0,0,0,4
6,2010,Brasília,Uberlândia,20/04/2011 20:00,5ª RODADA,OITAVAS,fora,derrota,-5,Rossi,12.7,3,1,6,2,1,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2
7,2010,Brasília,Uberlândia,20/04/2011 20:00,5ª RODADA,OITAVAS,fora,derrota,-5,Alírio,12.2,2,1,7,3,0,1,1,2,0,0,2,3,5,0,0,0,4,0,0,0,1
8,2010,Brasília,Uberlândia,20/04/2011 20:00,5ª RODADA,OITAVAS,fora,derrota,-5,Bruninho,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9,2010,Brasília,Uberlândia,20/04/2011 20:00,5ª RODADA,OITAVAS,fora,derrota,-5,Equipe,0.0,91,31,167,61,12,26,19,35,17,19,6,12,18,16,8,1,27,17,10,0,73
