,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2010,São José,Sesi Franca,24/04/2011 11:00,1ª RODADA,QUARTAS,casa,derrota,-7,Murilo,30.9,23,8,42,16,0,1,8,15,7,9,3,5,8,0,1,1,3,6,2,0,19
1,2010,São José,Sesi Franca,24/04/2011 11:00,1ª RODADA,QUARTAS,casa,derrota,-7,Renato Lamas,31.3,17,5,30,9,1,3,4,6,6,9,1,1,2,0,1,0,2,7,2,0,14
2,2010,São José,Sesi Franca,24/04/2011 11:00,1ª RODADA,QUARTAS,casa,derrota,-7,Fúlvio,38.7,17,6,30,11,3,6,3,5,2,2,0,2,2,12,3,0,3,4,2,0,14
3,2010,São José,Sesi Franca,24/04/2011 11:00,1ª RODADA,QUARTAS,casa,derrota,-7,Matheus,32.2,9,3,18,6,3,6,0,0,0,0,2,1,3,3,2,0,2,2,3,0,7
4,2010,São José,Sesi Franca,24/04/2011 11:00,1ª RODADA,QUARTAS,casa,derrota,-7,Mineiro,22.1,4,2,13,6,0,1,2,5,0,0,0,3,3,0,1,0,5,0,4,0,10
5,2010,São José,Sesi Franca,24/04/2011 11:00,1ª RODADA,QUARTAS,casa,derrota,-7,Wanderson,17.6,4,2,16,6,0,4,2,2,0,0,0,2,2,0,1,0,3,0,0,0,6
6,2010,São José,Sesi Franca,24/04/2011 11:00,1ª RODADA,QUARTAS,casa,derrota,-7,Paulo Nery,9.1,3,1,12,3,0,2,1,1,1,4,1,0,1,0,1,0,1,2,0,0,4
7,2010,São José,Sesi Franca,24/04/2011 11:00,1ª RODADA,QUARTAS,casa,derrota,-7,Shipp,2.2,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,2010,São José,Sesi Franca,24/04/2011 11:00,1ª RODADA,QUARTAS,casa,derrota,-7,Fabricio,4.6,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,2,2,1,0,2
9,2010,São José,Sesi Franca,24/04/2011 11:00,1ª RODADA,QUARTAS,casa,derrota,-7,Paulão,4.9,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
10,2010,São José,Sesi Franca,24/04/2011 11:00,1ª RODADA,QUARTAS,casa,derrota,-7,Xande,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,2010,São José,Sesi Franca,24/04/2011 11:00,1ª RODADA,QUARTAS,casa,derrota,-7,Equipe,0.0,79,28,167,60,7,23,21,37,16,24,7,14,21,16,10,2,23,23,14,0,77
0,2010,Sesi Franca,São José,24/04/2011 11:00,1ª RODADA,QUARTAS,fora,vitória,7,Márcio,32.4,24,7,41,13,4,7,3,6,6,8,1,4,5,0,0,0,2,6,2,0,17
1,2010,Sesi Franca,São José,24/04/2011 11:00,1ª RODADA,QUARTAS,fora,vitória,7,Helinho,36.9,14,4,25,8,3,6,1,2,3,3,1,4,5,5,1,0,2,3,1,0,9
2,2010,Sesi Franca,São José,24/04/2011 11:00,1ª RODADA,QUARTAS,fora,vitória,7,Ricardo Probst,25.0,12,4,20,7,0,1,4,6,4,5,5,4,9,2,1,0,4,5,1,0,5
3,2010,Sesi Franca,São José,24/04/2011 11:00,1ª RODADA,QUARTAS,fora,vitória,7,F. Penna,31.2,11,5,18,7,1,3,4,4,0,1,0,1,1,4,0,0,4,2,3,0,10
4,2010,Sesi Franca,São José,24/04/2011 11:00,1ª RODADA,QUARTAS,fora,vitória,7,Drudi,26.1,11,4,16,6,0,0,4,6,3,4,1,3,4,2,0,0,3,3,0,0,7
5,2010,Sesi Franca,São José,24/04/2011 11:00,1ª RODADA,QUARTAS,fora,vitória,7,Rogério,18.0,4,1,13,4,0,3,1,1,2,2,0,1,1,0,0,0,1,1,3,0,8
6,2010,Sesi Franca,São José,24/04/2011 11:00,1ª RODADA,QUARTAS,fora,vitória,7,Spillers,5.4,3,1,5,2,0,0,1,2,1,1,0,0,0,0,0,0,0,2,1,0,3
7,2010,Sesi Franca,São José,24/04/2011 11:00,1ª RODADA,QUARTAS,fora,vitória,7,Benite,10.4,3,1,7,3,1,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3
8,2010,Sesi Franca,São José,24/04/2011 11:00,1ª RODADA,QUARTAS,fora,vitória,7,Lewis,7.0,2,1,2,1,0,0,1,1,0,0,0,0,0,2,2,0,1,0,2,0,3
9,2010,Sesi Franca,São José,24/04/2011 11:00,1ª RODADA,QUARTAS,fora,vitória,7,Dedé,7.6,2,1,7,3,0,1,1,2,0,0,1,1,2,0,0,0,3,0,3,0,5
10,2010,Sesi Franca,São José,24/04/2011 11:00,1ª RODADA,QUARTAS,fora,vitória,7,Equipe,0.0,86,29,154,54,9,22,20,32,19,24,9,18,27,15,4,0,23,22,16,0,71
