,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2010,Joinville,Assis,07/11/2010 11:00,2ª RODADA,1º TURNO,casa,vitória,5,André,40.0,19,6,47,16,3,10,3,6,4,5,0,1,1,2,1,0,2,7,2,0,20
1,2010,Joinville,Assis,07/11/2010 11:00,2ª RODADA,1º TURNO,casa,vitória,5,Audrei,35.7,14,6,34,13,2,8,4,5,0,0,3,4,7,1,2,0,2,0,0,0,10
2,2010,Joinville,Assis,07/11/2010 11:00,2ª RODADA,1º TURNO,casa,vitória,5,Tiagão,23.4,12,5,30,11,2,7,3,4,0,1,2,6,8,1,2,0,0,3,0,0,9
3,2010,Joinville,Assis,07/11/2010 11:00,2ª RODADA,1º TURNO,casa,vitória,5,Gruber,11.8,7,3,16,7,1,1,2,6,0,1,1,2,3,0,0,0,1,1,1,0,7
4,2010,Joinville,Assis,07/11/2010 11:00,2ª RODADA,1º TURNO,casa,vitória,5,Coloneze,15.3,6,2,8,3,0,0,2,3,2,2,1,0,1,1,1,0,3,3,1,0,4
5,2010,Joinville,Assis,07/11/2010 11:00,2ª RODADA,1º TURNO,casa,vitória,5,Paulinho,12.2,5,2,9,3,0,1,2,2,1,2,0,1,1,2,0,0,1,2,1,0,5
6,2010,Joinville,Assis,07/11/2010 11:00,2ª RODADA,1º TURNO,casa,vitória,5,V. Bristott,8.4,4,1,11,4,0,1,1,3,2,2,1,0,1,0,0,0,1,2,0,0,4
7,2010,Joinville,Assis,07/11/2010 11:00,2ª RODADA,1º TURNO,casa,vitória,5,Schneider,12.2,4,1,21,8,0,3,1,5,2,2,1,0,1,0,1,0,1,1,0,0,8
8,2010,Joinville,Assis,07/11/2010 11:00,2ª RODADA,1º TURNO,casa,vitória,5,Shilton,31.9,2,1,6,3,0,0,1,3,0,0,1,7,8,2,2,0,3,0,1,1,3
9,2010,Joinville,Assis,07/11/2010 11:00,2ª RODADA,1º TURNO,casa,vitória,5,Renato,9.0,1,0,9,3,0,1,0,2,1,2,0,2,2,1,0,0,3,1,1,0,5
10,2010,Joinville,Assis,07/11/2010 11:00,2ª RODADA,1º TURNO,casa,vitória,5,Equipe,0.0,74,27,191,71,8,32,19,39,12,17,10,23,33,10,9,0,17,20,7,1,75
0,2010,Assis,Joinville,07/11/2010 11:00,2ª RODADA,1º TURNO,fora,derrota,-5,Ricardo,40.0,21,7,49,16,1,8,6,8,6,9,0,5,5,2,3,0,2,6,5,0,25
1,2010,Assis,Joinville,07/11/2010 11:00,2ª RODADA,1º TURNO,fora,derrota,-5,Matão,31.1,14,4,32,11,3,7,1,4,3,3,0,6,6,0,0,0,3,2,3,0,15
2,2010,Assis,Joinville,07/11/2010 11:00,2ª RODADA,1º TURNO,fora,derrota,-5,Andrezão,38.5,11,3,18,5,1,2,2,3,4,6,2,6,8,0,1,2,2,3,3,1,8
3,2010,Assis,Joinville,07/11/2010 11:00,2ª RODADA,1º TURNO,fora,derrota,-5,Cauê,29.4,10,4,14,6,0,0,4,6,2,2,1,4,5,2,0,0,2,1,0,0,6
4,2010,Assis,Joinville,07/11/2010 11:00,2ª RODADA,1º TURNO,fora,derrota,-5,Paulão,6.9,6,2,6,2,0,0,2,2,2,2,0,1,1,1,0,0,2,1,0,0,3
5,2010,Assis,Joinville,07/11/2010 11:00,2ª RODADA,1º TURNO,fora,derrota,-5,Cicero,20.7,4,2,12,5,0,2,2,3,0,0,1,4,5,2,2,0,4,2,1,0,5
6,2010,Assis,Joinville,07/11/2010 11:00,2ª RODADA,1º TURNO,fora,derrota,-5,Adriano,22.9,3,1,13,5,0,1,1,4,1,2,0,5,5,0,0,1,3,2,2,0,8
7,2010,Assis,Joinville,07/11/2010 11:00,2ª RODADA,1º TURNO,fora,derrota,-5,Zezinho,10.6,0,0,5,2,0,1,0,1,0,0,0,1,1,3,0,0,2,0,1,0,3
8,2010,Assis,Joinville,07/11/2010 11:00,2ª RODADA,1º TURNO,fora,derrota,-5,Equipe,0.0,69,23,149,52,5,21,18,31,18,24,4,32,36,10,6,3,20,17,15,1,73
