,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2011,Minas,São José,28/01/2012 18:00,17ª RODADA,2º TURNO,casa,vitória,5,Chuzito,37.6,21,6,38,12,0,2,6,10,9,12,1,6,7,8,1,0,2,9,3,0,19
1,2011,Minas,São José,28/01/2012 18:00,17ª RODADA,2º TURNO,casa,vitória,5,Felicio,16.9,13,5,15,6,0,0,5,6,3,3,1,2,3,0,0,1,5,2,2,0,8
2,2011,Minas,São José,28/01/2012 18:00,17ª RODADA,2º TURNO,casa,vitória,5,Mark Borders,36.2,12,5,25,10,1,4,4,6,1,1,2,2,4,5,2,0,3,2,5,0,13
3,2011,Minas,São José,28/01/2012 18:00,17ª RODADA,2º TURNO,casa,vitória,5,Jordan,32.4,11,3,18,5,1,2,2,3,4,6,2,6,8,2,0,0,4,5,2,0,7
4,2011,Minas,São José,28/01/2012 18:00,17ª RODADA,2º TURNO,casa,vitória,5,Rodrigo Silva,16.1,10,4,12,5,0,0,4,5,2,2,1,1,2,1,0,1,2,1,3,1,8
5,2011,Minas,São José,28/01/2012 18:00,17ª RODADA,2º TURNO,casa,vitória,5,Leandro Silva,23.5,7,3,25,9,1,5,2,4,0,2,0,4,4,0,2,0,4,1,0,0,10
6,2011,Minas,São José,28/01/2012 18:00,17ª RODADA,2º TURNO,casa,vitória,5,Hubner,12.3,6,2,12,5,0,0,2,5,2,2,1,2,3,0,0,0,4,1,1,0,6
7,2011,Minas,São José,28/01/2012 18:00,17ª RODADA,2º TURNO,casa,vitória,5,Bruno,16.8,3,1,11,4,1,3,0,1,0,0,0,2,2,1,0,0,1,0,0,0,4
8,2011,Minas,São José,28/01/2012 18:00,17ª RODADA,2º TURNO,casa,vitória,5,Otávio,8.1,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,1
9,2011,Minas,São José,28/01/2012 18:00,17ª RODADA,2º TURNO,casa,vitória,5,Luciano Starling,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011,Minas,São José,28/01/2012 18:00,17ª RODADA,2º TURNO,casa,vitória,5,Demétrio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2011,Minas,São José,28/01/2012 18:00,17ª RODADA,2º TURNO,casa,vitória,5,Tobias,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2011,Minas,São José,28/01/2012 18:00,17ª RODADA,2º TURNO,casa,vitória,5,Equipe,0.0,85,30,158,57,4,16,26,41,21,28,8,25,33,17,5,2,27,22,16,1,76
0,2011,São José,Minas,28/01/2012 18:00,17ª RODADA,2º TURNO,fora,derrota,-5,Murilo,36.6,33,7,58,18,0,1,7,17,19,21,8,7,15,1,3,1,4,11,5,0,23
1,2011,São José,Minas,28/01/2012 18:00,17ª RODADA,2º TURNO,fora,derrota,-5,Laws,35.0,12,2,21,6,0,1,2,5,8,8,3,1,4,1,1,0,5,4,1,0,7
2,2011,São José,Minas,28/01/2012 18:00,17ª RODADA,2º TURNO,fora,derrota,-5,Matheus,30.8,10,3,25,9,1,3,2,6,3,4,0,2,2,0,3,0,4,2,3,0,14
3,2011,São José,Minas,28/01/2012 18:00,17ª RODADA,2º TURNO,fora,derrota,-5,Fischer,20.9,8,2,17,5,0,2,2,3,4,5,1,1,2,5,1,0,4,4,0,0,6
4,2011,São José,Minas,28/01/2012 18:00,17ª RODADA,2º TURNO,fora,derrota,-5,Jefferson,25.9,7,2,25,9,1,5,1,4,2,2,2,5,7,0,2,0,2,2,3,0,11
5,2011,São José,Minas,28/01/2012 18:00,17ª RODADA,2º TURNO,fora,derrota,-5,Dedé,21.5,5,2,24,9,0,4,2,5,1,2,2,3,5,1,0,1,2,1,1,0,9
6,2011,São José,Minas,28/01/2012 18:00,17ª RODADA,2º TURNO,fora,derrota,-5,Calvo,22.8,5,2,10,4,0,1,2,3,1,1,0,2,2,0,0,0,1,0,1,0,5
7,2011,São José,Minas,28/01/2012 18:00,17ª RODADA,2º TURNO,fora,derrota,-5,Chico,5.1,0,0,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,2011,São José,Minas,28/01/2012 18:00,17ª RODADA,2º TURNO,fora,derrota,-5,Paulão,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,2011,São José,Minas,28/01/2012 18:00,17ª RODADA,2º TURNO,fora,derrota,-5,Jimmy,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011,São José,Minas,28/01/2012 18:00,17ª RODADA,2º TURNO,fora,derrota,-5,Equipe,0.0,80,20,189,63,2,20,18,43,38,43,16,21,37,8,10,2,23,24,14,0,78
