,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2011,Pinheiros,Limeira,11/02/2012 18:00,21ª RODADA,2º TURNO,casa,vitória,3,Olivinha,36.5,20,7,46,17,1,6,6,11,5,6,3,9,12,2,0,0,1,4,1,0,17
1,2011,Pinheiros,Limeira,11/02/2012 18:00,21ª RODADA,2º TURNO,casa,vitória,3,Shamell,30.0,19,7,36,13,1,4,6,9,4,6,1,2,3,3,1,0,2,6,2,0,16
2,2011,Pinheiros,Limeira,11/02/2012 18:00,21ª RODADA,2º TURNO,casa,vitória,3,B. Fiorotto,28.3,18,7,19,7,0,0,7,7,4,5,3,2,5,2,1,1,2,4,2,0,8
3,2011,Pinheiros,Limeira,11/02/2012 18:00,21ª RODADA,2º TURNO,casa,vitória,3,Marquinhos,33.6,14,3,25,7,1,3,2,4,7,8,1,1,2,3,0,0,3,6,1,0,10
4,2011,Pinheiros,Limeira,11/02/2012 18:00,21ª RODADA,2º TURNO,casa,vitória,3,Mineiro,11.2,6,3,8,3,0,0,3,3,0,2,0,1,1,0,1,0,1,1,0,1,4
5,2011,Pinheiros,Limeira,11/02/2012 18:00,21ª RODADA,2º TURNO,casa,vitória,3,Paulinho,15.0,5,1,17,5,0,3,1,2,3,4,0,1,1,1,1,0,2,3,4,0,11
6,2011,Pinheiros,Limeira,11/02/2012 18:00,21ª RODADA,2º TURNO,casa,vitória,3,Figueroa,35.3,4,1,7,2,0,1,1,1,2,2,0,3,3,5,1,0,4,3,1,0,4
7,2011,Pinheiros,Limeira,11/02/2012 18:00,21ª RODADA,2º TURNO,casa,vitória,3,Davi,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011,Pinheiros,Limeira,11/02/2012 18:00,21ª RODADA,2º TURNO,casa,vitória,3,Bruno Mortari,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011,Pinheiros,Limeira,11/02/2012 18:00,21ª RODADA,2º TURNO,casa,vitória,3,Lucas Dias,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011,Pinheiros,Limeira,11/02/2012 18:00,21ª RODADA,2º TURNO,casa,vitória,3,Renato Lamas,10.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
11,2011,Pinheiros,Limeira,11/02/2012 18:00,21ª RODADA,2º TURNO,casa,vitória,3,PH Macedo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2011,Pinheiros,Limeira,11/02/2012 18:00,21ª RODADA,2º TURNO,casa,vitória,3,Equipe,0.0,86,29,158,54,3,17,26,37,25,33,8,20,28,16,6,1,16,27,11,1,70
0,2011,Limeira,Pinheiros,11/02/2012 18:00,21ª RODADA,2º TURNO,fora,derrota,-3,Jhonatan,27.4,19,7,30,11,3,6,4,5,2,2,4,3,7,2,2,0,4,2,0,1,8
1,2011,Limeira,Pinheiros,11/02/2012 18:00,21ª RODADA,2º TURNO,fora,derrota,-3,Benite,36.9,18,6,44,16,2,8,4,8,4,4,0,1,1,5,0,0,4,4,3,0,21
2,2011,Limeira,Pinheiros,11/02/2012 18:00,21ª RODADA,2º TURNO,fora,derrota,-3,Ramon,29.1,11,3,25,8,1,4,2,4,4,5,1,1,2,0,1,0,5,5,2,0,11
