,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2011,Brasília,Paulistano,03/03/2012 18:00,25ª RODADA,2º TURNO,casa,vitória,34,Giovannoni,33.0,26,9,32,11,2,2,7,9,6,8,2,2,4,4,0,0,3,6,1,1,13
1,2011,Brasília,Paulistano,03/03/2012 18:00,25ª RODADA,2º TURNO,casa,vitória,34,Arthur,31.5,19,7,30,11,3,5,4,6,2,3,0,5,5,4,1,0,5,5,1,0,13
2,2011,Brasília,Paulistano,03/03/2012 18:00,25ª RODADA,2º TURNO,casa,vitória,34,Nezinho,33.8,18,5,37,12,5,9,0,3,3,4,1,2,3,5,1,0,3,5,4,0,17
3,2011,Brasília,Paulistano,03/03/2012 18:00,25ª RODADA,2º TURNO,casa,vitória,34,Alex Garcia,34.9,16,6,38,13,3,9,3,4,1,3,0,5,5,4,1,0,1,4,0,0,14
4,2011,Brasília,Paulistano,03/03/2012 18:00,25ª RODADA,2º TURNO,casa,vitória,34,Tischer,17.9,8,4,8,4,0,0,4,4,0,0,0,4,4,0,2,1,2,1,1,1,5
5,2011,Brasília,Paulistano,03/03/2012 18:00,25ª RODADA,2º TURNO,casa,vitória,34,Rossi,12.5,6,2,12,4,2,4,0,0,0,0,0,1,1,0,1,0,2,0,0,0,4
6,2011,Brasília,Paulistano,03/03/2012 18:00,25ª RODADA,2º TURNO,casa,vitória,34,Cipriano,19.4,3,1,10,4,0,1,1,3,1,1,1,5,6,0,0,1,3,1,0,0,3
7,2011,Brasília,Paulistano,03/03/2012 18:00,25ª RODADA,2º TURNO,casa,vitória,34,Bruninho,3.4,1,0,2,0,0,0,0,0,1,2,0,1,1,0,0,0,0,1,0,0,1
8,2011,Brasília,Paulistano,03/03/2012 18:00,25ª RODADA,2º TURNO,casa,vitória,34,Alírio,12.1,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,1,3,0,0,0,2
9,2011,Brasília,Paulistano,03/03/2012 18:00,25ª RODADA,2º TURNO,casa,vitória,34,Fábio,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,2011,Brasília,Paulistano,03/03/2012 18:00,25ª RODADA,2º TURNO,casa,vitória,34,Ismar,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2011,Brasília,Paulistano,03/03/2012 18:00,25ª RODADA,2º TURNO,casa,vitória,34,Ronald,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2011,Brasília,Paulistano,03/03/2012 18:00,25ª RODADA,2º TURNO,casa,vitória,34,Equipe,0.0,97,34,173,61,15,30,19,31,14,21,4,26,30,17,6,3,23,23,7,2,72
0,2011,Paulistano,Brasília,03/03/2012 18:00,25ª RODADA,2º TURNO,fora,derrota,-34,Araujo,30.9,16,5,30,9,3,6,2,3,3,6,3,3,6,2,1,1,4,4,1,1,9
1,2011,Paulistano,Brasília,03/03/2012 18:00,25ª RODADA,2º TURNO,fora,derrota,-34,Alex,30.1,11,4,31,11,2,7,2,4,1,2,2,5,7,2,0,0,4,2,3,0,13
2,2011,Paulistano,Brasília,03/03/2012 18:00,25ª RODADA,2º TURNO,fora,derrota,-34,Betinho,22.1,9,2,13,3,0,1,2,2,5,6,0,1,1,2,1,1,3,5,2,0,7
3,2011,Paulistano,Brasília,03/03/2012 18:00,25ª RODADA,2º TURNO,fora,derrota,-34,Renato,36.8,8,3,31,13,2,5,1,8,0,0,1,4,5,0,0,0,3,2,4,0,16
4,2011,Paulistano,Brasília,03/03/2012 18:00,25ª RODADA,2º TURNO,fora,derrota,-34,Pedro,23.3,8,3,23,8,2,5,1,3,0,2,0,3,3,0,0,0,2,0,0,0,9
5,2011,Paulistano,Brasília,03/03/2012 18:00,25ª RODADA,2º TURNO,fora,derrota,-34,Elinho,31.8,4,0,20,6,0,4,0,2,4,4,0,5,5,2,2,0,2,3,1,0,9
6,2011,Paulistano,Brasília,03/03/2012 18:00,25ª RODADA,2º TURNO,fora,derrota,-34,Addai,12.0,3,0,14,4,0,2,0,2,3,4,1,0,1,1,1,0,4,2,1,0,6
7,2011,Paulistano,Brasília,03/03/2012 18:00,25ª RODADA,2º TURNO,fora,derrota,-34,Erick,4.3,2,0,2,0,0,0,0,0,2,2,0,1,1,0,0,0,2,1,0,0,1
8,2011,Paulistano,Brasília,03/03/2012 18:00,25ª RODADA,2º TURNO,fora,derrota,-34,Adriano,8.7,2,1,7,3,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,3
9,2011,Paulistano,Brasília,03/03/2012 18:00,25ª RODADA,2º TURNO,fora,derrota,-34,Luiz Henrique,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011,Paulistano,Brasília,03/03/2012 18:00,25ª RODADA,2º TURNO,fora,derrota,-34,Equipe,0.0,63,18,171,57,9,31,9,26,18,26,7,22,29,9,5,2,26,19,12,1,72
