,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2011,Uberlândia,Sesi Franca,05/04/2012 20:00,30ª RODADA,2º TURNO,casa,vitória,12,Robert Day,32.0,24,8,40,13,0,4,8,9,8,10,3,1,4,4,0,0,3,8,0,0,14
1,2011,Uberlândia,Sesi Franca,05/04/2012 20:00,30ª RODADA,2º TURNO,casa,vitória,12,Collum,37.8,16,5,40,14,3,8,2,6,3,4,0,3,3,1,1,1,3,3,0,0,16
2,2011,Uberlândia,Sesi Franca,05/04/2012 20:00,30ª RODADA,2º TURNO,casa,vitória,12,Cipolini,20.7,15,5,18,6,0,0,5,6,5,6,2,1,3,2,1,1,2,3,2,1,8
3,2011,Uberlândia,Sesi Franca,05/04/2012 20:00,30ª RODADA,2º TURNO,casa,vitória,12,Coelho,19.4,8,3,18,7,1,2,2,5,1,2,1,2,3,0,1,0,0,1,0,1,7
4,2011,Uberlândia,Sesi Franca,05/04/2012 20:00,30ª RODADA,2º TURNO,casa,vitória,12,Estevão,17.5,6,3,16,8,0,0,3,8,0,0,0,6,6,0,2,0,1,0,0,1,8
5,2011,Uberlândia,Sesi Franca,05/04/2012 20:00,30ª RODADA,2º TURNO,casa,vitória,12,Valtinho,23.9,4,1,15,4,1,3,0,1,1,4,0,5,5,5,0,0,0,5,1,0,7
6,2011,Uberlândia,Sesi Franca,05/04/2012 20:00,30ª RODADA,2º TURNO,casa,vitória,12,Soró,13.0,4,1,6,2,0,0,1,2,2,2,2,1,3,1,1,0,2,1,1,0,2
7,2011,Uberlândia,Sesi Franca,05/04/2012 20:00,30ª RODADA,2º TURNO,casa,vitória,12,Brasília,10.3,2,1,5,2,0,0,1,2,0,1,1,3,4,0,0,0,2,1,1,0,2
8,2011,Uberlândia,Sesi Franca,05/04/2012 20:00,30ª RODADA,2º TURNO,casa,vitória,12,Leonardo,15.5,1,0,4,1,0,0,0,1,1,2,1,0,1,2,0,2,5,2,0,0,1
9,2011,Uberlândia,Sesi Franca,05/04/2012 20:00,30ª RODADA,2º TURNO,casa,vitória,12,Vieira,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011,Uberlândia,Sesi Franca,05/04/2012 20:00,30ª RODADA,2º TURNO,casa,vitória,12,Leandro,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2011,Uberlândia,Sesi Franca,05/04/2012 20:00,30ª RODADA,2º TURNO,casa,vitória,12,Dida,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2011,Uberlândia,Sesi Franca,05/04/2012 20:00,30ª RODADA,2º TURNO,casa,vitória,12,Equipe,0.0,80,27,162,57,5,17,22,40,21,31,10,22,32,15,6,4,18,24,5,3,64
0,2011,Sesi Franca,Uberlândia,05/04/2012 20:00,30ª RODADA,2º TURNO,fora,derrota,-12,Márcio,28.8,17,7,27,10,0,2,7,8,3,5,2,1,3,0,0,0,5,5,0,0,10
1,2011,Sesi Franca,Uberlândia,05/04/2012 20:00,30ª RODADA,2º TURNO,fora,derrota,-12,Drudi,34.3,16,4,26,9,0,0,4,9,8,8,1,2,3,1,2,0,2,5,0,0,11
2,2011,Sesi Franca,Uberlândia,05/04/2012 20:00,30ª RODADA,2º TURNO,fora,derrota,-12,Helinho,31.9,10,3,23,8,2,5,1,3,2,2,0,2,2,3,0,0,2,2,4,0,13
3,2011,Sesi Franca,Uberlândia,05/04/2012 20:00,30ª RODADA,2º TURNO,fora,derrota,-12,Sowell,27.6,8,3,21,8,0,3,3,5,2,2,1,2,3,3,1,0,2,2,0,0,8
4,2011,Sesi Franca,Uberlândia,05/04/2012 20:00,30ª RODADA,2º TURNO,fora,derrota,-12,Wanderson,9.2,6,3,8,4,0,0,3,4,0,0,0,1,1,0,0,0,3,0,1,0,5
5,2011,Sesi Franca,Uberlândia,05/04/2012 20:00,30ª RODADA,2º TURNO,fora,derrota,-12,Basden,31.8,4,2,23,10,0,3,2,7,0,0,1,8,9,4,0,0,3,0,1,0,10
6,2011,Sesi Franca,Uberlândia,05/04/2012 20:00,30ª RODADA,2º TURNO,fora,derrota,-12,Ivanovic,11.1,4,2,6,3,0,0,2,3,0,0,1,1,2,0,0,0,1,2,0,1,2
7,2011,Sesi Franca,Uberlândia,05/04/2012 20:00,30ª RODADA,2º TURNO,fora,derrota,-12,F. Penna,12.9,3,1,8,3,1,2,0,1,0,0,0,1,1,2,2,0,3,2,1,0,4
8,2011,Sesi Franca,Uberlândia,05/04/2012 20:00,30ª RODADA,2º TURNO,fora,derrota,-12,Lucas Mariano,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011,Sesi Franca,Uberlândia,05/04/2012 20:00,30ª RODADA,2º TURNO,fora,derrota,-12,Ricardo Probst,12.4,0,0,2,1,0,0,0,1,0,0,0,5,5,0,0,0,4,0,1,0,2
10,2011,Sesi Franca,Uberlândia,05/04/2012 20:00,30ª RODADA,2º TURNO,fora,derrota,-12,Léo Meindl,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2011,Sesi Franca,Uberlândia,05/04/2012 20:00,30ª RODADA,2º TURNO,fora,derrota,-12,Atílio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2011,Sesi Franca,Uberlândia,05/04/2012 20:00,30ª RODADA,2º TURNO,fora,derrota,-12,Equipe,0.0,68,25,144,56,3,15,22,41,15,17,6,23,29,13,5,0,25,18,8,1,65
