,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2011,Paulistano,Sesi Franca,17/04/2012 21:00,2ª RODADA,OITAVAS,casa,derrota,-7,Betinho,23.8,15,4,30,9,1,4,3,5,6,8,0,0,0,1,1,0,4,5,3,1,15
1,2011,Paulistano,Sesi Franca,17/04/2012 21:00,2ª RODADA,OITAVAS,casa,derrota,-7,Alex,30.9,12,4,32,11,2,8,2,3,2,2,0,3,3,2,2,0,3,2,1,2,13
2,2011,Paulistano,Sesi Franca,17/04/2012 21:00,2ª RODADA,OITAVAS,casa,derrota,-7,Felipe,30.1,11,3,22,6,1,3,2,3,4,7,2,6,8,0,0,0,0,5,3,0,10
3,2011,Paulistano,Sesi Franca,17/04/2012 21:00,2ª RODADA,OITAVAS,casa,derrota,-7,Elinho,35.0,10,4,15,6,0,1,4,5,2,2,1,3,4,6,1,0,4,1,2,0,8
4,2011,Paulistano,Sesi Franca,17/04/2012 21:00,2ª RODADA,OITAVAS,casa,derrota,-7,Renato,33.2,8,4,20,9,0,2,4,7,0,0,2,4,6,2,1,0,3,0,0,0,7
5,2011,Paulistano,Sesi Franca,17/04/2012 21:00,2ª RODADA,OITAVAS,casa,derrota,-7,Araujo,11.7,7,2,12,4,0,1,2,3,3,3,2,4,6,1,0,1,0,4,1,0,4
6,2011,Paulistano,Sesi Franca,17/04/2012 21:00,2ª RODADA,OITAVAS,casa,derrota,-7,Luiz Henrique,4.7,3,1,6,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
7,2011,Paulistano,Sesi Franca,17/04/2012 21:00,2ª RODADA,OITAVAS,casa,derrota,-7,Pedro,16.2,2,1,12,5,0,2,1,3,0,0,0,1,1,1,0,0,3,0,0,0,5
8,2011,Paulistano,Sesi Franca,17/04/2012 21:00,2ª RODADA,OITAVAS,casa,derrota,-7,Erick,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
9,2011,Paulistano,Sesi Franca,17/04/2012 21:00,2ª RODADA,OITAVAS,casa,derrota,-7,Felipinho,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011,Paulistano,Sesi Franca,17/04/2012 21:00,2ª RODADA,OITAVAS,casa,derrota,-7,Adriano,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
11,2011,Paulistano,Sesi Franca,17/04/2012 21:00,2ª RODADA,OITAVAS,casa,derrota,-7,Addai,9.1,0,0,6,2,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2
12,2011,Paulistano,Sesi Franca,17/04/2012 21:00,2ª RODADA,OITAVAS,casa,derrota,-7,Equipe,0.0,68,23,155,54,5,25,18,29,17,22,7,22,29,13,5,1,23,18,10,3,66
0,2011,Sesi Franca,Paulistano,17/04/2012 21:00,2ª RODADA,OITAVAS,fora,vitória,7,Drudi,38.6,18,9,24,12,0,0,9,12,0,0,3,4,7,2,1,0,3,1,2,0,11
1,2011,Sesi Franca,Paulistano,17/04/2012 21:00,2ª RODADA,OITAVAS,fora,vitória,7,Sowell,33.7,16,6,34,12,1,6,5,6,3,4,2,1,3,5,1,0,0,6,4,0,16
2,2011,Sesi Franca,Paulistano,17/04/2012 21:00,2ª RODADA,OITAVAS,fora,vitória,7,Márcio,27.7,10,4,29,11,0,4,4,7,2,3,0,2,2,1,0,0,3,6,1,0,13
3,2011,Sesi Franca,Paulistano,17/04/2012 21:00,2ª RODADA,OITAVAS,fora,vitória,7,Helinho,21.2,10,4,12,5,2,2,2,3,0,0,0,1,1,2,0,0,2,3,2,0,7
4,2011,Sesi Franca,Paulistano,17/04/2012 21:00,2ª RODADA,OITAVAS,fora,vitória,7,Ivanovic,27.0,9,4,20,8,0,0,4,8,1,4,1,5,6,1,2,1,4,2,1,0,10
5,2011,Sesi Franca,Paulistano,17/04/2012 21:00,2ª RODADA,OITAVAS,fora,vitória,7,F. Penna,21.3,6,1,12,3,1,2,0,1,3,4,0,2,2,3,2,0,2,3,0,0,5
6,2011,Sesi Franca,Paulistano,17/04/2012 21:00,2ª RODADA,OITAVAS,fora,vitória,7,Basden,19.8,4,1,20,8,0,2,1,6,2,2,2,1,3,0,0,0,2,1,1,0,8
7,2011,Sesi Franca,Paulistano,17/04/2012 21:00,2ª RODADA,OITAVAS,fora,vitória,7,Ricardo Probst,9.5,2,1,6,3,0,0,1,3,0,0,0,5,5,0,0,0,3,0,1,0,4
8,2011,Sesi Franca,Paulistano,17/04/2012 21:00,2ª RODADA,OITAVAS,fora,vitória,7,Lucas Mariano,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011,Sesi Franca,Paulistano,17/04/2012 21:00,2ª RODADA,OITAVAS,fora,vitória,7,Léo Meindl,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011,Sesi Franca,Paulistano,17/04/2012 21:00,2ª RODADA,OITAVAS,fora,vitória,7,Atílio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2011,Sesi Franca,Paulistano,17/04/2012 21:00,2ª RODADA,OITAVAS,fora,vitória,7,Wanderson,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
