,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2011,São José,Flamengo,27/05/2012 18:00,5ª RODADA,SEMI,casa,vitória,16,Murilo,33.1,32,13,46,20,1,1,12,19,5,5,3,4,7,2,2,0,4,4,3,1,22
1,2011,São José,Flamengo,27/05/2012 18:00,5ª RODADA,SEMI,casa,vitória,16,Fúlvio,32.4,20,6,25,8,3,4,3,4,5,5,0,4,4,8,0,0,4,6,4,0,14
2,2011,São José,Flamengo,27/05/2012 18:00,5ª RODADA,SEMI,casa,vitória,16,Dedé,25.0,16,7,29,12,2,4,5,8,0,1,0,3,3,1,1,0,3,3,3,1,15
3,2011,São José,Flamengo,27/05/2012 18:00,5ª RODADA,SEMI,casa,vitória,16,Laws,35.6,13,4,13,4,1,1,3,3,4,4,1,1,2,3,1,0,0,2,1,0,6
4,2011,São José,Flamengo,27/05/2012 18:00,5ª RODADA,SEMI,casa,vitória,16,Jefferson,25.4,8,3,15,6,2,3,1,3,0,0,0,5,5,0,0,2,5,0,3,0,9
5,2011,São José,Flamengo,27/05/2012 18:00,5ª RODADA,SEMI,casa,vitória,16,Fischer,11.4,7,0,8,0,0,0,0,0,7,8,0,0,0,3,0,0,1,5,0,0,3
6,2011,São José,Flamengo,27/05/2012 18:00,5ª RODADA,SEMI,casa,vitória,16,Chico,21.5,5,2,8,3,1,2,1,1,0,0,0,3,3,1,0,3,2,0,1,1,4
7,2011,São José,Flamengo,27/05/2012 18:00,5ª RODADA,SEMI,casa,vitória,16,Calvo,11.2,3,1,11,4,0,1,1,3,1,2,0,3,3,1,1,0,2,2,0,0,5
8,2011,São José,Flamengo,27/05/2012 18:00,5ª RODADA,SEMI,casa,vitória,16,Matheus,4.4,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
9,2011,São José,Flamengo,27/05/2012 18:00,5ª RODADA,SEMI,casa,vitória,16,Robinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011,São José,Flamengo,27/05/2012 18:00,5ª RODADA,SEMI,casa,vitória,16,Paulão,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2011,São José,Flamengo,27/05/2012 18:00,5ª RODADA,SEMI,casa,vitória,16,Equipe,0.0,106,37,157,58,10,16,27,42,22,25,4,23,27,19,5,5,22,22,15,3,79
0,2011,Flamengo,São José,27/05/2012 18:00,5ª RODADA,SEMI,fora,derrota,-16,Marcelinho,37.7,28,9,58,19,3,10,6,9,7,10,0,5,5,3,0,0,4,8,5,0,28
1,2011,Flamengo,São José,27/05/2012 18:00,5ª RODADA,SEMI,fora,derrota,-16,Kammerichs,38.0,22,8,35,14,0,1,8,13,6,6,3,2,5,0,1,0,4,4,1,1,14
2,2011,Flamengo,São José,27/05/2012 18:00,5ª RODADA,SEMI,fora,derrota,-16,David Jackson,38.4,15,6,26,11,1,2,5,9,2,2,2,3,5,6,1,0,2,2,0,0,10
3,2011,Flamengo,São José,27/05/2012 18:00,5ª RODADA,SEMI,fora,derrota,-16,Duda,14.0,9,3,21,8,2,4,1,4,1,1,0,1,1,2,0,0,3,2,0,0,8
4,2011,Flamengo,São José,27/05/2012 18:00,5ª RODADA,SEMI,fora,derrota,-16,Caio Torres,16.6,7,3,22,9,0,2,3,7,1,2,3,3,6,0,0,0,2,2,0,0,7
5,2011,Flamengo,São José,27/05/2012 18:00,5ª RODADA,SEMI,fora,derrota,-16,Hayes,23.1,5,2,15,6,1,3,1,3,0,0,2,2,4,2,3,0,2,1,0,0,4
6,2011,Flamengo,São José,27/05/2012 18:00,5ª RODADA,SEMI,fora,derrota,-16,Hélio,19.5,4,2,6,3,0,0,2,3,0,0,1,1,2,3,0,1,4,0,1,0,3
7,2011,Flamengo,São José,27/05/2012 18:00,5ª RODADA,SEMI,fora,derrota,-16,Dos Santos,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011,Flamengo,São José,27/05/2012 18:00,5ª RODADA,SEMI,fora,derrota,-16,Teichmann,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,2011,Flamengo,São José,27/05/2012 18:00,5ª RODADA,SEMI,fora,derrota,-16,Fred,10.5,0,0,5,2,0,1,0,1,0,0,0,1,1,1,0,0,2,0,0,0,2
10,2011,Flamengo,São José,27/05/2012 18:00,5ª RODADA,SEMI,fora,derrota,-16,Wagner,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2011,Flamengo,São José,27/05/2012 18:00,5ª RODADA,SEMI,fora,derrota,-16,Equipe,0.0,90,33,188,72,7,23,26,49,17,21,11,18,29,17,5,1,24,19,7,1,76
