,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2011,Minas,Araraquara,10/12/2011 18:00,8ª RODADA,1º TURNO,casa,vitória,11,Leandro Silva,30.5,20,7,27,10,6,7,1,3,0,0,2,5,7,1,1,0,1,3,0,0,8
1,2011,Minas,Araraquara,10/12/2011 18:00,8ª RODADA,1º TURNO,casa,vitória,11,Cauê,33.5,19,9,23,11,0,0,9,11,1,1,0,3,3,1,0,0,1,4,2,0,13
2,2011,Minas,Araraquara,10/12/2011 18:00,8ª RODADA,1º TURNO,casa,vitória,11,Mark Borders,34.8,15,5,29,11,1,3,4,8,4,4,0,3,3,7,1,0,1,2,2,0,15
3,2011,Minas,Araraquara,10/12/2011 18:00,8ª RODADA,1º TURNO,casa,vitória,11,Bruno,25.1,8,3,19,7,0,3,3,4,2,2,0,1,1,2,0,0,2,1,1,0,9
4,2011,Minas,Araraquara,10/12/2011 18:00,8ª RODADA,1º TURNO,casa,vitória,11,Hubner,20.2,6,3,12,6,0,0,3,6,0,0,1,3,4,0,0,1,3,0,0,0,5
5,2011,Minas,Araraquara,10/12/2011 18:00,8ª RODADA,1º TURNO,casa,vitória,11,Rodrigo Silva,17.6,5,2,10,4,0,0,2,4,1,2,3,4,7,0,0,0,1,1,2,1,4
6,2011,Minas,Araraquara,10/12/2011 18:00,8ª RODADA,1º TURNO,casa,vitória,11,Chuzito,21.5,4,2,24,10,0,4,2,6,0,0,0,2,2,4,1,0,4,3,0,0,10
7,2011,Minas,Araraquara,10/12/2011 18:00,8ª RODADA,1º TURNO,casa,vitória,11,Felicio,8.8,4,2,4,2,0,0,2,2,0,0,2,1,3,0,0,0,3,0,1,0,1
8,2011,Minas,Araraquara,10/12/2011 18:00,8ª RODADA,1º TURNO,casa,vitória,11,Jordan,3.0,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2
9,2011,Minas,Araraquara,10/12/2011 18:00,8ª RODADA,1º TURNO,casa,vitória,11,Otávio,5.2,0,0,5,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
10,2011,Minas,Araraquara,10/12/2011 18:00,8ª RODADA,1º TURNO,casa,vitória,11,Equipe,0.0,83,34,155,64,7,18,27,46,8,9,8,22,30,15,3,1,17,14,9,1,69
0,2011,Araraquara,Minas,10/12/2011 18:00,8ª RODADA,1º TURNO,fora,derrota,-11,Deivisson,30.0,18,7,32,14,0,0,7,14,4,4,2,8,10,0,0,0,0,2,3,0,17
1,2011,Araraquara,Minas,10/12/2011 18:00,8ª RODADA,1º TURNO,fora,derrota,-11,Edu Mariano,24.8,13,4,22,6,1,3,3,3,4,7,1,4,5,3,2,0,1,6,1,0,9
2,2011,Araraquara,Minas,10/12/2011 18:00,8ª RODADA,1º TURNO,fora,derrota,-11,Ricardo,35.5,12,5,31,13,2,5,3,8,0,0,3,2,5,1,2,1,3,0,0,0,10
3,2011,Araraquara,Minas,10/12/2011 18:00,8ª RODADA,1º TURNO,fora,derrota,-11,Luisinho,36.0,11,3,24,8,1,3,2,5,4,5,0,2,2,2,0,0,4,4,0,0,10
4,2011,Araraquara,Minas,10/12/2011 18:00,8ª RODADA,1º TURNO,fora,derrota,-11,Thiaguinho,23.8,10,3,29,11,0,3,3,8,4,4,2,0,2,3,0,0,2,2,1,0,12
5,2011,Araraquara,Minas,10/12/2011 18:00,8ª RODADA,1º TURNO,fora,derrota,-11,Daniel Filé,10.0,8,3,12,5,0,0,3,5,2,2,1,1,2,0,0,0,1,2,3,0,8
6,2011,Araraquara,Minas,10/12/2011 18:00,8ª RODADA,1º TURNO,fora,derrota,-11,Felipe,22.3,0,0,4,2,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,2
7,2011,Araraquara,Minas,10/12/2011 18:00,8ª RODADA,1º TURNO,fora,derrota,-11,Zezinho,17.7,0,0,5,1,0,1,0,0,0,2,0,0,0,2,0,0,2,1,2,0,4
8,2011,Araraquara,Minas,10/12/2011 18:00,8ª RODADA,1º TURNO,fora,derrota,-11,Equipe,0.0,72,25,159,60,4,15,21,45,18,24,9,17,26,13,4,1,14,17,10,0,71
