,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,São José,Uberlândia,19/01/2013 18:00,16ª RODADA,1º TURNO,casa,vitória,0,Deivisson,26.9,20,7,34,13,0,0,7,13,6,8,6,4,10,0,0,0,4,8,4,0,14
1,2012,São José,Uberlândia,19/01/2013 18:00,16ª RODADA,1º TURNO,casa,vitória,0,Calvo,33.3,17,6,33,13,2,4,4,9,3,3,1,9,10,2,0,0,2,3,1,0,14
2,2012,São José,Uberlândia,19/01/2013 18:00,16ª RODADA,1º TURNO,casa,vitória,0,Chico,34.2,14,5,31,11,4,9,1,2,0,0,3,1,4,3,2,2,2,1,0,1,8
3,2012,São José,Uberlândia,19/01/2013 18:00,16ª RODADA,1º TURNO,casa,vitória,0,Erick,13.1,12,4,16,6,0,0,4,6,4,4,0,0,0,0,0,0,2,2,1,0,9
4,2012,São José,Uberlândia,19/01/2013 18:00,16ª RODADA,1º TURNO,casa,vitória,0,Fúlvio,35.6,9,3,20,7,2,4,1,3,1,2,1,3,4,14,3,0,1,1,6,0,13
5,2012,São José,Uberlândia,19/01/2013 18:00,16ª RODADA,1º TURNO,casa,vitória,0,Laws,35.7,6,3,16,7,0,2,3,5,0,0,1,2,3,4,1,0,2,2,1,0,7
6,2012,São José,Uberlândia,19/01/2013 18:00,16ª RODADA,1º TURNO,casa,vitória,0,Luiz Felipe,15.4,2,1,12,5,0,2,1,3,0,0,0,4,4,0,1,0,2,0,0,0,5
7,2012,São José,Uberlândia,19/01/2013 18:00,16ª RODADA,1º TURNO,casa,vitória,0,Robinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2012,São José,Uberlândia,19/01/2013 18:00,16ª RODADA,1º TURNO,casa,vitória,0,Chandler,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,São José,Uberlândia,19/01/2013 18:00,16ª RODADA,1º TURNO,casa,vitória,0,Icaro,5.7,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,2012,São José,Uberlândia,19/01/2013 18:00,16ª RODADA,1º TURNO,casa,vitória,0,Radamés,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012,São José,Uberlândia,19/01/2013 18:00,16ª RODADA,1º TURNO,casa,vitória,0,Gabriel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012,São José,Uberlândia,19/01/2013 18:00,16ª RODADA,1º TURNO,casa,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2012,Uberlândia,São José,19/01/2013 18:00,16ª RODADA,1º TURNO,fora,vitória,0,Gruber,36.9,22,8,42,16,4,8,4,8,2,2,2,2,4,5,0,0,3,2,4,0,19
1,2012,Uberlândia,São José,19/01/2013 18:00,16ª RODADA,1º TURNO,fora,vitória,0,Robert Day,36.3,17,6,26,9,3,6,3,3,2,2,1,5,6,6,3,0,3,4,1,0,10
2,2012,Uberlândia,São José,19/01/2013 18:00,16ª RODADA,1º TURNO,fora,vitória,0,Cipolini,32.9,14,5,28,11,0,2,5,9,4,4,1,4,5,0,3,1,1,2,2,1,14
3,2012,Uberlândia,São José,19/01/2013 18:00,16ª RODADA,1º TURNO,fora,vitória,0,Helinho,40.0,14,5,31,11,3,7,2,4,1,2,1,3,4,6,0,0,2,4,1,0,12
4,2012,Uberlândia,São José,19/01/2013 18:00,16ª RODADA,1º TURNO,fora,vitória,0,Estevão,8.0,4,2,10,5,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,5
5,2012,Uberlândia,São José,19/01/2013 18:00,16ª RODADA,1º TURNO,fora,vitória,0,Audrei,40.0,4,1,17,7,0,1,1,6,2,2,0,6,6,2,1,1,4,2,3,0,11
6,2012,Uberlândia,São José,19/01/2013 18:00,16ª RODADA,1º TURNO,fora,vitória,0,Leonardo,5.9,1,0,2,0,0,0,0,0,1,2,2,0,2,1,1,0,3,1,0,0,-1
7,2012,Uberlândia,São José,19/01/2013 18:00,16ª RODADA,1º TURNO,fora,vitória,0,Valtinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2012,Uberlândia,São José,19/01/2013 18:00,16ª RODADA,1º TURNO,fora,vitória,0,Leandro,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,Uberlândia,São José,19/01/2013 18:00,16ª RODADA,1º TURNO,fora,vitória,0,Dida,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012,Uberlândia,São José,19/01/2013 18:00,16ª RODADA,1º TURNO,fora,vitória,0,Luan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012,Uberlândia,São José,19/01/2013 18:00,16ª RODADA,1º TURNO,fora,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
