,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Suzano,Palmeiras,31/01/2013 20:00,19ª RODADA,2º TURNO,casa,vitória,0,Andrezinho,30.0,22,8,31,11,6,7,2,4,0,2,2,3,5,1,1,0,2,1,5,0,15
1,2012,Suzano,Palmeiras,31/01/2013 20:00,19ª RODADA,2º TURNO,casa,vitória,0,Paulo Nery,35.9,18,7,36,13,2,3,5,10,2,7,2,3,5,2,0,0,3,10,7,0,21
2,2012,Suzano,Palmeiras,31/01/2013 20:00,19ª RODADA,2º TURNO,casa,vitória,0,Jefferson,31.7,12,4,35,12,2,6,2,6,2,5,2,3,5,4,1,1,3,4,5,0,17
3,2012,Suzano,Palmeiras,31/01/2013 20:00,19ª RODADA,2º TURNO,casa,vitória,0,Gaspar,30.1,9,3,26,9,0,4,3,5,3,4,1,5,6,1,2,0,1,3,2,0,12
4,2012,Suzano,Palmeiras,31/01/2013 20:00,19ª RODADA,2º TURNO,casa,vitória,0,Alex Passilongo,13.4,4,2,14,7,0,0,2,7,0,0,0,2,2,0,0,0,2,0,0,1,7
5,2012,Suzano,Palmeiras,31/01/2013 20:00,19ª RODADA,2º TURNO,casa,vitória,0,Rafa Moreira,12.0,4,2,6,3,0,0,2,3,0,0,0,2,2,0,1,0,2,0,1,0,4
6,2012,Suzano,Palmeiras,31/01/2013 20:00,19ª RODADA,2º TURNO,casa,vitória,0,Igor Tracci,12.8,3,1,8,3,1,2,0,1,0,0,0,1,1,1,0,0,3,0,0,0,3
7,2012,Suzano,Palmeiras,31/01/2013 20:00,19ª RODADA,2º TURNO,casa,vitória,0,João Felipe,12.4,3,1,7,2,0,1,1,1,1,2,0,1,1,2,0,0,2,2,0,0,3
8,2012,Suzano,Palmeiras,31/01/2013 20:00,19ª RODADA,2º TURNO,casa,vitória,0,Eric,6.5,2,1,2,1,0,0,1,1,0,0,1,2,3,1,0,0,0,1,0,0,0
9,2012,Suzano,Palmeiras,31/01/2013 20:00,19ª RODADA,2º TURNO,casa,vitória,0,Sebastião,9.0,2,1,6,3,0,0,1,3,0,0,1,2,3,0,0,0,2,0,2,0,4
