,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Tijuca,Espírito Santo,02/02/2013 17:30,20ª RODADA,2º TURNO,casa,vitória,0,Arnaldinho,22.0,17,6,28,10,5,8,1,2,0,0,0,1,1,1,1,0,1,2,2,0,12
1,2012,Tijuca,Espírito Santo,02/02/2013 17:30,20ª RODADA,2º TURNO,casa,vitória,0,Marcellus,22.3,15,6,15,6,2,2,4,4,1,1,0,1,1,2,0,0,3,3,0,0,6
2,2012,Tijuca,Espírito Santo,02/02/2013 17:30,20ª RODADA,2º TURNO,casa,vitória,0,Rashaun,27.6,13,5,34,12,1,7,4,5,2,3,0,4,4,0,0,0,4,5,3,1,16
3,2012,Tijuca,Espírito Santo,02/02/2013 17:30,20ª RODADA,2º TURNO,casa,vitória,0,Fred,29.9,12,5,21,9,2,3,3,6,0,0,0,2,2,3,1,0,4,2,2,0,11
4,2012,Tijuca,Espírito Santo,02/02/2013 17:30,20ª RODADA,2º TURNO,casa,vitória,0,César,33.0,11,4,20,7,2,4,2,3,1,2,0,1,1,0,0,0,1,2,0,0,8
5,2012,Tijuca,Espírito Santo,02/02/2013 17:30,20ª RODADA,2º TURNO,casa,vitória,0,Rodrigo Bahia,25.9,8,4,14,7,0,0,4,7,0,0,3,10,13,2,0,0,3,1,2,0,6
6,2012,Tijuca,Espírito Santo,02/02/2013 17:30,20ª RODADA,2º TURNO,casa,vitória,0,Renan,19.7,3,1,8,3,0,0,1,3,1,2,1,2,3,0,0,1,3,2,1,0,4
7,2012,Tijuca,Espírito Santo,02/02/2013 17:30,20ª RODADA,2º TURNO,casa,vitória,0,Bishop,12.4,3,1,13,5,0,1,1,4,1,2,0,4,4,0,0,0,1,1,1,0,7
8,2012,Tijuca,Espírito Santo,02/02/2013 17:30,20ª RODADA,2º TURNO,casa,vitória,0,Pitico,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,Tijuca,Espírito Santo,02/02/2013 17:30,20ª RODADA,2º TURNO,casa,vitória,0,Felippe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012,Tijuca,Espírito Santo,02/02/2013 17:30,20ª RODADA,2º TURNO,casa,vitória,0,Bruninho,7.3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1
11,2012,Tijuca,Espírito Santo,02/02/2013 17:30,20ª RODADA,2º TURNO,casa,vitória,0,Arthur,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012,Tijuca,Espírito Santo,02/02/2013 17:30,20ª RODADA,2º TURNO,casa,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2012,Espírito Santo,Tijuca,02/02/2013 17:30,20ª RODADA,2º TURNO,fora,vitória,0,Simmons,37.6,21,8,51,19,2,10,6,9,3,3,1,0,1,3,1,0,2,7,1,0,20
1,2012,Espírito Santo,Tijuca,02/02/2013 17:30,20ª RODADA,2º TURNO,fora,vitória,0,Éder Araújo,22.8,15,6,21,9,0,0,6,9,3,3,1,6,7,0,0,0,2,2,1,0,10
2,2012,Espírito Santo,Tijuca,02/02/2013 17:30,20ª RODADA,2º TURNO,fora,vitória,0,Daniel Filé,21.8,12,5,17,7,0,0,5,7,2,3,2,4,6,1,1,0,3,3,2,0,8
3,2012,Espírito Santo,Tijuca,02/02/2013 17:30,20ª RODADA,2º TURNO,fora,vitória,0,Xande,37.8,11,3,28,9,1,4,2,5,4,6,1,4,5,4,1,0,4,5,1,0,11
4,2012,Espírito Santo,Tijuca,02/02/2013 17:30,20ª RODADA,2º TURNO,fora,vitória,0,Casé,25.2,6,2,16,6,0,2,2,4,2,2,0,6,6,1,3,0,4,1,0,1,7
5,2012,Espírito Santo,Tijuca,02/02/2013 17:30,20ª RODADA,2º TURNO,fora,vitória,0,Jemmott,19.4,5,2,16,6,0,2,2,4,1,2,2,1,3,0,1,0,1,1,0,0,5
6,2012,Espírito Santo,Tijuca,02/02/2013 17:30,20ª RODADA,2º TURNO,fora,vitória,0,Jay Parker,26.6,3,1,20,7,1,6,0,1,0,0,0,2,2,0,1,0,2,0,0,0,7
7,2012,Espírito Santo,Tijuca,02/02/2013 17:30,20ª RODADA,2º TURNO,fora,vitória,0,Wellington,8.8,1,0,2,0,0,0,0,0,1,2,0,2,2,0,0,0,2,1,0,0,1
8,2012,Espírito Santo,Tijuca,02/02/2013 17:30,20ª RODADA,2º TURNO,fora,vitória,0,Gustavo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,Espírito Santo,Tijuca,02/02/2013 17:30,20ª RODADA,2º TURNO,fora,vitória,0,Taets,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012,Espírito Santo,Tijuca,02/02/2013 17:30,20ª RODADA,2º TURNO,fora,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
