,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Palmeiras,Sesi Franca,09/03/2013 18:00,28ª RODADA,2º TURNO,casa,vitória,0,Guto,26.2,20,6,31,10,3,5,3,5,5,6,0,0,0,0,0,0,2,4,2,0,14
1,2012,Palmeiras,Sesi Franca,09/03/2013 18:00,28ª RODADA,2º TURNO,casa,vitória,0,Tiagão,32.5,18,5,28,9,3,5,2,4,5,5,2,11,13,3,1,0,2,2,1,0,10
2,2012,Palmeiras,Sesi Franca,09/03/2013 18:00,28ª RODADA,2º TURNO,casa,vitória,0,Tyrone Curnell,29.5,13,5,23,9,3,5,2,4,0,0,3,0,3,2,1,1,3,3,6,0,12
3,2012,Palmeiras,Sesi Franca,09/03/2013 18:00,28ª RODADA,2º TURNO,casa,vitória,0,Caleb Brown,36.1,12,4,30,11,1,3,3,8,3,5,0,0,0,7,4,0,1,4,4,0,17
4,2012,Palmeiras,Sesi Franca,09/03/2013 18:00,28ª RODADA,2º TURNO,casa,vitória,0,Vinicius,20.7,11,3,19,7,0,0,3,7,5,5,1,2,3,1,4,0,4,3,4,2,12
5,2012,Palmeiras,Sesi Franca,09/03/2013 18:00,28ª RODADA,2º TURNO,casa,vitória,0,Wiggins,18.1,9,4,16,7,0,0,4,7,1,2,1,3,4,0,1,0,4,2,3,0,10
6,2012,Palmeiras,Sesi Franca,09/03/2013 18:00,28ª RODADA,2º TURNO,casa,vitória,0,Pecos,10.4,2,1,8,3,0,2,1,1,0,0,0,1,1,3,0,0,1,1,3,0,6
7,2012,Palmeiras,Sesi Franca,09/03/2013 18:00,28ª RODADA,2º TURNO,casa,vitória,0,Lino,18.7,2,1,2,1,0,0,1,1,0,0,1,3,4,0,0,0,3,0,1,0,1
8,2012,Palmeiras,Sesi Franca,09/03/2013 18:00,28ª RODADA,2º TURNO,casa,vitória,0,Coloneze,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,Palmeiras,Sesi Franca,09/03/2013 18:00,28ª RODADA,2º TURNO,casa,vitória,0,Scaglia,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
10,2012,Palmeiras,Sesi Franca,09/03/2013 18:00,28ª RODADA,2º TURNO,casa,vitória,0,L. Eltink,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012,Palmeiras,Sesi Franca,09/03/2013 18:00,28ª RODADA,2º TURNO,casa,vitória,0,Jordan,6.0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
