,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Flamengo,Paulistano,04/05/2013 21:30,3ª RODADA,QUARTAS,casa,vitória,20,Olivinha,37.2,22,9,36,14,3,6,6,8,1,2,2,11,13,1,4,0,3,3,1,1,14
1,2012,Flamengo,Paulistano,04/05/2013 21:30,3ª RODADA,QUARTAS,casa,vitória,20,Marquinhos,32.7,19,6,42,16,0,3,6,13,7,7,3,2,5,1,0,0,2,6,3,2,19
2,2012,Flamengo,Paulistano,04/05/2013 21:30,3ª RODADA,QUARTAS,casa,vitória,20,Caio Torres,28.2,11,5,20,9,1,2,4,7,0,0,4,2,6,1,1,1,1,1,3,0,8
3,2012,Flamengo,Paulistano,04/05/2013 21:30,3ª RODADA,QUARTAS,casa,vitória,20,Benite,26.8,9,3,19,7,1,3,2,4,2,2,0,4,4,0,0,0,4,2,2,0,10
4,2012,Flamengo,Paulistano,04/05/2013 21:30,3ª RODADA,QUARTAS,casa,vitória,20,Kojo,21.5,9,4,14,6,0,0,4,6,1,2,0,4,4,6,2,0,1,2,0,0,7
5,2012,Flamengo,Paulistano,04/05/2013 21:30,3ª RODADA,QUARTAS,casa,vitória,20,Shilton,11.8,6,3,10,5,0,0,3,5,0,0,0,1,1,1,0,0,2,0,0,2,5
6,2012,Flamengo,Paulistano,04/05/2013 21:30,3ª RODADA,QUARTAS,casa,vitória,20,Gegê,18.5,5,2,8,3,1,2,1,1,0,0,0,2,2,3,1,0,1,1,1,0,4
7,2012,Flamengo,Paulistano,04/05/2013 21:30,3ª RODADA,QUARTAS,casa,vitória,20,Duda,13.2,2,1,7,3,0,1,1,2,0,0,0,1,1,0,2,0,0,0,0,0,3
8,2012,Flamengo,Paulistano,04/05/2013 21:30,3ª RODADA,QUARTAS,casa,vitória,20,Zanotti,10.1,1,0,10,3,0,2,0,1,1,2,0,0,0,0,2,1,2,2,0,0,4
9,2012,Flamengo,Paulistano,04/05/2013 21:30,3ª RODADA,QUARTAS,casa,vitória,20,Feliciano,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
