,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Uberlândia,Suzano,22/12/2012 19:00,10ª RODADA,1º TURNO,casa,vitória,0,Robert Day,33.2,32,11,42,15,6,8,5,7,4,4,1,6,7,1,4,0,0,5,2,1,18
1,2012,Uberlândia,Suzano,22/12/2012 19:00,10ª RODADA,1º TURNO,casa,vitória,0,Cipolini,19.4,18,7,19,7,0,0,7,7,4,5,1,1,2,1,1,0,2,5,2,2,10
2,2012,Uberlândia,Suzano,22/12/2012 19:00,10ª RODADA,1º TURNO,casa,vitória,0,Gruber,21.3,14,4,20,6,1,1,3,5,5,7,0,5,5,1,2,0,2,5,1,0,10
3,2012,Uberlândia,Suzano,22/12/2012 19:00,10ª RODADA,1º TURNO,casa,vitória,0,Audrei,16.6,13,6,19,9,1,1,5,8,0,0,1,3,4,2,0,0,2,0,2,0,10
4,2012,Uberlândia,Suzano,22/12/2012 19:00,10ª RODADA,1º TURNO,casa,vitória,0,Estevão,20.6,10,4,18,7,0,0,4,7,2,4,4,2,6,2,0,0,2,2,0,1,5
5,2012,Uberlândia,Suzano,22/12/2012 19:00,10ª RODADA,1º TURNO,casa,vitória,0,Helinho,22.9,9,3,12,4,3,4,0,0,0,0,0,0,0,4,0,0,2,0,2,0,6
6,2012,Uberlândia,Suzano,22/12/2012 19:00,10ª RODADA,1º TURNO,casa,vitória,0,Collum,30.2,8,3,17,6,2,5,1,1,0,0,0,2,2,7,1,0,1,1,0,0,6
7,2012,Uberlândia,Suzano,22/12/2012 19:00,10ª RODADA,1º TURNO,casa,vitória,0,Luan,11.5,5,1,10,3,1,2,0,1,2,2,0,1,1,0,1,0,4,2,0,0,4
8,2012,Uberlândia,Suzano,22/12/2012 19:00,10ª RODADA,1º TURNO,casa,vitória,0,Rafael Silva,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,Uberlândia,Suzano,22/12/2012 19:00,10ª RODADA,1º TURNO,casa,vitória,0,Leandro,18.7,0,0,9,4,0,1,0,3,0,0,1,3,4,1,0,2,1,1,1,0,4
10,2012,Uberlândia,Suzano,22/12/2012 19:00,10ª RODADA,1º TURNO,casa,vitória,0,Dida,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012,Uberlândia,Suzano,22/12/2012 19:00,10ª RODADA,1º TURNO,casa,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2012,Suzano,Uberlândia,22/12/2012 19:00,10ª RODADA,1º TURNO,fora,vitória,0,Paulo Nery,30.2,17,6,24,9,3,4,3,5,2,2,3,2,5,2,0,0,4,2,4,0,11
1,2012,Suzano,Uberlândia,22/12/2012 19:00,10ª RODADA,1º TURNO,fora,vitória,0,Andrezinho,24.8,16,6,25,9,3,5,3,4,1,2,0,2,2,2,0,0,0,2,5,0,15
2,2012,Suzano,Uberlândia,22/12/2012 19:00,10ª RODADA,1º TURNO,fora,vitória,0,Jefferson,30.0,12,4,30,11,1,4,3,7,3,4,0,2,2,4,4,0,0,6,2,0,15
3,2012,Suzano,Uberlândia,22/12/2012 19:00,10ª RODADA,1º TURNO,fora,vitória,0,Gaspar,36.9,9,4,23,9,1,5,3,4,0,0,3,2,5,0,0,0,3,1,1,0,7
4,2012,Suzano,Uberlândia,22/12/2012 19:00,10ª RODADA,1º TURNO,fora,vitória,0,Igor Tracci,18.7,6,2,15,6,1,1,1,5,1,2,1,1,2,0,0,0,2,1,0,0,6
5,2012,Suzano,Uberlândia,22/12/2012 19:00,10ª RODADA,1º TURNO,fora,vitória,0,Eric,30.0,6,2,24,10,2,4,0,6,0,0,2,1,3,2,0,0,3,0,0,0,8
6,2012,Suzano,Uberlândia,22/12/2012 19:00,10ª RODADA,1º TURNO,fora,vitória,0,Sebastião,8.4,5,2,7,3,0,0,2,3,1,1,0,1,1,0,1,0,5,1,0,0,3
7,2012,Suzano,Uberlândia,22/12/2012 19:00,10ª RODADA,1º TURNO,fora,vitória,0,Alex Passilongo,17.0,2,0,12,5,0,0,0,5,2,2,1,2,3,0,1,0,3,2,2,0,7
8,2012,Suzano,Uberlândia,22/12/2012 19:00,10ª RODADA,1º TURNO,fora,vitória,0,Quintiliano,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,Suzano,Uberlândia,22/12/2012 19:00,10ª RODADA,1º TURNO,fora,vitória,0,Dedé,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,2012,Suzano,Uberlândia,22/12/2012 19:00,10ª RODADA,1º TURNO,fora,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
