,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2015,Flamengo,Bauru,13/01/2016 21:00,16ª RODADA,2º TURNO,casa,vitória,16,Marquinhos,18.9,13,4,21,7,2,3,2,4,3,4,1,1,2,3,2,0,1,1,2,1,10
1,2015,Flamengo,Bauru,13/01/2016 21:00,16ª RODADA,2º TURNO,casa,vitória,16,Batista,21.3,11,5,14,6,0,0,5,6,1,2,1,4,5,4,0,0,2,1,4,0,10
2,2015,Flamengo,Bauru,13/01/2016 21:00,16ª RODADA,2º TURNO,casa,vitória,16,Meyinsse,19.1,11,5,18,8,0,0,5,8,1,2,2,1,3,0,0,0,1,4,3,0,10
3,2015,Flamengo,Bauru,13/01/2016 21:00,16ª RODADA,2º TURNO,casa,vitória,16,Rafa Luz,20.7,11,4,18,6,3,4,1,2,0,2,1,4,5,4,0,0,2,3,2,0,8
4,2015,Flamengo,Bauru,13/01/2016 21:00,16ª RODADA,2º TURNO,casa,vitória,16,Robinson,18.8,10,4,13,5,2,3,2,2,0,0,0,1,1,1,0,0,0,1,1,0,6
5,2015,Flamengo,Bauru,13/01/2016 21:00,16ª RODADA,2º TURNO,casa,vitória,16,Ramon,18.2,8,3,11,4,2,3,1,1,0,0,1,2,3,2,1,0,3,0,0,0,3
6,2015,Flamengo,Bauru,13/01/2016 21:00,16ª RODADA,2º TURNO,casa,vitória,16,Gegê,19.3,8,3,16,6,2,4,1,2,0,0,0,2,2,3,2,0,2,0,0,0,6
7,2015,Flamengo,Bauru,13/01/2016 21:00,16ª RODADA,2º TURNO,casa,vitória,16,Olivinha,15.5,6,1,12,4,0,0,1,4,4,4,0,2,2,0,0,0,1,2,1,0,7
8,2015,Flamengo,Bauru,13/01/2016 21:00,16ª RODADA,2º TURNO,casa,vitória,16,Mineiro,22.6,4,2,15,6,0,3,2,3,0,0,0,3,3,3,1,1,2,1,0,1,6
9,2015,Flamengo,Bauru,13/01/2016 21:00,16ª RODADA,2º TURNO,casa,vitória,16,Marcelinho,22.7,3,1,14,5,1,4,0,1,0,0,0,1,1,3,1,1,1,0,2,0,7
10,2015,Flamengo,Bauru,13/01/2016 21:00,16ª RODADA,2º TURNO,casa,vitória,16,Danielzinho,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,Flamengo,Bauru,13/01/2016 21:00,16ª RODADA,2º TURNO,casa,vitória,16,Mingau,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,2015,Flamengo,Bauru,13/01/2016 21:00,16ª RODADA,2º TURNO,casa,vitória,16,Equipe,200.0,85,32,152,57,12,24,20,33,9,14,7,22,29,23,13,2,17,13,15,2,71
0,2015,Bauru,Flamengo,13/01/2016 21:00,16ª RODADA,2º TURNO,fora,derrota,-16,Hettsheimeir,22.0,18,6,29,11,2,3,4,8,4,4,2,0,2,0,0,0,2,2,2,0,13
1,2015,Bauru,Flamengo,13/01/2016 21:00,16ª RODADA,2º TURNO,fora,derrota,-16,Fischer,30.6,16,6,26,10,3,4,3,6,1,2,0,1,1,3,0,0,4,3,4,0,15
2,2015,Bauru,Flamengo,13/01/2016 21:00,16ª RODADA,2º TURNO,fora,derrota,-16,Paulinho,13.1,10,3,18,6,2,4,1,2,2,2,0,0,0,0,1,0,1,1,3,0,10
3,2015,Bauru,Flamengo,13/01/2016 21:00,16ª RODADA,2º TURNO,fora,derrota,-16,Alex Garcia,34.6,6,2,27,7,0,4,2,3,2,9,1,8,9,4,2,0,1,6,2,1,12
4,2015,Bauru,Flamengo,13/01/2016 21:00,16ª RODADA,2º TURNO,fora,derrota,-16,Jefferson,30.4,5,2,14,5,1,4,1,1,0,0,0,2,2,4,1,2,1,0,2,0,7
5,2015,Bauru,Flamengo,13/01/2016 21:00,16ª RODADA,2º TURNO,fora,derrota,-16,Labbate,10.7,4,2,6,2,0,0,2,2,0,2,2,1,3,0,0,0,3,1,0,0,1
6,2015,Bauru,Flamengo,13/01/2016 21:00,16ª RODADA,2º TURNO,fora,derrota,-16,Robert Day,21.2,4,2,12,5,0,2,2,3,0,0,0,3,3,0,1,0,2,1,1,0,6
7,2015,Bauru,Flamengo,13/01/2016 21:00,16ª RODADA,2º TURNO,fora,derrota,-16,Léo Meindl,24.3,4,1,22,8,0,4,1,4,2,2,0,2,2,2,1,0,1,1,2,0,11
8,2015,Bauru,Flamengo,13/01/2016 21:00,16ª RODADA,2º TURNO,fora,derrota,-16,L. Eltink,1.7,2,1,4,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
9,2015,Bauru,Flamengo,13/01/2016 21:00,16ª RODADA,2º TURNO,fora,derrota,-16,W. Sena,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,2015,Bauru,Flamengo,13/01/2016 21:00,16ª RODADA,2º TURNO,fora,derrota,-16,Pierotti,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,Bauru,Flamengo,13/01/2016 21:00,16ª RODADA,2º TURNO,fora,derrota,-16,Equipe,200.0,69,25,158,56,8,25,17,31,11,21,9,18,27,13,10,2,15,15,16,1,71
