,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2015,Brasília,Fortaleza B. C.,12/02/2016 21:00,20ª RODADA,2º TURNO,casa,derrota,-13,Fúlvio,32.5,26,8,31,10,2,2,6,8,8,9,1,6,7,8,2,0,2,6,3,0,16
1,2015,Brasília,Fortaleza B. C.,12/02/2016 21:00,20ª RODADA,2º TURNO,casa,derrota,-13,Arthur,27.7,14,4,27,9,2,5,2,4,4,4,0,3,3,1,2,0,2,3,2,0,13
2,2015,Brasília,Fortaleza B. C.,12/02/2016 21:00,20ª RODADA,2º TURNO,casa,derrota,-13,Deryk,36.1,11,4,34,12,3,10,1,2,0,0,0,3,3,1,2,0,1,1,2,0,14
3,2015,Brasília,Fortaleza B. C.,12/02/2016 21:00,20ª RODADA,2º TURNO,casa,derrota,-13,Coimbra,26.7,10,5,21,10,0,0,5,10,0,1,2,5,7,1,0,0,5,2,0,1,8
4,2015,Brasília,Fortaleza B. C.,12/02/2016 21:00,20ª RODADA,2º TURNO,casa,derrota,-13,Jefferson,22.3,7,3,22,8,1,4,2,4,0,2,1,2,3,0,0,0,2,2,2,0,10
5,2015,Brasília,Fortaleza B. C.,12/02/2016 21:00,20ª RODADA,2º TURNO,casa,derrota,-13,Diego,14.0,6,2,9,3,1,1,1,2,1,2,1,3,4,2,1,0,5,1,0,0,3
6,2015,Brasília,Fortaleza B. C.,12/02/2016 21:00,20ª RODADA,2º TURNO,casa,derrota,-13,Pilar,17.3,5,1,16,6,0,1,1,5,3,3,1,1,2,1,0,0,5,3,1,0,7
7,2015,Brasília,Fortaleza B. C.,12/02/2016 21:00,20ª RODADA,2º TURNO,casa,derrota,-13,Cipolini,23.0,3,1,14,5,1,4,0,1,0,0,0,0,0,1,1,0,1,2,2,0,7
8,2015,Brasília,Fortaleza B. C.,12/02/2016 21:00,20ª RODADA,2º TURNO,casa,derrota,-13,Pureza,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015,Brasília,Fortaleza B. C.,12/02/2016 21:00,20ª RODADA,2º TURNO,casa,derrota,-13,Coutinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2015,Brasília,Fortaleza B. C.,12/02/2016 21:00,20ª RODADA,2º TURNO,casa,derrota,-13,Luiz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,Brasília,Fortaleza B. C.,12/02/2016 21:00,20ª RODADA,2º TURNO,casa,derrota,-13,Paulo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2015,Brasília,Fortaleza B. C.,12/02/2016 21:00,20ª RODADA,2º TURNO,casa,derrota,-13,Equipe,200.0,82,28,174,63,10,27,18,36,16,21,7,23,30,15,9,0,23,20,12,1,76
0,2015,Fortaleza B. C.,Brasília,12/02/2016 21:00,20ª RODADA,2º TURNO,fora,vitória,13,Toledo,37.9,23,8,30,9,2,3,6,6,5,9,3,10,13,3,2,0,2,8,3,1,13
1,2015,Fortaleza B. C.,Brasília,12/02/2016 21:00,20ª RODADA,2º TURNO,fora,vitória,13,Davi,40.0,17,4,27,8,2,3,2,5,7,8,4,1,5,5,1,0,1,9,3,0,10
2,2015,Fortaleza B. C.,Brasília,12/02/2016 21:00,20ª RODADA,2º TURNO,fora,vitória,13,Duda,32.2,15,5,51,17,3,15,2,2,2,2,0,3,3,7,4,0,2,1,0,1,18
3,2015,Fortaleza B. C.,Brasília,12/02/2016 21:00,20ª RODADA,2º TURNO,fora,vitória,13,Rashaun,18.8,12,5,31,11,1,7,4,4,1,2,1,1,2,0,2,0,2,2,0,1,11
4,2015,Fortaleza B. C.,Brasília,12/02/2016 21:00,20ª RODADA,2º TURNO,fora,vitória,13,Audrei,31.0,11,4,29,12,1,3,3,9,2,2,1,3,4,2,1,0,4,1,2,0,14
5,2015,Fortaleza B. C.,Brasília,12/02/2016 21:00,20ª RODADA,2º TURNO,fora,vitória,13,Tiagão,20.4,9,3,12,4,2,2,1,2,1,2,2,7,9,1,0,0,4,1,2,1,5
6,2015,Fortaleza B. C.,Brasília,12/02/2016 21:00,20ª RODADA,2º TURNO,fora,vitória,13,Felipe,12.4,5,2,7,3,1,1,1,2,0,0,1,0,1,0,0,0,2,0,1,0,3
