,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2015,Macaé Basquete,Rio Claro,11/11/2015 20:00,3ª RODADA,1º TURNO,casa,vitória,4,Mosso,35.9,20,8,37,15,2,5,6,10,2,2,0,5,5,0,1,0,1,1,1,1,17
1,2015,Macaé Basquete,Rio Claro,11/11/2015 20:00,3ª RODADA,1º TURNO,casa,vitória,4,Caleb Brown,33.5,14,4,21,7,0,1,4,6,6,6,0,0,0,6,1,0,2,5,5,0,14
2,2015,Macaé Basquete,Rio Claro,11/11/2015 20:00,3ª RODADA,1º TURNO,casa,vitória,4,P. Rava,25.0,13,4,23,8,3,5,1,3,2,2,0,1,1,0,1,0,1,3,2,0,11
3,2015,Macaé Basquete,Rio Claro,11/11/2015 20:00,3ª RODADA,1º TURNO,casa,vitória,4,Murilo,14.7,12,4,14,5,0,0,4,5,4,4,0,1,1,1,1,0,3,3,1,0,8
4,2015,Macaé Basquete,Rio Claro,11/11/2015 20:00,3ª RODADA,1º TURNO,casa,vitória,4,Márcio,16.6,11,3,13,4,3,3,0,1,2,2,0,1,1,0,1,0,4,1,1,0,6
5,2015,Macaé Basquete,Rio Claro,11/11/2015 20:00,3ª RODADA,1º TURNO,casa,vitória,4,Eddy,35.6,11,2,21,5,1,4,1,1,6,7,3,5,8,1,3,0,5,7,2,0,7
6,2015,Macaé Basquete,Rio Claro,11/11/2015 20:00,3ª RODADA,1º TURNO,casa,vitória,4,Pablo,13.8,3,1,16,5,0,4,1,1,1,2,1,2,3,0,0,0,3,2,2,0,7
7,2015,Macaé Basquete,Rio Claro,11/11/2015 20:00,3ª RODADA,1º TURNO,casa,vitória,4,Cintra,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,Macaé Basquete,Rio Claro,11/11/2015 20:00,3ª RODADA,1º TURNO,casa,vitória,4,Maique,3.0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,2
9,2015,Macaé Basquete,Rio Claro,11/11/2015 20:00,3ª RODADA,1º TURNO,casa,vitória,4,Dieguinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2015,Macaé Basquete,Rio Claro,11/11/2015 20:00,3ª RODADA,1º TURNO,casa,vitória,4,Romário,22.0,0,0,6,3,0,0,0,3,0,0,1,5,6,0,1,0,5,0,1,0,3
11,2015,Macaé Basquete,Rio Claro,11/11/2015 20:00,3ª RODADA,1º TURNO,casa,vitória,4,Matheus,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2015,Macaé Basquete,Rio Claro,11/11/2015 20:00,3ª RODADA,1º TURNO,casa,vitória,4,Equipe,200.0,84,26,153,53,9,22,17,31,23,25,7,21,28,8,14,0,28,22,16,1,72
0,2015,Rio Claro,Macaé Basquete,11/11/2015 20:00,3ª RODADA,1º TURNO,fora,derrota,-4,Alemão,34.8,23,8,32,11,1,2,7,9,6,8,2,7,9,1,4,2,2,4,2,1,14
1,2015,Rio Claro,Macaé Basquete,11/11/2015 20:00,3ª RODADA,1º TURNO,fora,derrota,-4,Teichmann,32.2,18,8,31,12,1,3,7,9,1,4,2,2,4,2,2,0,3,6,5,1,17
2,2015,Rio Claro,Macaé Basquete,11/11/2015 20:00,3ª RODADA,1º TURNO,fora,derrota,-4,Gui Deodato,31.5,14,4,23,8,1,2,3,6,5,5,1,1,2,3,0,0,5,5,1,1,10
3,2015,Rio Claro,Macaé Basquete,11/11/2015 20:00,3ª RODADA,1º TURNO,fora,derrota,-4,Dedé,29.4,10,3,24,8,2,4,1,4,2,4,0,2,2,0,0,0,3,5,1,0,11
4,2015,Rio Claro,Macaé Basquete,11/11/2015 20:00,3ª RODADA,1º TURNO,fora,derrota,-4,Tatu,31.4,6,1,15,4,0,3,1,1,4,4,0,5,5,9,2,0,3,4,5,0,11
5,2015,Rio Claro,Macaé Basquete,11/11/2015 20:00,3ª RODADA,1º TURNO,fora,derrota,-4,F. Penna,9.5,5,1,16,5,1,4,0,1,2,2,0,2,2,2,0,0,2,1,1,0,7
6,2015,Rio Claro,Macaé Basquete,11/11/2015 20:00,3ª RODADA,1º TURNO,fora,derrota,-4,Atílio,5.2,2,1,3,1,0,0,1,1,0,1,0,0,0,0,0,0,1,2,1,0,2
7,2015,Rio Claro,Macaé Basquete,11/11/2015 20:00,3ª RODADA,1º TURNO,fora,derrota,-4,Caio,17.5,2,1,13,5,0,3,1,2,0,0,1,0,1,1,0,0,1,0,0,0,4
8,2015,Rio Claro,Macaé Basquete,11/11/2015 20:00,3ª RODADA,1º TURNO,fora,derrota,-4,Tom,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015,Rio Claro,Macaé Basquete,11/11/2015 20:00,3ª RODADA,1º TURNO,fora,derrota,-4,Pastor,1.7,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2
10,2015,Rio Claro,Macaé Basquete,11/11/2015 20:00,3ª RODADA,1º TURNO,fora,derrota,-4,Jackson,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,Rio Claro,Macaé Basquete,11/11/2015 20:00,3ª RODADA,1º TURNO,fora,derrota,-4,Vinicius,6.2,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,1,0,0,0,-2
12,2015,Rio Claro,Macaé Basquete,11/11/2015 20:00,3ª RODADA,1º TURNO,fora,derrota,-4,Equipe,200.0,80,27,159,55,6,21,21,34,20,28,8,20,28,18,13,2,22,27,17,3,75
