,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2015,Brasília,KTO Caxias do Sul,06/04/2016 20:00,2ª RODADA,OITAVAS,casa,vitória,28,Giovannoni,20.5,22,8,35,13,4,7,4,6,2,2,0,5,5,3,0,0,2,3,1,0,15
1,2015,Brasília,KTO Caxias do Sul,06/04/2016 20:00,2ª RODADA,OITAVAS,casa,vitória,28,Deryk,25.4,14,4,24,8,3,5,1,3,3,3,0,1,1,5,5,0,2,2,2,0,11
2,2015,Brasília,KTO Caxias do Sul,06/04/2016 20:00,2ª RODADA,OITAVAS,casa,vitória,28,Jefferson,25.9,14,6,25,10,2,5,4,5,0,0,1,2,3,2,0,2,0,2,3,0,12
3,2015,Brasília,KTO Caxias do Sul,06/04/2016 20:00,2ª RODADA,OITAVAS,casa,vitória,28,Cipolini,19.8,9,4,16,7,1,2,3,5,0,0,3,3,6,1,0,2,2,1,2,1,6
4,2015,Brasília,KTO Caxias do Sul,06/04/2016 20:00,2ª RODADA,OITAVAS,casa,vitória,28,Coimbra,23.7,8,3,8,3,0,0,3,3,2,2,1,6,7,0,0,0,2,3,2,0,5
5,2015,Brasília,KTO Caxias do Sul,06/04/2016 20:00,2ª RODADA,OITAVAS,casa,vitória,28,Fúlvio,18.9,6,3,6,3,0,0,3,3,0,0,1,1,2,6,0,0,3,2,0,0,2
6,2015,Brasília,KTO Caxias do Sul,06/04/2016 20:00,2ª RODADA,OITAVAS,casa,vitória,28,Ronald,12.8,6,3,9,4,0,0,3,4,0,1,0,0,0,0,0,0,3,3,1,0,5
7,2015,Brasília,KTO Caxias do Sul,06/04/2016 20:00,2ª RODADA,OITAVAS,casa,vitória,28,Pilar,17.0,5,2,8,3,0,0,2,3,1,2,0,4,4,2,1,0,3,1,1,1,5
8,2015,Brasília,KTO Caxias do Sul,06/04/2016 20:00,2ª RODADA,OITAVAS,casa,vitória,28,Luiz,2.9,4,2,7,3,0,1,2,2,0,0,0,1,1,0,0,0,1,0,0,0,3
9,2015,Brasília,KTO Caxias do Sul,06/04/2016 20:00,2ª RODADA,OITAVAS,casa,vitória,28,Arthur,14.9,4,2,11,5,0,1,2,4,0,0,1,4,5,0,0,0,3,2,1,0,5
10,2015,Brasília,KTO Caxias do Sul,06/04/2016 20:00,2ª RODADA,OITAVAS,casa,vitória,28,Diego,10.5,2,1,12,5,0,2,1,3,0,0,2,0,2,0,0,2,1,0,0,0,3
11,2015,Brasília,KTO Caxias do Sul,06/04/2016 20:00,2ª RODADA,OITAVAS,casa,vitória,28,Pureza,7.8,1,0,2,0,0,0,0,0,1,2,0,1,1,2,0,0,0,1,0,0,1
12,2015,Brasília,KTO Caxias do Sul,06/04/2016 20:00,2ª RODADA,OITAVAS,casa,vitória,28,Equipe,200.0,95,38,163,64,10,23,28,41,9,12,9,30,39,21,7,6,22,20,13,2,73
0,2015,KTO Caxias do Sul,Brasília,06/04/2016 20:00,2ª RODADA,OITAVAS,fora,derrota,-28,Alex,23.8,13,3,30,9,2,5,1,4,5,7,1,0,1,1,0,0,2,3,0,0,11
1,2015,KTO Caxias do Sul,Brasília,06/04/2016 20:00,2ª RODADA,OITAVAS,fora,derrota,-28,Gustavinho,22.7,12,5,28,12,2,4,3,8,0,0,1,3,4,1,1,0,3,1,4,0,15
2,2015,KTO Caxias do Sul,Brasília,06/04/2016 20:00,2ª RODADA,OITAVAS,fora,derrota,-28,Dida,19.0,11,5,12,5,0,0,5,5,1,2,0,0,0,1,1,0,4,2,2,0,8
3,2015,KTO Caxias do Sul,Brasília,06/04/2016 20:00,2ª RODADA,OITAVAS,fora,derrota,-28,Diego,18.8,11,3,21,7,1,3,2,4,4,4,2,7,9,2,1,0,2,5,1,1,8
4,2015,KTO Caxias do Sul,Brasília,06/04/2016 20:00,2ª RODADA,OITAVAS,fora,derrota,-28,Betinho,23.8,5,0,21,6,0,3,0,3,5,6,1,3,4,2,0,0,3,3,2,0,9
5,2015,KTO Caxias do Sul,Brasília,06/04/2016 20:00,2ª RODADA,OITAVAS,fora,derrota,-28,R. Stabile,25.9,5,1,13,4,1,3,0,1,2,2,0,4,4,1,1,0,4,1,0,0,5
6,2015,KTO Caxias do Sul,Brasília,06/04/2016 20:00,2ª RODADA,OITAVAS,fora,derrota,-28,Vinicius,21.0,4,1,16,7,0,0,1,7,2,2,0,2,2,0,0,0,0,4,1,1,9
7,2015,KTO Caxias do Sul,Brasília,06/04/2016 20:00,2ª RODADA,OITAVAS,fora,derrota,-28,Vinícius,17.4,3,1,11,4,1,3,0,1,0,0,0,1,1,0,0,0,3,1,1,0,5
8,2015,KTO Caxias do Sul,Brasília,06/04/2016 20:00,2ª RODADA,OITAVAS,fora,derrota,-28,Tobias,8.1,3,1,11,4,1,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,5
9,2015,KTO Caxias do Sul,Brasília,06/04/2016 20:00,2ª RODADA,OITAVAS,fora,derrota,-28,Guto,19.6,0,0,6,2,0,2,0,0,0,0,1,0,1,3,0,0,0,2,1,0,2
10,2015,KTO Caxias do Sul,Brasília,06/04/2016 20:00,2ª RODADA,OITAVAS,fora,derrota,-28,Equipe,200.0,67,20,169,60,8,26,12,34,19,23,9,21,30,12,7,0,21,22,13,2,73
