,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2015,Flamengo,Mogi,07/05/2016 14:10,2ª RODADA,SEMI,casa,derrota,-6,Marquinhos,29.6,25,8,39,12,4,7,4,5,5,8,1,1,2,3,0,0,2,5,3,0,17
1,2015,Flamengo,Mogi,07/05/2016 14:10,2ª RODADA,SEMI,casa,derrota,-6,Olivinha,30.0,17,5,27,9,2,2,3,7,5,7,4,5,9,1,1,1,3,4,1,0,9
2,2015,Flamengo,Mogi,07/05/2016 14:10,2ª RODADA,SEMI,casa,derrota,-6,Mineiro,25.2,17,5,23,7,0,0,5,7,7,9,1,1,2,0,0,0,1,8,0,0,10
3,2015,Flamengo,Mogi,07/05/2016 14:10,2ª RODADA,SEMI,casa,derrota,-6,Batista,12.6,6,3,12,6,0,0,3,6,0,0,1,3,4,0,0,0,2,0,1,0,6
4,2015,Flamengo,Mogi,07/05/2016 14:10,2ª RODADA,SEMI,casa,derrota,-6,Marcelinho,27.1,4,1,23,8,1,5,0,3,1,2,0,3,3,9,0,0,3,2,0,0,9
5,2015,Flamengo,Mogi,07/05/2016 14:10,2ª RODADA,SEMI,casa,derrota,-6,Robinson,18.2,4,2,12,5,0,2,2,3,0,0,2,2,4,3,1,0,3,0,1,0,4
6,2015,Flamengo,Mogi,07/05/2016 14:10,2ª RODADA,SEMI,casa,derrota,-6,Ramon,24.0,3,1,19,7,1,5,0,2,0,0,0,1,1,0,2,0,3,0,1,0,8
7,2015,Flamengo,Mogi,07/05/2016 14:10,2ª RODADA,SEMI,casa,derrota,-6,Meyinsse,9.8,1,0,6,2,0,0,0,2,1,2,1,2,3,0,0,0,4,3,2,0,4
8,2015,Flamengo,Mogi,07/05/2016 14:10,2ª RODADA,SEMI,casa,derrota,-6,Rafa Luz,16.4,0,0,5,1,0,1,0,0,0,2,0,5,5,2,1,1,1,1,2,0,4
9,2015,Flamengo,Mogi,07/05/2016 14:10,2ª RODADA,SEMI,casa,derrota,-6,Gegê,7.1,0,0,9,3,0,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3
10,2015,Flamengo,Mogi,07/05/2016 14:10,2ª RODADA,SEMI,casa,derrota,-6,Danielzinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,Flamengo,Mogi,07/05/2016 14:10,2ª RODADA,SEMI,casa,derrota,-6,Mingau,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2015,Flamengo,Mogi,07/05/2016 14:10,2ª RODADA,SEMI,casa,derrota,-6,Equipe,200.0,77,25,175,60,8,25,17,35,19,30,10,24,34,18,10,2,23,24,11,0,73
0,2015,Mogi,Flamengo,07/05/2016 14:10,2ª RODADA,SEMI,fora,vitória,6,Tyrone Curnell,36.5,22,7,32,10,0,2,7,8,8,10,0,6,6,2,2,1,4,6,3,1,17
1,2015,Mogi,Flamengo,07/05/2016 14:10,2ª RODADA,SEMI,fora,vitória,6,Shamell,36.1,17,5,39,12,2,6,3,6,5,9,0,7,7,7,1,1,3,6,1,0,17
2,2015,Mogi,Flamengo,07/05/2016 14:10,2ª RODADA,SEMI,fora,vitória,6,Lucas Mariano,25.2,11,5,30,13,1,3,4,10,0,1,2,0,2,1,0,1,3,1,1,0,12
3,2015,Mogi,Flamengo,07/05/2016 14:10,2ª RODADA,SEMI,fora,vitória,6,Filipin,18.9,7,1,8,1,1,1,0,0,4,5,0,5,5,0,0,0,3,4,2,0,5
4,2015,Mogi,Flamengo,07/05/2016 14:10,2ª RODADA,SEMI,fora,vitória,6,Prestes,8.8,6,2,8,3,0,0,2,3,2,2,2,1,3,0,0,0,1,1,0,0,2
5,2015,Mogi,Flamengo,07/05/2016 14:10,2ª RODADA,SEMI,fora,vitória,6,Larry Taylor,26.9,6,2,13,5,0,1,2,4,2,2,1,2,3,1,0,0,1,1,1,0,6
6,2015,Mogi,Flamengo,07/05/2016 14:10,2ª RODADA,SEMI,fora,vitória,6,Gerson,17.5,6,3,10,5,0,0,3,5,0,0,2,3,5,0,1,0,4,0,0,1,3
7,2015,Mogi,Flamengo,07/05/2016 14:10,2ª RODADA,SEMI,fora,vitória,6,Vithinho,16.8,5,2,5,2,1,1,1,1,0,0,0,0,0,2,0,0,1,1,3,0,5
8,2015,Mogi,Flamengo,07/05/2016 14:10,2ª RODADA,SEMI,fora,vitória,6,Jimmy,3.7,3,1,6,2,1,2,0,0,0,0,0,1,1,0,0,0,2,1,1,0,3
9,2015,Mogi,Flamengo,07/05/2016 14:10,2ª RODADA,SEMI,fora,vitória,6,Wagner,9.7,0,0,6,3,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,3
10,2015,Mogi,Flamengo,07/05/2016 14:10,2ª RODADA,SEMI,fora,vitória,6,Lessa,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,Mogi,Flamengo,07/05/2016 14:10,2ª RODADA,SEMI,fora,vitória,6,Equipe,200.0,83,28,157,56,6,16,22,40,21,29,7,27,34,13,9,4,25,21,12,2,73
