,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2015,Paulistano,Pinheiros,05/12/2015 17:30,8ª RODADA,1º TURNO,casa,vitória,24,Dawkins,35.4,24,8,46,17,4,8,4,9,4,4,1,1,2,4,6,0,0,3,0,0,18
1,2015,Paulistano,Pinheiros,05/12/2015 17:30,8ª RODADA,1º TURNO,casa,vitória,24,Caio Torres,25.2,18,7,37,15,2,4,5,11,2,3,2,5,7,2,1,2,1,4,2,0,16
2,2015,Paulistano,Pinheiros,05/12/2015 17:30,8ª RODADA,1º TURNO,casa,vitória,24,Jhonatan,25.1,15,5,20,7,2,3,3,4,3,3,1,5,6,1,0,1,0,2,1,1,8
3,2015,Paulistano,Pinheiros,05/12/2015 17:30,8ª RODADA,1º TURNO,casa,vitória,24,Pecos,20.2,11,4,20,8,1,2,3,6,2,2,1,2,3,6,2,0,1,2,1,0,9
4,2015,Paulistano,Pinheiros,05/12/2015 17:30,8ª RODADA,1º TURNO,casa,vitória,24,Valtinho,24.4,10,4,20,8,0,2,4,6,2,2,1,1,2,6,0,0,3,2,2,0,10
5,2015,Paulistano,Pinheiros,05/12/2015 17:30,8ª RODADA,1º TURNO,casa,vitória,24,Toyloy,21.5,10,5,15,7,0,0,5,7,0,1,4,1,5,1,0,0,2,4,0,2,3
6,2015,Paulistano,Pinheiros,05/12/2015 17:30,8ª RODADA,1º TURNO,casa,vitória,24,Gemerson,20.7,7,2,17,6,2,4,0,2,1,1,0,2,2,1,0,0,3,2,0,0,6
7,2015,Paulistano,Pinheiros,05/12/2015 17:30,8ª RODADA,1º TURNO,casa,vitória,24,Gruber,16.5,6,2,6,2,2,2,0,0,0,0,0,1,1,0,0,0,3,0,1,0,3
8,2015,Paulistano,Pinheiros,05/12/2015 17:30,8ª RODADA,1º TURNO,casa,vitória,24,Pedro Paulo,0.8,0,0,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
9,2015,Paulistano,Pinheiros,05/12/2015 17:30,8ª RODADA,1º TURNO,casa,vitória,24,Lucão,0.8,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,2015,Paulistano,Pinheiros,05/12/2015 17:30,8ª RODADA,1º TURNO,casa,vitória,24,Hubner,7.5,0,0,2,1,0,0,0,1,0,0,0,2,2,0,0,0,2,0,1,0,2
11,2015,Paulistano,Pinheiros,05/12/2015 17:30,8ª RODADA,1º TURNO,casa,vitória,24,Mogi,2.0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,-1
