,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2015,Paulistano,Minas,08/12/2015 19:30,9ª RODADA,1º TURNO,casa,vitória,32,Dawkins,21.6,13,5,35,14,3,7,2,7,0,0,1,1,2,1,0,0,2,0,2,0,15
1,2015,Paulistano,Minas,08/12/2015 19:30,9ª RODADA,1º TURNO,casa,vitória,32,Caio Torres,21.3,13,6,15,7,0,0,6,7,1,1,4,2,6,1,1,0,1,3,1,0,4
2,2015,Paulistano,Minas,08/12/2015 19:30,9ª RODADA,1º TURNO,casa,vitória,32,Jhonatan,16.3,12,4,18,6,4,6,0,0,0,0,0,1,1,1,0,0,2,1,2,0,8
3,2015,Paulistano,Minas,08/12/2015 19:30,9ª RODADA,1º TURNO,casa,vitória,32,Gruber,19.8,11,5,28,11,1,6,4,5,0,0,1,8,9,1,1,0,2,0,0,1,10
4,2015,Paulistano,Minas,08/12/2015 19:30,9ª RODADA,1º TURNO,casa,vitória,32,Toyloy,19.1,10,4,17,7,0,0,4,7,2,3,1,3,4,0,1,0,1,2,1,1,8
5,2015,Paulistano,Minas,08/12/2015 19:30,9ª RODADA,1º TURNO,casa,vitória,32,Hubner,18.8,7,3,27,10,1,7,2,3,0,0,2,1,3,0,1,0,2,0,1,1,9
6,2015,Paulistano,Minas,08/12/2015 19:30,9ª RODADA,1º TURNO,casa,vitória,32,Gemerson,20.6,6,3,15,6,0,3,3,3,0,0,0,1,1,1,1,0,3,2,0,0,6
7,2015,Paulistano,Minas,08/12/2015 19:30,9ª RODADA,1º TURNO,casa,vitória,32,Pecos,27.2,4,1,7,2,1,1,0,1,1,2,0,0,0,6,3,0,1,3,1,0,4
8,2015,Paulistano,Minas,08/12/2015 19:30,9ª RODADA,1º TURNO,casa,vitória,32,Pedro Paulo,3.1,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2015,Paulistano,Minas,08/12/2015 19:30,9ª RODADA,1º TURNO,casa,vitória,32,Mogi,11.1,3,1,14,4,0,3,1,1,1,3,0,1,1,0,1,0,3,3,1,0,6
10,2015,Paulistano,Minas,08/12/2015 19:30,9ª RODADA,1º TURNO,casa,vitória,32,Valtinho,20.1,0,0,6,2,0,2,0,0,0,0,0,3,3,10,2,0,0,1,0,0,2
11,2015,Paulistano,Minas,08/12/2015 19:30,9ª RODADA,1º TURNO,casa,vitória,32,Lucão,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
