,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2015,Fortaleza B. C.,Mogi,04/11/2015 20:30,1ª RODADA,1º TURNO,casa,vitória,7,Duda,32.5,25,6,38,10,5,8,1,2,8,10,1,7,8,5,1,0,2,7,3,0,16
1,2015,Fortaleza B. C.,Mogi,04/11/2015 20:30,1ª RODADA,1º TURNO,casa,vitória,7,Davi,29.0,22,7,29,10,3,4,4,6,5,5,1,6,7,1,2,0,4,2,3,0,14
2,2015,Fortaleza B. C.,Mogi,04/11/2015 20:30,1ª RODADA,1º TURNO,casa,vitória,7,Audrei,39.6,15,5,31,12,3,5,2,7,2,2,0,7,7,0,0,0,3,1,2,0,15
3,2015,Fortaleza B. C.,Mogi,04/11/2015 20:30,1ª RODADA,1º TURNO,casa,vitória,7,Rashaun,12.6,8,2,16,5,1,3,1,2,3,3,1,0,1,2,0,0,0,3,2,0,7
4,2015,Fortaleza B. C.,Mogi,04/11/2015 20:30,1ª RODADA,1º TURNO,casa,vitória,7,Leonardo,27.4,6,2,22,10,0,0,2,10,2,2,4,3,7,0,0,5,4,2,5,1,12
5,2015,Fortaleza B. C.,Mogi,04/11/2015 20:30,1ª RODADA,1º TURNO,casa,vitória,7,Felipe,29.2,5,2,18,8,1,2,1,6,0,0,1,3,4,2,0,4,5,1,2,0,9
6,2015,Fortaleza B. C.,Mogi,04/11/2015 20:30,1ª RODADA,1º TURNO,casa,vitória,7,Toledo,27.7,2,1,15,6,0,3,1,3,0,0,0,3,3,1,1,0,3,1,0,0,6
7,2015,Fortaleza B. C.,Mogi,04/11/2015 20:30,1ª RODADA,1º TURNO,casa,vitória,7,Luis Enrique,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,Fortaleza B. C.,Mogi,04/11/2015 20:30,1ª RODADA,1º TURNO,casa,vitória,7,Tiagão,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
9,2015,Fortaleza B. C.,Mogi,04/11/2015 20:30,1ª RODADA,1º TURNO,casa,vitória,7,Sualisson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2015,Fortaleza B. C.,Mogi,04/11/2015 20:30,1ª RODADA,1º TURNO,casa,vitória,7,Rômulo,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
11,2015,Fortaleza B. C.,Mogi,04/11/2015 20:30,1ª RODADA,1º TURNO,casa,vitória,7,Victor,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2015,Fortaleza B. C.,Mogi,04/11/2015 20:30,1ª RODADA,1º TURNO,casa,vitória,7,Equipe,200.0,83,25,169,61,13,25,12,36,20,22,12,32,44,11,6,9,23,17,19,1,77
0,2015,Mogi,Fortaleza B. C.,04/11/2015 20:30,1ª RODADA,1º TURNO,fora,derrota,-7,Tyrone Curnell,34.6,18,5,36,12,2,6,3,6,6,6,2,7,9,4,1,1,3,5,2,0,14
1,2015,Mogi,Fortaleza B. C.,04/11/2015 20:30,1ª RODADA,1º TURNO,fora,derrota,-7,Shamell,33.9,16,6,37,15,2,4,4,11,2,3,1,0,1,2,2,0,3,6,3,0,18
2,2015,Mogi,Fortaleza B. C.,04/11/2015 20:30,1ª RODADA,1º TURNO,fora,derrota,-7,Prestes,24.3,16,7,18,8,0,0,7,8,2,2,2,2,4,0,2,0,1,5,2,0,9
