,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2015,Macaé Basquete,São José,22/12/2015 19:30,14ª RODADA,1º TURNO,casa,vitória,16,André Goes,27.0,17,6,29,10,2,6,4,4,3,3,0,3,3,2,5,0,1,3,2,0,13
1,2015,Macaé Basquete,São José,22/12/2015 19:30,14ª RODADA,1º TURNO,casa,vitória,16,Eddy,29.8,16,7,37,16,2,5,5,11,0,0,4,3,7,2,1,0,1,1,2,0,14
2,2015,Macaé Basquete,São José,22/12/2015 19:30,14ª RODADA,1º TURNO,casa,vitória,16,Matheus,18.5,12,4,15,5,0,1,4,4,4,4,2,2,4,0,0,1,4,5,2,0,7
3,2015,Macaé Basquete,São José,22/12/2015 19:30,14ª RODADA,1º TURNO,casa,vitória,16,Romário,27.8,11,4,16,6,0,0,4,6,3,4,4,6,10,0,0,0,2,2,2,0,6
4,2015,Macaé Basquete,São José,22/12/2015 19:30,14ª RODADA,1º TURNO,casa,vitória,16,Márcio,32.8,9,3,34,13,1,6,2,7,2,2,0,5,5,1,1,0,1,3,2,0,16
5,2015,Macaé Basquete,São José,22/12/2015 19:30,14ª RODADA,1º TURNO,casa,vitória,16,P. Rava,26.6,7,2,15,5,1,3,1,2,2,2,0,3,3,7,0,0,4,3,2,0,8
6,2015,Macaé Basquete,São José,22/12/2015 19:30,14ª RODADA,1º TURNO,casa,vitória,16,Caleb Brown,25.4,7,3,22,9,1,3,2,6,0,1,0,1,1,2,3,0,2,1,2,0,11
7,2015,Macaé Basquete,São José,22/12/2015 19:30,14ª RODADA,1º TURNO,casa,vitória,16,João,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,Macaé Basquete,São José,22/12/2015 19:30,14ª RODADA,1º TURNO,casa,vitória,16,Cintra,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015,Macaé Basquete,São José,22/12/2015 19:30,14ª RODADA,1º TURNO,casa,vitória,16,Maique,12.2,0,0,4,2,0,0,0,2,0,0,1,3,4,0,0,0,2,0,1,0,2
10,2015,Macaé Basquete,São José,22/12/2015 19:30,14ª RODADA,1º TURNO,casa,vitória,16,Dieguinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,Macaé Basquete,São José,22/12/2015 19:30,14ª RODADA,1º TURNO,casa,vitória,16,Mosso,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2015,Macaé Basquete,São José,22/12/2015 19:30,14ª RODADA,1º TURNO,casa,vitória,16,Equipe,200.0,79,29,172,66,7,24,22,42,14,16,12,27,39,14,13,1,17,18,15,0,75
0,2015,São José,Macaé Basquete,22/12/2015 19:30,14ª RODADA,1º TURNO,fora,derrota,-16,Cauê,36.8,15,4,30,8,4,8,0,0,3,6,1,7,8,3,6,0,4,5,5,0,14
1,2015,São José,Macaé Basquete,22/12/2015 19:30,14ª RODADA,1º TURNO,fora,derrota,-16,Pedro Teruel,29.9,13,4,32,12,3,6,1,6,2,2,1,2,3,0,1,0,2,1,1,0,13
2,2015,São José,Macaé Basquete,22/12/2015 19:30,14ª RODADA,1º TURNO,fora,derrota,-16,Renato,28.9,11,4,28,10,1,4,3,6,2,4,2,1,3,4,0,0,1,2,3,0,13
3,2015,São José,Macaé Basquete,22/12/2015 19:30,14ª RODADA,1º TURNO,fora,derrota,-16,Arthur,20.0,6,3,14,6,0,2,3,4,0,0,1,1,2,0,1,0,3,0,3,0,8
4,2015,São José,Macaé Basquete,22/12/2015 19:30,14ª RODADA,1º TURNO,fora,derrota,-16,César,30.5,6,3,12,5,0,2,3,3,0,0,1,5,6,0,1,1,0,4,1,0,5
5,2015,São José,Macaé Basquete,22/12/2015 19:30,14ª RODADA,1º TURNO,fora,derrota,-16,Matheus Dalla,20.0,5,1,15,5,1,3,0,2,2,2,0,1,1,2,0,0,1,3,2,0,8
6,2015,São José,Macaé Basquete,22/12/2015 19:30,14ª RODADA,1º TURNO,fora,derrota,-16,Bruno,8.5,2,1,2,1,0,0,1,1,0,0,0,2,2,0,0,0,1,0,2,1,3
7,2015,São José,Macaé Basquete,22/12/2015 19:30,14ª RODADA,1º TURNO,fora,derrota,-16,Daniel Filé,8.3,2,1,4,2,0,0,1,2,0,0,0,1,1,0,1,0,1,0,1,0,3
8,2015,São José,Macaé Basquete,22/12/2015 19:30,14ª RODADA,1º TURNO,fora,derrota,-16,Aguirre,2.8,2,1,4,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,3
9,2015,São José,Macaé Basquete,22/12/2015 19:30,14ª RODADA,1º TURNO,fora,derrota,-16,G. Basílio,13.1,1,0,10,3,0,2,0,1,1,2,0,2,2,1,0,0,3,2,2,0,6
10,2015,São José,Macaé Basquete,22/12/2015 19:30,14ª RODADA,1º TURNO,fora,derrota,-16,Juan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,São José,Macaé Basquete,22/12/2015 19:30,14ª RODADA,1º TURNO,fora,derrota,-16,Pedrinho,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,2015,São José,Macaé Basquete,22/12/2015 19:30,14ª RODADA,1º TURNO,fora,derrota,-16,Equipe,200.0,63,22,151,54,9,27,13,27,10,16,7,24,31,10,12,1,19,17,21,1,74
