,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2019,Pato Basquete,Bauru,17/12/2019 20:00,10ª SEMANA,1º TURNO,casa,derrota,-3,G. Basílio,43.0,25,8,41,13,3,8,5,5,6,7,0,0,0,4,0,0,3,6,4,0,20
1,2019,Pato Basquete,Bauru,17/12/2019 20:00,10ª SEMANA,1º TURNO,casa,derrota,-3,Funches III,40.6,16,3,24,5,0,0,3,5,10,14,2,8,10,1,2,1,4,11,4,1,13
2,2019,Pato Basquete,Bauru,17/12/2019 20:00,10ª SEMANA,1º TURNO,casa,derrota,-3,Augusto,20.5,11,4,14,5,2,3,2,2,1,1,0,4,4,1,1,0,5,2,4,0,9
3,2019,Pato Basquete,Bauru,17/12/2019 20:00,10ª SEMANA,1º TURNO,casa,derrota,-3,Coimbra,15.3,8,4,15,7,0,0,4,7,0,1,1,3,4,0,0,0,0,2,0,0,6
4,2019,Pato Basquete,Bauru,17/12/2019 20:00,10ª SEMANA,1º TURNO,casa,derrota,-3,Scheuer,21.6,6,3,20,9,0,1,3,8,0,1,0,1,1,2,2,0,3,2,1,0,10
5,2019,Pato Basquete,Bauru,17/12/2019 20:00,10ª SEMANA,1º TURNO,casa,derrota,-3,Paulo,20.7,5,2,12,5,1,2,1,3,0,0,0,2,2,0,1,0,2,0,4,0,9
6,2019,Pato Basquete,Bauru,17/12/2019 20:00,10ª SEMANA,1º TURNO,casa,derrota,-3,Phillips,25.1,3,1,17,7,1,3,0,4,0,0,0,1,1,3,1,0,3,2,3,0,10
7,2019,Pato Basquete,Bauru,17/12/2019 20:00,10ª SEMANA,1º TURNO,casa,derrota,-3,Gegê,34.0,2,0,19,5,0,4,0,1,2,5,1,5,6,9,2,0,4,4,2,0,8
8,2019,Pato Basquete,Bauru,17/12/2019 20:00,10ª SEMANA,1º TURNO,casa,derrota,-3,Rodrigues,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
9,2019,Pato Basquete,Bauru,17/12/2019 20:00,10ª SEMANA,1º TURNO,casa,derrota,-3,Aquiles,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,Pato Basquete,Bauru,17/12/2019 20:00,10ª SEMANA,1º TURNO,casa,derrota,-3,Leandro,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,Pato Basquete,Bauru,17/12/2019 20:00,10ª SEMANA,1º TURNO,casa,derrota,-3,Equipe,225.0,76,25,162,56,7,21,18,35,19,29,5,27,32,20,9,1,25,29,24,1,87
0,2019,Bauru,Pato Basquete,17/12/2019 20:00,10ª SEMANA,1º TURNO,fora,vitória,3,Wiggins,36.5,20,6,40,14,2,6,4,8,6,6,3,6,9,3,1,0,3,5,5,0,18
1,2019,Bauru,Pato Basquete,17/12/2019 20:00,10ª SEMANA,1º TURNO,fora,vitória,3,Renato,40.4,18,6,31,12,1,2,5,10,5,5,2,7,9,0,2,0,1,5,5,0,17
2,2019,Bauru,Pato Basquete,17/12/2019 20:00,10ª SEMANA,1º TURNO,fora,vitória,3,Crescenzi,25.7,13,4,30,10,3,8,1,2,2,2,1,3,4,2,1,0,5,1,1,0,11
3,2019,Bauru,Pato Basquete,17/12/2019 20:00,10ª SEMANA,1º TURNO,fora,vitória,3,Faggiano,41.5,10,3,28,10,2,5,1,5,2,3,0,3,3,7,4,0,3,4,6,0,17
4,2019,Bauru,Pato Basquete,17/12/2019 20:00,10ª SEMANA,1º TURNO,fora,vitória,3,L. Brito,29.0,8,3,24,8,1,3,2,5,1,5,0,0,0,1,3,0,3,6,0,1,10
5,2019,Bauru,Pato Basquete,17/12/2019 20:00,10ª SEMANA,1º TURNO,fora,vitória,3,Draper,17.4,7,3,15,6,0,1,3,5,1,2,4,1,5,0,0,0,5,1,2,0,5
6,2019,Bauru,Pato Basquete,17/12/2019 20:00,10ª SEMANA,1º TURNO,fora,vitória,3,Gabriel Jaú,19.0,2,1,11,5,0,1,1,4,0,0,1,4,5,1,1,0,5,1,1,0,5
7,2019,Bauru,Pato Basquete,17/12/2019 20:00,10ª SEMANA,1º TURNO,fora,vitória,3,Pará,7.2,1,0,4,1,0,0,0,1,1,2,2,0,2,1,1,0,1,1,0,0,0
8,2019,Bauru,Pato Basquete,17/12/2019 20:00,10ª SEMANA,1º TURNO,fora,vitória,3,Emanuel Matias,3.3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
9,2019,Bauru,Pato Basquete,17/12/2019 20:00,10ª SEMANA,1º TURNO,fora,vitória,3,Mendes,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,Bauru,Pato Basquete,17/12/2019 20:00,10ª SEMANA,1º TURNO,fora,vitória,3,Malachias,5.2,0,0,4,2,0,0,0,2,0,0,3,1,4,0,0,0,2,1,1,0,0
11,2019,Bauru,Pato Basquete,17/12/2019 20:00,10ª SEMANA,1º TURNO,fora,vitória,3,Equipe,225.0,79,26,187,68,9,26,17,42,18,25,17,29,46,15,13,0,29,25,22,1,83
