,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2019,Rio Claro,Botafogo,14/02/2020 20:00,16ª SEMANA,2º TURNO,casa,derrota,-1,Baxley,30.8,28,8,45,16,2,3,6,13,10,10,0,1,1,3,1,0,0,6,2,0,22
1,2019,Rio Claro,Botafogo,14/02/2020 20:00,16ª SEMANA,2º TURNO,casa,derrota,-1,Enzo,30.4,18,5,34,11,3,7,2,4,5,5,0,3,3,4,0,0,3,6,5,0,18
2,2019,Rio Claro,Botafogo,14/02/2020 20:00,16ª SEMANA,2º TURNO,casa,derrota,-1,Gerson,25.1,13,6,20,9,0,0,6,9,1,2,1,3,4,0,0,0,4,3,1,3,10
3,2019,Rio Claro,Botafogo,14/02/2020 20:00,16ª SEMANA,2º TURNO,casa,derrota,-1,Pastor,28.8,11,5,20,8,0,1,5,7,1,3,1,4,5,2,0,0,4,1,2,0,10
4,2019,Rio Claro,Botafogo,14/02/2020 20:00,16ª SEMANA,2º TURNO,casa,derrota,-1,Pedro Teruel,16.4,8,3,15,6,1,2,2,4,1,1,0,3,3,2,0,0,2,1,3,0,9
5,2019,Rio Claro,Botafogo,14/02/2020 20:00,16ª SEMANA,2º TURNO,casa,derrota,-1,Figueroa,35.4,5,2,14,6,1,2,1,4,0,0,1,2,3,8,2,0,5,3,0,0,5
6,2019,Rio Claro,Botafogo,14/02/2020 20:00,16ª SEMANA,2º TURNO,casa,derrota,-1,Lucão,17.2,4,2,4,2,0,0,2,2,0,0,2,2,4,0,2,0,3,1,2,1,2
7,2019,Rio Claro,Botafogo,14/02/2020 20:00,16ª SEMANA,2º TURNO,casa,derrota,-1,Ansaloni,14.7,2,1,2,1,0,0,1,1,0,0,0,5,5,1,0,0,4,0,1,1,2
8,2019,Rio Claro,Botafogo,14/02/2020 20:00,16ª SEMANA,2º TURNO,casa,derrota,-1,Dhomini,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,Rio Claro,Botafogo,14/02/2020 20:00,16ª SEMANA,2º TURNO,casa,derrota,-1,Bruno,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,Rio Claro,Botafogo,14/02/2020 20:00,16ª SEMANA,2º TURNO,casa,derrota,-1,Augusto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,Rio Claro,Botafogo,14/02/2020 20:00,16ª SEMANA,2º TURNO,casa,derrota,-1,Equipe,200.0,89,32,154,59,7,15,25,44,18,21,7,28,35,20,5,0,25,21,17,5,77
0,2019,Botafogo,Rio Claro,14/02/2020 20:00,16ª SEMANA,2º TURNO,fora,vitória,1,Lucas Mariano,32.8,28,10,49,19,4,7,6,12,4,4,2,5,7,0,1,2,3,3,2,0,21
1,2019,Botafogo,Rio Claro,14/02/2020 20:00,16ª SEMANA,2º TURNO,fora,vitória,1,Smith,37.3,20,5,35,10,4,7,1,3,6,8,1,2,3,9,0,0,1,7,0,0,12
2,2019,Botafogo,Rio Claro,14/02/2020 20:00,16ª SEMANA,2º TURNO,fora,vitória,1,Freddie,25.8,14,5,21,8,3,4,2,4,1,1,1,5,6,3,1,1,4,1,0,1,7
3,2019,Botafogo,Rio Claro,14/02/2020 20:00,16ª SEMANA,2º TURNO,fora,vitória,1,Du Sommer,22.8,10,3,16,5,1,3,2,2,3,3,0,0,0,0,2,0,3,3,1,1,7
4,2019,Botafogo,Rio Claro,14/02/2020 20:00,16ª SEMANA,2º TURNO,fora,vitória,1,Cauê,26.1,8,3,8,3,2,2,1,1,0,0,0,2,2,2,0,0,3,3,1,0,4
5,2019,Botafogo,Rio Claro,14/02/2020 20:00,16ª SEMANA,2º TURNO,fora,vitória,1,Arthur,10.4,5,1,16,5,0,3,1,2,3,3,0,0,0,0,0,0,2,3,3,0,9
6,2019,Botafogo,Rio Claro,14/02/2020 20:00,16ª SEMANA,2º TURNO,fora,vitória,1,Paulinho,6.8,3,1,6,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3
7,2019,Botafogo,Rio Claro,14/02/2020 20:00,16ª SEMANA,2º TURNO,fora,vitória,1,Diego,10.4,2,1,5,2,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,2
8,2019,Botafogo,Rio Claro,14/02/2020 20:00,16ª SEMANA,2º TURNO,fora,vitória,1,Jackson,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,Botafogo,Rio Claro,14/02/2020 20:00,16ª SEMANA,2º TURNO,fora,vitória,1,Coelho,21.8,0,0,10,4,0,2,0,2,0,0,1,1,2,5,1,0,5,3,3,0,6
10,2019,Botafogo,Rio Claro,14/02/2020 20:00,16ª SEMANA,2º TURNO,fora,vitória,1,Mogi,5.9,0,0,10,4,0,2,0,2,0,0,0,1,1,0,1,0,1,0,1,0,5
11,2019,Botafogo,Rio Claro,14/02/2020 20:00,16ª SEMANA,2º TURNO,fora,vitória,1,Equipe,200.0,90,29,176,62,15,33,14,29,17,19,5,21,26,20,6,4,22,24,13,2,78
