,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2019,Pinheiros,Rio Claro,10/03/2020 20:00,19ª SEMANA,2º TURNO,casa,derrota,-6,Caio Torres,28.4,27,12,43,18,0,3,12,15,3,4,3,3,6,0,0,1,2,3,1,0,18
1,2019,Pinheiros,Rio Claro,10/03/2020 20:00,19ª SEMANA,2º TURNO,casa,derrota,-6,Ware,27.5,16,5,28,9,3,7,2,2,3,3,2,3,5,1,1,1,2,2,0,0,8
2,2019,Pinheiros,Rio Claro,10/03/2020 20:00,19ª SEMANA,2º TURNO,casa,derrota,-6,Betinho,27.4,8,2,24,8,1,4,1,4,3,4,0,2,2,3,0,0,4,7,2,0,12
3,2019,Pinheiros,Rio Claro,10/03/2020 20:00,19ª SEMANA,2º TURNO,casa,derrota,-6,Dawkins,27.7,8,2,27,10,2,5,0,5,2,2,0,1,1,4,1,0,2,2,2,0,13
4,2019,Pinheiros,Rio Claro,10/03/2020 20:00,19ª SEMANA,2º TURNO,casa,derrota,-6,Isaac,17.0,7,2,10,3,0,1,2,2,3,3,0,3,3,2,0,0,0,3,1,0,5
5,2019,Pinheiros,Rio Claro,10/03/2020 20:00,19ª SEMANA,2º TURNO,casa,derrota,-6,Bennett,29.7,7,2,23,8,0,3,2,5,3,4,0,1,1,5,1,0,3,4,2,0,12
6,2019,Pinheiros,Rio Claro,10/03/2020 20:00,19ª SEMANA,2º TURNO,casa,derrota,-6,Scaglia,13.3,5,2,10,4,1,2,1,2,0,0,1,3,4,1,0,1,1,0,1,0,4
7,2019,Pinheiros,Rio Claro,10/03/2020 20:00,19ª SEMANA,2º TURNO,casa,derrota,-6,L. Cauê,17.2,2,1,12,6,0,0,1,6,0,0,3,3,6,2,0,0,4,1,1,0,4
8,2019,Pinheiros,Rio Claro,10/03/2020 20:00,19ª SEMANA,2º TURNO,casa,derrota,-6,Buffat,12.0,0,0,2,1,0,0,0,1,0,0,0,3,3,2,1,0,5,2,0,0,1
9,2019,Pinheiros,Rio Claro,10/03/2020 20:00,19ª SEMANA,2º TURNO,casa,derrota,-6,Toledo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,Pinheiros,Rio Claro,10/03/2020 20:00,19ª SEMANA,2º TURNO,casa,derrota,-6,Equipe,200.0,80,28,179,67,7,25,21,42,17,20,12,24,36,20,4,3,23,24,10,0,73
0,2019,Rio Claro,Pinheiros,10/03/2020 20:00,19ª SEMANA,2º TURNO,fora,vitória,6,Enzo,30.1,18,6,32,11,2,5,4,6,4,5,0,3,3,3,1,0,2,4,1,0,14
1,2019,Rio Claro,Pinheiros,10/03/2020 20:00,19ª SEMANA,2º TURNO,fora,vitória,6,Sahdi,17.6,18,3,31,8,3,5,0,3,9,10,0,2,2,5,1,0,3,5,2,0,14
2,2019,Rio Claro,Pinheiros,10/03/2020 20:00,19ª SEMANA,2º TURNO,fora,vitória,6,Pastor,31.7,15,6,27,11,3,5,3,6,0,0,4,6,10,0,0,0,1,0,1,1,8
3,2019,Rio Claro,Pinheiros,10/03/2020 20:00,19ª SEMANA,2º TURNO,fora,vitória,6,Ansaloni,30.5,12,4,24,9,2,4,2,5,2,2,0,5,5,1,2,1,4,4,2,0,12
4,2019,Rio Claro,Pinheiros,10/03/2020 20:00,19ª SEMANA,2º TURNO,fora,vitória,6,Figueroa,27.2,8,3,11,4,2,3,1,1,0,0,0,0,0,5,0,0,4,2,1,0,5
5,2019,Rio Claro,Pinheiros,10/03/2020 20:00,19ª SEMANA,2º TURNO,fora,vitória,6,Gerson,20.7,7,2,15,5,0,0,2,5,3,5,1,5,6,1,1,0,3,4,1,1,7
6,2019,Rio Claro,Pinheiros,10/03/2020 20:00,19ª SEMANA,2º TURNO,fora,vitória,6,Pedro Teruel,12.5,4,2,9,4,0,1,2,3,0,0,1,3,4,1,2,0,3,0,1,0,4
7,2019,Rio Claro,Pinheiros,10/03/2020 20:00,19ª SEMANA,2º TURNO,fora,vitória,6,Baxley,17.4,3,0,9,2,0,1,0,1,3,4,0,1,1,0,0,0,1,2,0,0,4
8,2019,Rio Claro,Pinheiros,10/03/2020 20:00,19ª SEMANA,2º TURNO,fora,vitória,6,Lucão,12.0,1,0,6,2,0,0,0,2,1,2,2,0,2,0,0,0,3,2,2,0,3
9,2019,Rio Claro,Pinheiros,10/03/2020 20:00,19ª SEMANA,2º TURNO,fora,vitória,6,Bruno,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,Rio Claro,Pinheiros,10/03/2020 20:00,19ª SEMANA,2º TURNO,fora,vitória,6,Equipe,200.0,86,26,164,56,12,24,14,32,22,28,9,28,37,16,7,1,24,23,13,2,71
