,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2019,Fortaleza B. C.,Flamengo,08/11/2019 20:00,4ª SEMANA,1º TURNO,casa,derrota,-17,Felipe,33.2,14,4,31,10,1,4,3,6,5,7,2,6,8,3,2,0,5,5,3,0,14
1,2019,Fortaleza B. C.,Flamengo,08/11/2019 20:00,4ª SEMANA,1º TURNO,casa,derrota,-17,Rashaun,26.3,13,4,34,12,1,5,3,7,4,5,0,0,0,1,1,0,3,8,1,0,15
2,2019,Fortaleza B. C.,Flamengo,08/11/2019 20:00,4ª SEMANA,1º TURNO,casa,derrota,-17,Alex,29.8,10,3,28,9,2,6,1,3,2,4,1,1,2,1,0,0,3,2,0,0,10
3,2019,Fortaleza B. C.,Flamengo,08/11/2019 20:00,4ª SEMANA,1º TURNO,casa,derrota,-17,Brite,20.3,10,3,27,10,0,2,3,8,4,5,1,4,5,3,1,0,4,4,1,0,12
4,2019,Fortaleza B. C.,Flamengo,08/11/2019 20:00,4ª SEMANA,1º TURNO,casa,derrota,-17,Sualisson,16.0,9,3,10,3,2,2,1,1,1,2,2,2,4,1,2,1,3,3,4,0,6
5,2019,Fortaleza B. C.,Flamengo,08/11/2019 20:00,4ª SEMANA,1º TURNO,casa,derrota,-17,Cauê,18.0,5,2,13,5,1,3,1,2,0,0,0,4,4,1,0,0,2,1,0,0,5
6,2019,Fortaleza B. C.,Flamengo,08/11/2019 20:00,4ª SEMANA,1º TURNO,casa,derrota,-17,Mathias,16.3,4,1,4,1,0,0,1,1,2,2,0,1,1,0,1,0,3,2,3,0,5
7,2019,Fortaleza B. C.,Flamengo,08/11/2019 20:00,4ª SEMANA,1º TURNO,casa,derrota,-17,Davis,19.4,2,1,13,5,0,3,1,2,0,0,0,1,1,0,1,0,2,0,0,0,5
8,2019,Fortaleza B. C.,Flamengo,08/11/2019 20:00,4ª SEMANA,1º TURNO,casa,derrota,-17,Armani,1.8,2,0,4,1,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,2
9,2019,Fortaleza B. C.,Flamengo,08/11/2019 20:00,4ª SEMANA,1º TURNO,casa,derrota,-17,Vinicius,15.7,2,1,2,1,0,0,1,1,0,0,0,1,1,1,0,0,4,0,2,1,3
10,2019,Fortaleza B. C.,Flamengo,08/11/2019 20:00,4ª SEMANA,1º TURNO,casa,derrota,-17,J. Gabriel,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,Fortaleza B. C.,Flamengo,08/11/2019 20:00,4ª SEMANA,1º TURNO,casa,derrota,-17,Gabriel,2.1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2019,Fortaleza B. C.,Flamengo,08/11/2019 20:00,4ª SEMANA,1º TURNO,casa,derrota,-17,Equipe,200.0,71,22,169,58,7,26,15,32,20,27,9,23,32,11,8,1,29,26,14,1,74
0,2019,Flamengo,Fortaleza B. C.,08/11/2019 20:00,4ª SEMANA,1º TURNO,fora,vitória,17,Marquinhos,22.9,19,6,36,13,2,5,4,8,5,5,2,5,7,5,1,0,2,3,0,0,13
1,2019,Flamengo,Fortaleza B. C.,08/11/2019 20:00,4ª SEMANA,1º TURNO,fora,vitória,17,Mineiro,20.3,15,6,20,8,1,1,5,7,2,3,0,3,3,0,0,0,2,5,2,1,11
2,2019,Flamengo,Fortaleza B. C.,08/11/2019 20:00,4ª SEMANA,1º TURNO,fora,vitória,17,Olivinha,21.4,10,4,23,9,1,3,3,6,1,2,3,7,10,0,1,0,0,3,0,0,7
3,2019,Flamengo,Fortaleza B. C.,08/11/2019 20:00,4ª SEMANA,1º TURNO,fora,vitória,17,Zach Graham,22.5,9,4,15,6,0,2,4,4,1,1,0,0,0,0,0,0,3,5,1,0,7
4,2019,Flamengo,Fortaleza B. C.,08/11/2019 20:00,4ª SEMANA,1º TURNO,fora,vitória,17,Black,8.9,7,2,14,4,1,2,1,2,2,4,3,1,4,0,0,0,3,2,0,0,3
5,2019,Flamengo,Fortaleza B. C.,08/11/2019 20:00,4ª SEMANA,1º TURNO,fora,vitória,17,Demétrio,20.5,7,3,30,11,0,3,3,8,1,5,3,3,6,4,1,0,2,4,0,1,10
6,2019,Flamengo,Fortaleza B. C.,08/11/2019 20:00,4ª SEMANA,1º TURNO,fora,vitória,17,Balbi,20.9,6,3,6,3,0,0,3,3,0,0,0,2,2,4,0,1,3,2,4,0,7
7,2019,Flamengo,Fortaleza B. C.,08/11/2019 20:00,4ª SEMANA,1º TURNO,fora,vitória,17,Deryk,23.1,6,2,9,3,2,3,0,0,0,0,0,0,0,6,2,1,3,1,4,0,7
8,2019,Flamengo,Fortaleza B. C.,08/11/2019 20:00,4ª SEMANA,1º TURNO,fora,vitória,17,Pedro Nunes,10.0,4,2,8,3,0,0,2,3,0,2,0,1,1,0,0,0,1,1,0,0,4
9,2019,Flamengo,Fortaleza B. C.,08/11/2019 20:00,4ª SEMANA,1º TURNO,fora,vitória,17,Jhonatan,21.9,3,1,14,5,0,2,1,3,1,2,0,5,5,0,0,0,3,1,0,0,6
10,2019,Flamengo,Fortaleza B. C.,08/11/2019 20:00,4ª SEMANA,1º TURNO,fora,vitória,17,Ruan,5.0,2,1,3,1,0,0,1,1,0,1,0,1,1,0,1,0,3,1,0,0,1
11,2019,Flamengo,Fortaleza B. C.,08/11/2019 20:00,4ª SEMANA,1º TURNO,fora,vitória,17,Matheusinho,2.8,0,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1
12,2019,Flamengo,Fortaleza B. C.,08/11/2019 20:00,4ª SEMANA,1º TURNO,fora,vitória,17,Equipe,200.0,88,34,181,67,7,22,27,45,13,25,14,31,45,21,6,2,26,28,11,2,74
