,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2019,Bauru,Paulistano,12/11/2019 20:00,5ª SEMANA,1º TURNO,casa,derrota,-8,Faggiano,32.7,15,7,19,9,0,0,7,9,1,1,0,3,3,3,3,0,2,2,3,0,12
1,2019,Bauru,Paulistano,12/11/2019 20:00,5ª SEMANA,1º TURNO,casa,derrota,-8,Pará,28.0,14,6,17,7,1,1,5,6,1,2,0,2,2,2,2,0,1,4,3,0,11
2,2019,Bauru,Paulistano,12/11/2019 20:00,5ª SEMANA,1º TURNO,casa,derrota,-8,Massey,31.3,11,3,28,9,3,8,0,1,2,2,0,2,2,1,2,0,4,2,2,0,12
3,2019,Bauru,Paulistano,12/11/2019 20:00,5ª SEMANA,1º TURNO,casa,derrota,-8,Wiggins,28.2,11,3,21,6,1,3,2,3,4,6,0,5,5,5,0,0,0,7,3,0,11
4,2019,Bauru,Paulistano,12/11/2019 20:00,5ª SEMANA,1º TURNO,casa,derrota,-8,Gabriel Jaú,23.7,10,4,24,9,1,3,3,6,1,3,0,2,2,0,0,1,3,3,1,0,11
5,2019,Bauru,Paulistano,12/11/2019 20:00,5ª SEMANA,1º TURNO,casa,derrota,-8,Crescenzi,22.7,7,3,13,5,1,3,2,2,0,0,0,1,1,1,0,1,4,0,0,0,5
6,2019,Bauru,Paulistano,12/11/2019 20:00,5ª SEMANA,1º TURNO,casa,derrota,-8,Emanuel Matias,11.5,4,1,6,2,0,0,1,2,2,2,0,0,0,0,1,0,1,2,1,0,4
7,2019,Bauru,Paulistano,12/11/2019 20:00,5ª SEMANA,1º TURNO,casa,derrota,-8,L. Brito,7.3,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,3,0,0,1
8,2019,Bauru,Paulistano,12/11/2019 20:00,5ª SEMANA,1º TURNO,casa,derrota,-8,Malachias,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,Bauru,Paulistano,12/11/2019 20:00,5ª SEMANA,1º TURNO,casa,derrota,-8,Renato,14.5,0,0,10,4,0,2,0,2,0,0,0,2,2,2,0,0,0,0,0,0,4
10,2019,Bauru,Paulistano,12/11/2019 20:00,5ª SEMANA,1º TURNO,casa,derrota,-8,Mendes,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,Bauru,Paulistano,12/11/2019 20:00,5ª SEMANA,1º TURNO,casa,derrota,-8,Equipe,200.0,74,27,140,51,7,20,20,31,13,18,1,17,18,14,8,2,17,23,13,0,70
0,2019,Paulistano,Bauru,12/11/2019 20:00,5ª SEMANA,1º TURNO,fora,vitória,8,Yago,32.8,13,4,23,8,3,5,1,3,2,2,1,1,2,5,2,0,1,4,2,0,10
1,2019,Paulistano,Bauru,12/11/2019 20:00,5ª SEMANA,1º TURNO,fora,vitória,8,Vitão,25.0,13,5,15,6,3,3,2,3,0,0,1,4,5,0,1,1,2,1,4,0,9
2,2019,Paulistano,Bauru,12/11/2019 20:00,5ª SEMANA,1º TURNO,fora,vitória,8,Eddy,26.0,12,4,21,7,4,7,0,0,0,0,0,1,1,3,1,0,4,1,1,0,8
3,2019,Paulistano,Bauru,12/11/2019 20:00,5ª SEMANA,1º TURNO,fora,vitória,8,Maique,22.5,9,4,12,4,0,0,4,4,1,2,1,2,3,2,0,2,2,2,1,0,5
4,2019,Paulistano,Bauru,12/11/2019 20:00,5ª SEMANA,1º TURNO,fora,vitória,8,Coleman,16.8,8,3,15,5,1,3,2,2,1,2,0,3,3,1,1,0,1,2,3,0,9
5,2019,Paulistano,Bauru,12/11/2019 20:00,5ª SEMANA,1º TURNO,fora,vitória,8,Kevin Foster,15.0,8,2,15,5,2,3,0,2,2,2,0,5,5,2,0,0,3,2,3,0,9
6,2019,Paulistano,Bauru,12/11/2019 20:00,5ª SEMANA,1º TURNO,fora,vitória,8,Solano,21.9,8,3,16,6,1,2,2,4,1,2,0,1,1,5,1,0,4,2,1,0,8
7,2019,Paulistano,Bauru,12/11/2019 20:00,5ª SEMANA,1º TURNO,fora,vitória,8,Dikembe,14.5,6,3,14,7,0,0,3,7,0,0,1,2,3,1,0,0,1,1,0,1,6
8,2019,Paulistano,Bauru,12/11/2019 20:00,5ª SEMANA,1º TURNO,fora,vitória,8,Ruivo,14.6,3,1,7,3,1,1,0,2,0,0,0,2,2,2,1,0,3,1,2,0,5
9,2019,Paulistano,Bauru,12/11/2019 20:00,5ª SEMANA,1º TURNO,fora,vitória,8,Jonatan,8.4,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
10,2019,Paulistano,Bauru,12/11/2019 20:00,5ª SEMANA,1º TURNO,fora,vitória,8,Rafael,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,Paulistano,Bauru,12/11/2019 20:00,5ª SEMANA,1º TURNO,fora,vitória,8,Barbosa,2.6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
12,2019,Paulistano,Bauru,12/11/2019 20:00,5ª SEMANA,1º TURNO,fora,vitória,8,Equipe,200.0,82,30,140,52,15,24,15,28,7,10,5,24,29,21,7,3,23,16,18,1,69
