,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2019,Mogi,Pato Basquete,17/11/2019 11:00,6ª SEMANA,1º TURNO,casa,vitória,9,Fuzaro,34.7,25,8,46,15,4,7,4,8,5,9,0,4,4,3,3,2,4,8,3,0,22
1,2019,Mogi,Pato Basquete,17/11/2019 11:00,6ª SEMANA,1º TURNO,casa,vitória,9,André Goes,35.7,16,7,29,12,0,3,7,9,2,2,1,5,6,6,2,0,2,3,1,0,13
2,2019,Mogi,Pato Basquete,17/11/2019 11:00,6ª SEMANA,1º TURNO,casa,vitória,9,Gruber,24.9,16,6,33,13,1,3,5,10,3,4,3,2,5,1,2,2,1,4,3,0,15
3,2019,Mogi,Pato Basquete,17/11/2019 11:00,6ª SEMANA,1º TURNO,casa,vitória,9,Fúlvio,29.0,7,2,16,5,1,4,1,1,2,2,0,4,4,5,1,0,1,6,5,0,11
4,2019,Mogi,Pato Basquete,17/11/2019 11:00,6ª SEMANA,1º TURNO,casa,vitória,9,Alex,16.0,5,2,8,3,0,0,2,3,1,2,0,1,1,3,0,0,3,1,1,1,5
5,2019,Mogi,Pato Basquete,17/11/2019 11:00,6ª SEMANA,1º TURNO,casa,vitória,9,Paranhos,11.8,2,1,8,4,0,0,1,4,0,0,0,1,1,0,0,1,2,1,1,0,5
6,2019,Mogi,Pato Basquete,17/11/2019 11:00,6ª SEMANA,1º TURNO,casa,vitória,9,Fabricio,27.2,2,1,5,2,0,1,1,1,0,0,1,7,8,2,1,0,1,0,1,0,2
7,2019,Mogi,Pato Basquete,17/11/2019 11:00,6ª SEMANA,1º TURNO,casa,vitória,9,Gonzaga,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,Mogi,Pato Basquete,17/11/2019 11:00,6ª SEMANA,1º TURNO,casa,vitória,9,Lessa,13.7,0,0,5,2,0,1,0,1,0,0,2,0,2,1,0,0,1,1,1,0,1
9,2019,Mogi,Pato Basquete,17/11/2019 11:00,6ª SEMANA,1º TURNO,casa,vitória,9,Ziggy,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,Mogi,Pato Basquete,17/11/2019 11:00,6ª SEMANA,1º TURNO,casa,vitória,9,Colina,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,Mogi,Pato Basquete,17/11/2019 11:00,6ª SEMANA,1º TURNO,casa,vitória,9,Lucas,7.2,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1
12,2019,Mogi,Pato Basquete,17/11/2019 11:00,6ª SEMANA,1º TURNO,casa,vitória,9,Equipe,200.0,73,27,152,57,6,19,21,38,13,19,9,27,36,22,9,5,17,24,17,1,73
0,2019,Pato Basquete,Mogi,17/11/2019 11:00,6ª SEMANA,1º TURNO,fora,derrota,-9,Paulo,28.9,13,5,31,12,2,5,3,7,1,2,1,2,3,2,1,0,2,1,1,0,13
1,2019,Pato Basquete,Mogi,17/11/2019 11:00,6ª SEMANA,1º TURNO,fora,derrota,-9,G. Basílio,32.5,13,3,39,14,1,5,2,9,6,6,1,4,5,3,1,0,2,4,2,0,17
2,2019,Pato Basquete,Mogi,17/11/2019 11:00,6ª SEMANA,1º TURNO,fora,derrota,-9,Gegê,27.7,11,4,25,9,3,7,1,2,0,0,0,1,1,3,6,0,2,1,1,0,10
3,2019,Pato Basquete,Mogi,17/11/2019 11:00,6ª SEMANA,1º TURNO,fora,derrota,-9,Rodrigues,17.4,10,2,15,4,0,0,2,4,6,7,1,3,4,0,1,0,5,5,2,0,8
4,2019,Pato Basquete,Mogi,17/11/2019 11:00,6ª SEMANA,1º TURNO,fora,derrota,-9,Funches III,24.1,6,3,10,5,0,0,3,5,0,0,1,5,6,1,1,0,3,1,2,1,6
5,2019,Pato Basquete,Mogi,17/11/2019 11:00,6ª SEMANA,1º TURNO,fora,derrota,-9,Leandro,12.0,5,1,8,2,1,2,0,0,2,2,1,2,3,3,1,0,0,1,0,0,2
6,2019,Pato Basquete,Mogi,17/11/2019 11:00,6ª SEMANA,1º TURNO,fora,derrota,-9,Smith,11.6,3,1,5,2,1,1,0,1,0,0,0,2,2,0,0,0,0,2,3,0,5
7,2019,Pato Basquete,Mogi,17/11/2019 11:00,6ª SEMANA,1º TURNO,fora,derrota,-9,Augusto,18.7,3,1,12,4,0,2,1,2,1,2,0,1,1,5,0,0,3,1,3,0,8
8,2019,Pato Basquete,Mogi,17/11/2019 11:00,6ª SEMANA,1º TURNO,fora,derrota,-9,Murilo,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1
9,2019,Pato Basquete,Mogi,17/11/2019 11:00,6ª SEMANA,1º TURNO,fora,derrota,-9,Aquiles,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
