,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2019,Bauru,Botafogo,29/11/2019 21:10,7ª SEMANA,1º TURNO,casa,derrota,-7,Faggiano,34.0,23,8,43,15,2,8,6,7,5,5,0,1,1,2,2,0,2,6,1,0,18
1,2019,Bauru,Botafogo,29/11/2019 21:10,7ª SEMANA,1º TURNO,casa,derrota,-7,Wiggins,32.5,20,7,39,14,3,7,4,7,3,4,1,3,4,0,0,1,2,5,3,0,18
2,2019,Bauru,Botafogo,29/11/2019 21:10,7ª SEMANA,1º TURNO,casa,derrota,-7,Massey,30.8,11,5,27,11,1,5,4,6,0,0,3,5,8,2,4,1,2,2,0,1,8
3,2019,Bauru,Botafogo,29/11/2019 21:10,7ª SEMANA,1º TURNO,casa,derrota,-7,Renato,29.8,5,2,14,4,0,2,2,2,1,4,1,3,4,1,0,0,3,2,2,0,7
4,2019,Bauru,Botafogo,29/11/2019 21:10,7ª SEMANA,1º TURNO,casa,derrota,-7,Gabriel Jaú,19.7,4,2,15,6,0,1,2,5,0,2,2,5,7,2,0,0,1,3,1,0,6
5,2019,Bauru,Botafogo,29/11/2019 21:10,7ª SEMANA,1º TURNO,casa,derrota,-7,L. Brito,11.5,3,1,9,3,0,1,1,2,1,2,0,0,0,0,2,0,1,1,0,0,4
6,2019,Bauru,Botafogo,29/11/2019 21:10,7ª SEMANA,1º TURNO,casa,derrota,-7,Emanuel Matias,2.1,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,2
7,2019,Bauru,Botafogo,29/11/2019 21:10,7ª SEMANA,1º TURNO,casa,derrota,-7,Crescenzi,17.2,2,0,7,1,0,1,0,0,2,4,1,2,3,0,0,0,2,3,1,0,3
8,2019,Bauru,Botafogo,29/11/2019 21:10,7ª SEMANA,1º TURNO,casa,derrota,-7,Pará,22.4,1,0,15,6,0,1,0,5,1,2,1,2,3,1,2,0,3,1,0,0,6
9,2019,Bauru,Botafogo,29/11/2019 21:10,7ª SEMANA,1º TURNO,casa,derrota,-7,Malachias,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,Bauru,Botafogo,29/11/2019 21:10,7ª SEMANA,1º TURNO,casa,derrota,-7,Mendes,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,Bauru,Botafogo,29/11/2019 21:10,7ª SEMANA,1º TURNO,casa,derrota,-7,Equipe,200.0,71,26,171,61,6,26,20,35,13,23,12,21,33,8,10,2,20,23,11,1,69
0,2019,Botafogo,Bauru,29/11/2019 21:10,7ª SEMANA,1º TURNO,fora,vitória,7,Arthur,33.6,19,8,27,11,3,5,5,6,0,0,1,3,4,2,1,1,2,1,2,0,12
1,2019,Botafogo,Bauru,29/11/2019 21:10,7ª SEMANA,1º TURNO,fora,vitória,7,Du Sommer,33.4,13,5,16,5,1,1,4,4,2,5,2,4,6,2,2,1,3,5,3,0,8
2,2019,Botafogo,Bauru,29/11/2019 21:10,7ª SEMANA,1º TURNO,fora,vitória,7,Cauê,40.0,11,4,14,5,0,1,4,4,3,3,0,2,2,10,0,0,2,4,4,0,10
3,2019,Botafogo,Bauru,29/11/2019 21:10,7ª SEMANA,1º TURNO,fora,vitória,7,Smith,26.1,9,2,25,8,2,5,0,3,3,4,1,2,3,4,0,0,3,5,3,0,12
4,2019,Botafogo,Bauru,29/11/2019 21:10,7ª SEMANA,1º TURNO,fora,vitória,7,Mogi,23.1,8,3,18,7,2,4,1,3,0,0,1,4,5,1,0,1,5,1,0,0,6
5,2019,Botafogo,Bauru,29/11/2019 21:10,7ª SEMANA,1º TURNO,fora,vitória,7,Lucas Mariano,19.5,7,3,23,10,1,3,2,7,0,0,1,5,6,0,0,0,0,2,0,0,9
6,2019,Botafogo,Bauru,29/11/2019 21:10,7ª SEMANA,1º TURNO,fora,vitória,7,Diego,10.0,5,2,12,5,1,2,1,3,0,0,2,2,4,0,0,0,4,1,1,0,4
7,2019,Botafogo,Bauru,29/11/2019 21:10,7ª SEMANA,1º TURNO,fora,vitória,7,Freddie,12.1,4,2,12,5,0,2,2,3,0,0,0,3,3,0,1,0,1,0,1,1,6
8,2019,Botafogo,Bauru,29/11/2019 21:10,7ª SEMANA,1º TURNO,fora,vitória,7,Jackson,2.4,2,1,5,2,0,1,1,1,0,0,0,1,1,0,0,0,3,0,0,0,2
9,2019,Botafogo,Bauru,29/11/2019 21:10,7ª SEMANA,1º TURNO,fora,vitória,7,W. Sena,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,Botafogo,Bauru,29/11/2019 21:10,7ª SEMANA,1º TURNO,fora,vitória,7,Paulinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,Botafogo,Bauru,29/11/2019 21:10,7ª SEMANA,1º TURNO,fora,vitória,7,Equipe,200.0,78,30,152,58,10,24,20,34,8,12,9,27,36,19,4,3,23,19,16,1,70
