,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2020,Pato Basquete,KTO Caxias do Sul,08/01/2021 14:30,9ª RODADA,1º TURNO,casa,derrota,-15,I. Thornton,32.44,10,3,21,7,1,4,2,3,3,3,0,0,0,2,0,0,2,3,2,0,10
1,2020,Pato Basquete,KTO Caxias do Sul,08/01/2021 14:30,9ª RODADA,1º TURNO,casa,derrota,-15,Leal,26.29,6,3,17,6,0,0,3,6,0,5,3,9,12,2,1,1,3,5,1,0,6
2,2020,Pato Basquete,KTO Caxias do Sul,08/01/2021 14:30,9ª RODADA,1º TURNO,casa,derrota,-15,Servelin,22.46,15,4,21,6,1,3,3,3,6,6,1,1,2,1,1,0,3,6,0,0,7
3,2020,Pato Basquete,KTO Caxias do Sul,08/01/2021 14:30,9ª RODADA,1º TURNO,casa,derrota,-15,Derick,6.53,2,1,7,3,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,3
4,2020,Pato Basquete,KTO Caxias do Sul,08/01/2021 14:30,9ª RODADA,1º TURNO,casa,derrota,-15,Matheusinho,21.5,14,5,34,13,0,3,5,10,4,5,0,1,1,4,0,0,0,4,5,0,20
5,2020,Pato Basquete,KTO Caxias do Sul,08/01/2021 14:30,9ª RODADA,1º TURNO,casa,derrota,-15,Lucas,17.45,9,2,17,5,1,3,1,2,4,4,0,2,2,1,0,0,1,2,2,0,9
6,2020,Pato Basquete,KTO Caxias do Sul,08/01/2021 14:30,9ª RODADA,1º TURNO,casa,derrota,-15,Kirsten,2.45,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,2020,Pato Basquete,KTO Caxias do Sul,08/01/2021 14:30,9ª RODADA,1º TURNO,casa,derrota,-15,Scheuer,32.2,10,4,23,10,1,2,3,8,1,1,3,4,7,1,1,1,2,1,1,0,8
8,2020,Pato Basquete,KTO Caxias do Sul,08/01/2021 14:30,9ª RODADA,1º TURNO,casa,derrota,-15,Rodrigues,4.55,3,0,4,0,0,0,0,0,3,4,0,1,1,1,0,0,0,2,0,0,2
9,2020,Pato Basquete,KTO Caxias do Sul,08/01/2021 14:30,9ª RODADA,1º TURNO,casa,derrota,-15,Aquiles,16.47,3,1,8,3,1,2,0,1,0,0,0,2,2,1,0,1,4,0,0,0,3
10,2020,Pato Basquete,KTO Caxias do Sul,08/01/2021 14:30,9ª RODADA,1º TURNO,casa,derrota,-15,Augusto,14.46,2,1,14,6,0,2,1,4,0,0,0,1,1,2,1,0,3,0,0,0,6
11,2020,Pato Basquete,KTO Caxias do Sul,08/01/2021 14:30,9ª RODADA,1º TURNO,casa,derrota,-15,Ações coletivas,0.0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,-2
12,2020,Pato Basquete,KTO Caxias do Sul,08/01/2021 14:30,9ª RODADA,1º TURNO,casa,derrota,-15,Equipe,197.0,77,25,169,60,6,21,19,39,21,28,9,24,33,15,4,3,18,23,14,0,76
0,2020,KTO Caxias do Sul,Pato Basquete,08/01/2021 14:30,9ª RODADA,1º TURNO,fora,vitória,15,Adriano Big,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,KTO Caxias do Sul,Pato Basquete,08/01/2021 14:30,9ª RODADA,1º TURNO,fora,vitória,15,Eugeniusz,4.32,3,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,4,2,2,0,3
2,2020,KTO Caxias do Sul,Pato Basquete,08/01/2021 14:30,9ª RODADA,1º TURNO,fora,vitória,15,Da Silva,27.17,16,5,32,11,2,3,3,8,4,7,2,4,6,2,1,0,2,5,2,1,14
3,2020,KTO Caxias do Sul,Pato Basquete,08/01/2021 14:30,9ª RODADA,1º TURNO,fora,vitória,15,Pedro,21.13,5,2,15,6,1,3,1,3,0,0,1,3,4,4,1,0,2,0,3,0,8
4,2020,KTO Caxias do Sul,Pato Basquete,08/01/2021 14:30,9ª RODADA,1º TURNO,fora,vitória,15,Antonio,19.14,4,2,11,5,0,1,2,4,0,0,1,4,5,1,1,0,3,0,1,0,5
5,2020,KTO Caxias do Sul,Pato Basquete,08/01/2021 14:30,9ª RODADA,1º TURNO,fora,vitória,15,Pedro,28.26,16,6,36,14,4,8,2,6,0,0,0,1,1,4,1,0,4,2,1,0,15
6,2020,KTO Caxias do Sul,Pato Basquete,08/01/2021 14:30,9ª RODADA,1º TURNO,fora,vitória,15,Rubinho,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2020,KTO Caxias do Sul,Pato Basquete,08/01/2021 14:30,9ª RODADA,1º TURNO,fora,vitória,15,R. Stabile,3.5,2,1,2,1,0,0,1,1,0,0,0,3,3,1,0,0,1,0,1,0,2
8,2020,KTO Caxias do Sul,Pato Basquete,08/01/2021 14:30,9ª RODADA,1º TURNO,fora,vitória,15,Nico,28.3,11,4,18,7,3,4,1,3,0,0,0,0,0,5,0,0,5,0,1,0,8
