,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2020,Sesi Franca,Mogi,19/11/2020 21:00,2ª RODADA,1º TURNO,casa,vitória,12,Lucas Dias,36.1,28,8,53,18,2,5,6,13,10,12,2,2,4,1,0,0,2,8,0,0,21
1,2020,Sesi Franca,Mogi,19/11/2020 21:00,2ª RODADA,1º TURNO,casa,vitória,12,Elinho,38.2,19,8,25,10,3,5,5,5,0,0,1,4,5,7,0,0,3,3,5,0,14
2,2020,Sesi Franca,Mogi,19/11/2020 21:00,2ª RODADA,1º TURNO,casa,vitória,12,Hubner,24.8,14,6,16,7,1,1,5,6,1,1,4,9,13,3,0,0,1,1,1,1,4
3,2020,Sesi Franca,Mogi,19/11/2020 21:00,2ª RODADA,1º TURNO,casa,vitória,12,Gui Abreu,21.0,11,4,17,6,3,5,1,1,0,0,1,1,2,0,1,0,3,1,0,0,5
4,2020,Sesi Franca,Mogi,19/11/2020 21:00,2ª RODADA,1º TURNO,casa,vitória,12,Fuzaro,26.2,9,3,33,12,0,6,3,6,3,3,0,3,3,3,1,0,2,4,3,0,16
5,2020,Sesi Franca,Mogi,19/11/2020 21:00,2ª RODADA,1º TURNO,casa,vitória,12,Márcio,13.1,7,3,10,4,0,0,3,4,1,2,1,1,2,0,0,2,2,3,3,1,7
6,2020,Sesi Franca,Mogi,19/11/2020 21:00,2ª RODADA,1º TURNO,casa,vitória,12,André Goes,35.3,6,2,23,8,1,6,1,2,1,1,2,3,5,10,2,0,0,2,2,0,8
7,2020,Sesi Franca,Mogi,19/11/2020 21:00,2ª RODADA,1º TURNO,casa,vitória,12,Edu Marília,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020,Sesi Franca,Mogi,19/11/2020 21:00,2ª RODADA,1º TURNO,casa,vitória,12,Léo Abreu,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020,Sesi Franca,Mogi,19/11/2020 21:00,2ª RODADA,1º TURNO,casa,vitória,12,Reynan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2020,Sesi Franca,Mogi,19/11/2020 21:00,2ª RODADA,1º TURNO,casa,vitória,12,Adyel,4.6,0,0,4,2,0,0,0,2,0,0,0,0,0,0,1,0,2,1,1,0,3
11,2020,Sesi Franca,Mogi,19/11/2020 21:00,2ª RODADA,1º TURNO,casa,vitória,12,Nathan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2020,Sesi Franca,Mogi,19/11/2020 21:00,2ª RODADA,1º TURNO,casa,vitória,12,Equipe,200.0,94,34,181,67,10,28,24,39,16,19,12,24,36,24,5,2,15,23,15,2,78
0,2020,Mogi,Sesi Franca,19/11/2020 21:00,2ª RODADA,1º TURNO,fora,derrota,-12,Coleman,38.9,25,9,42,15,7,12,2,3,0,0,0,3,3,0,0,0,3,2,3,0,18
1,2020,Mogi,Sesi Franca,19/11/2020 21:00,2ª RODADA,1º TURNO,fora,derrota,-12,Fabricio,35.3,12,4,28,10,2,6,2,4,2,2,3,5,8,2,2,0,3,2,0,0,8
2,2020,Mogi,Sesi Franca,19/11/2020 21:00,2ª RODADA,1º TURNO,fora,derrota,-12,Wesley,28.7,12,5,29,12,0,3,5,9,2,2,3,3,6,3,1,0,5,3,2,1,12
3,2020,Mogi,Sesi Franca,19/11/2020 21:00,2ª RODADA,1º TURNO,fora,derrota,-12,Kurtz,15.4,8,4,14,7,0,0,4,7,0,0,2,2,4,0,0,0,3,1,3,1,8
4,2020,Mogi,Sesi Franca,19/11/2020 21:00,2ª RODADA,1º TURNO,fora,derrota,-12,Cassiano,23.8,8,3,18,7,2,4,1,3,0,0,1,1,2,8,0,0,3,1,2,0,8
5,2020,Mogi,Sesi Franca,19/11/2020 21:00,2ª RODADA,1º TURNO,fora,derrota,-12,Gruber,17.1,7,2,28,9,0,6,2,3,3,4,1,2,3,0,2,0,4,2,2,0,12
6,2020,Mogi,Sesi Franca,19/11/2020 21:00,2ª RODADA,1º TURNO,fora,derrota,-12,Lessa,28.1,7,3,14,6,1,2,2,4,0,0,2,1,3,3,5,0,0,2,2,0,6
7,2020,Mogi,Sesi Franca,19/11/2020 21:00,2ª RODADA,1º TURNO,fora,derrota,-12,Douglas Santos,10.9,3,1,7,3,1,1,0,2,0,0,0,2,2,0,0,1,3,1,2,0,5
8,2020,Mogi,Sesi Franca,19/11/2020 21:00,2ª RODADA,1º TURNO,fora,derrota,-12,Felipe,0.9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
9,2020,Mogi,Sesi Franca,19/11/2020 21:00,2ª RODADA,1º TURNO,fora,derrota,-12,Gustavo L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2020,Mogi,Sesi Franca,19/11/2020 21:00,2ª RODADA,1º TURNO,fora,derrota,-12,Pedro Silva,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020,Mogi,Sesi Franca,19/11/2020 21:00,2ª RODADA,1º TURNO,fora,derrota,-12,Fúlvio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2020,Mogi,Sesi Franca,19/11/2020 21:00,2ª RODADA,1º TURNO,fora,derrota,-12,Equipe,200.0,82,31,180,69,13,34,18,35,7,8,13,22,35,16,10,1,24,14,17,2,76
