,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,80,66, ,fim_partida,
1,4,00:01,80,66,MIN,RD,Minas
2,4,00:01,80,66,PAU,3_Pts_T,Duso
3,4,00:09,80,66,PAU,RD,Gemerson
4,4,00:09,80,66,MIN,3_Pts_T,Laing
5,4,00:15,80,66,MIN,FR,Laing
6,4,00:15,80,66,PAU,FC,Lucão
7,4,00:17,80,66,PAU,substituicao_entra,Lucão
8,4,00:17,80,66,PAU,substituicao_sai,André
9,4,01:02,80,66,MIN,tempo_tecnico,Minas
10,4,01:02,80,66,PAU,2_Pts_C,Arthur
11,4,01:21,78,66,PAU,RD,Arthur Pecos
12,4,01:21,78,66,MIN,2_Pts_T,Wanderson
13,4,01:22,78,66,PAU,LL_Pts_C,Gemerson
14,4,01:22,77,66,PAU,LL_Pts_C,Gemerson
15,4,01:25,76,66,MIN,substituicao_entra,Bruno Irigoyen
16,4,01:25,76,66,MIN,substituicao_sai,Betinho
17,4,01:25,76,66,PAU,substituicao_entra,Duso
18,4,01:25,76,66,PAU,substituicao_sai,Holloway
19,4,01:25,76,66,MIN,substituicao_entra,Pitico
20,4,01:25,76,66,MIN,substituicao_sai,Elinho
21,4,01:25,76,66,PAU,substituicao_entra,Arthur
22,4,01:25,76,66,PAU,substituicao_sai,Mineiro
23,4,01:25,76,66,PAU,FR,Gemerson
24,4,01:25,76,66,MIN,FC,Wanderson
25,4,01:47,76,66,MIN,3_Pts_C,Betinho
26,4,01:54,76,63,MIN,RD,Betinho
27,4,01:54,76,63,PAU,2_Pts_T,Holloway
28,4,01:54,76,63,PAU,substituicao_entra,Holloway
29,4,01:54,76,63,PAU,substituicao_sai,Dawkins
30,4,02:01,76,63,MIN,substituicao_entra,Wanderson
31,4,02:01,76,63,MIN,substituicao_sai,Douglas Nunes
32,4,02:01,76,63,MIN,substituicao_entra,Adriano
33,4,02:01,76,63,MIN,substituicao_sai,Barbosa
34,4,02:01,76,63,PAU,substituicao_sai,Renato C
35,4,02:01,76,63,PAU,substituicao_entra,Gemerson
36,4,02:01,76,63,PAU,FR,Renato C
37,4,02:01,76,63,MIN,FC,Barbosa
38,4,02:13,76,63,MIN,RD,Laing
39,4,02:13,76,63,PAU,2_Pts_T,Dawkins
40,4,02:15,76,63,PAU,substituicao_entra,Dawkins
41,4,02:15,76,63,PAU,substituicao_sai,Pedro
42,4,03:11,76,63,MIN,2_Pts_C,Betinho
43,4,03:25,76,61,PAU,EN,Mineiro
44,4,03:25,74,61,PAU,AS,André
45,4,03:50,74,61,PAU,RD,Mineiro
46,4,03:50,74,61,MIN,2_Pts_T,Elinho
47,4,03:53,74,61,MIN,substituicao_entra,Elinho
48,4,03:53,74,61,MIN,substituicao_sai,Coelho
49,4,04:02,74,61,MIN,2_Pts_C,Coelho
50,4,04:13,74,59,MIN,substituicao_entra,Laing
51,4,04:13,74,59,MIN,substituicao_sai,Siqueira
52,4,04:13,74,59,PAU,substituicao_entra,Renato C
53,4,04:13,74,59,PAU,substituicao_entra,Arthur Pecos
54,4,04:13,74,59,PAU,substituicao_entra,Pedro
55,4,04:13,74,59,PAU,substituicao_sai,César
56,4,04:13,74,59,PAU,substituicao_sai,Dawkins
57,4,04:13,74,59,PAU,substituicao_sai,Holloway
58,4,04:13,74,59,PAU,ER,
59,4,04:13,74,59,PAU,RO,Mineiro
60,4,04:13,74,59,PAU,2_Pts_T,Dawkins
61,4,04:38,74,59,PAU,RD,Mineiro
62,4,04:38,74,59,MIN,2_Pts_T,Coelho
63,4,04:50,74,59,MIN,RD,Barbosa
64,4,04:50,74,59,PAU,3_Pts_T,César
65,4,05:08,74,59,PAU,RD,André
66,4,05:08,74,59,MIN,3_Pts_T,Douglas Nunes
67,4,05:24,74,59,MIN,RD,Minas
68,4,05:24,74,59,PAU,3_Pts_T,César
69,4,05:40,74,59,PAU,BR,Holloway
70,4,05:40,74,59,MIN,ER,Siqueira
71,4,06:06,74,59,PAU,3_Pts_C,César
72,4,06:06,71,59,PAU,AS,Dawkins
73,4,06:20,71,59,PAU,substituicao_entra,Mineiro
74,4,06:20,71,59,PAU,substituicao_sai,Renato C
75,4,06:20,71,59,PAU,tempo_tecnico,Paulistano
76,4,06:20,71,59,MIN,2_Pts_C,Barbosa
77,4,06:20,71,57,MIN,AS,Coelho
78,4,06:45,71,57,MIN,BR,Minas
79,4,06:45,71,57,PAU,ER,André
80,4,06:56,71,57,MIN,LL_Pts_C,Siqueira
81,4,06:56,71,56,MIN,substituicao_sai,Wanderson
82,4,06:56,71,56,MIN,substituicao_entra,Barbosa
83,4,06:56,71,56,MIN,2_Pts_C,Siqueira
84,4,06:56,71,54,MIN,FR,Siqueira
85,4,06:56,71,54,PAU,FC,André
86,4,07:07,71,54,MIN,substituicao_entra,Coelho
87,4,07:07,71,54,MIN,substituicao_sai,Elinho
88,4,07:12,71,54,MIN,RD,Minas
89,4,07:12,71,54,PAU,3_Pts_T,Renato C
90,4,07:22,71,54,PAU,BR,Dawkins
91,4,07:22,71,54,MIN,ER,Elinho
92,4,07:39,71,54,MIN,RD,Betinho
93,4,07:39,71,54,PAU,2_Pts_T,Dawkins
94,4,08:03,71,54,MIN,LL_Pts_C,Douglas Nunes
95,4,08:03,71,53,MIN,2_Pts_C,Douglas Nunes
96,4,08:03,71,51,MIN,FR,Douglas Nunes
97,4,08:03,71,51,PAU,FC,César
98,4,08:13,71,51,PAU,EN,Holloway
99,4,08:17,69,51,PAU,BR,Holloway
100,4,08:17,69,51,MIN,ER,Elinho
101,4,08:27,69,51,PAU,LL_Pts_C,Holloway
102,4,08:27,68,51,PAU,substituicao_entra,André
103,4,08:27,68,51,PAU,substituicao_sai,Pedro
104,4,08:27,68,51,MIN,tempo_tecnico,Minas
105,4,08:27,68,51,PAU,2_Pts_C,Holloway
106,4,08:27,66,51,PAU,FR,Holloway
107,4,08:27,66,51,MIN,FC,Wanderson
108,4,08:43,66,51,PAU,BR,César
109,4,08:43,66,51,MIN,ER,Elinho
110,4,08:49,66,51,MIN,RD,Wanderson
111,4,08:49,66,51,PAU,LL_Pts_T,Renato C
112,4,08:49,66,51,PAU,FR,Renato C
113,4,08:49,66,51,MIN,FC,Betinho
114,4,08:49,66,51,PAU,EN,Renato C
115,4,08:49,64,51,PAU,AS,Dawkins
116,4,09:06,64,51,MIN,substituicao_entra,Betinho
117,4,09:06,64,51,MIN,substituicao_sai,Laing
118,4,09:08,64,51,PAU,FR,Pedro
119,4,09:08,64,51,MIN,FC,Laing
120,4,09:08,64,51,PAU,BR,Pedro
121,4,09:08,64,51,MIN,ER,Laing
122,4,09:15,64,51,MIN,substituicao_entra,Elinho
123,4,09:15,64,51,MIN,substituicao_sai,Coelho
124,4,09:15,64,51,MIN,substituicao_entra,Douglas Nunes
125,4,09:15,64,51,MIN,substituicao_sai,Adriano
126,4,09:15,64,51,MIN,FR,Wanderson
127,4,09:15,64,51,PAU,FC,César
128,4,09:35,64,51,PAU,3_Pts_C,César
129,4,09:35,61,51,PAU,AS,Dawkins
130,4,09:37,61,51,PAU,RO,Paulistano
131,4,09:37,61,51,MIN,TO,Siqueira
132,4,09:37,61,51,PAU,2_Pts_T,Holloway
133,4,09:43,61,51,PAU,BR,Holloway
134,4,09:43,61,51,MIN,ER,Laing
135,4,09:52,61,51,PAU,LL_Pts_C,César
136,4,09:52,60,51,PAU,2_Pts_C,César
137,4,09:52,58,51,PAU,FR,César
138,4,09:52,58,51,MIN,FC,Adriano
139,4,10:00,58,51,MIN,substituicao_entra,Siqueira
140,4,10:00,58,51,MIN,substituicao_entra,Adriano
141,4,10:00,58,51,MIN,substituicao_entra,Wanderson
142,4,10:00,58,51,MIN,substituicao_entra,Laing
143,4,10:00,58,51,MIN,substituicao_entra,Coelho
144,4,10:00,58,51,PAU,substituicao_entra,César
145,4,10:00,58,51,PAU,substituicao_entra,Dawkins
146,4,10:00,58,51,PAU,substituicao_entra,Holloway
147,4,10:00,58,51,PAU,substituicao_entra,Renato C
148,4,10:00,58,51,PAU,substituicao_entra,Pedro
149,3,00:00,58,51, ,fim_quarto,
150,3,00:03,58,51,PAU,RO,Mineiro
151,3,00:03,58,51,PAU,2_Pts_T,César
152,3,00:07,58,51,PAU,substituicao_sai,Holloway
153,3,00:07,58,51,PAU,substituicao_entra,César
154,3,00:07,58,51,PAU,substituicao_entra,Mineiro
155,3,00:07,58,51,PAU,substituicao_sai,César
156,3,00:07,58,51,PAU,substituicao_entra,Pedro
157,3,00:07,58,51,PAU,substituicao_sai,Renato C
158,3,00:07,58,51,MIN,substituicao_entra,Pitico
159,3,00:07,58,51,MIN,substituicao_sai,Adriano
160,3,00:07,58,51,MIN,substituicao_entra,Coelho
161,3,00:07,58,51,MIN,substituicao_sai,Elinho
162,3,00:07,58,51,PAU,FR,Dawkins
163,3,00:07,58,51,MIN,FC,Siqueira
164,3,00:20,58,51,MIN,2_Pts_C,Adriano
165,3,00:20,58,49,MIN,AS,Siqueira
166,3,00:40,58,49,MIN,RD,Adriano
167,3,00:40,58,49,PAU,2_Pts_T,Renato C
168,3,01:00,58,49,MIN,FR,Siqueira
169,3,01:00,58,49,PAU,FC,Dawkins
170,3,01:04,58,49,MIN,3_Pts_C,Elinho
171,3,01:04,58,46,MIN,AS,Wanderson
172,3,01:28,58,46,PAU,2_Pts_C,Holloway
173,3,01:33,56,46,PAU,substituicao_entra,André
174,3,01:33,56,46,PAU,substituicao_sai,Arthur Pecos
175,3,01:33,56,46,PAU,RO,Paulistano
176,3,01:33,56,46,MIN,TO,Adriano
177,3,01:33,56,46,PAU,2_Pts_T,Arthur Pecos
178,3,01:50,56,46,MIN,2_Pts_C,Elinho
179,3,02:05,56,44,PAU,LL_Pts_C,Holloway
180,3,02:05,55,44,PAU,LL_Pts_C,Holloway
181,3,02:05,54,44,MIN,substituicao_sai,Betinho
182,3,02:05,54,44,MIN,substituicao_entra,Laing
183,3,02:05,54,44,PAU,substituicao_sai,Mineiro
184,3,02:05,54,44,PAU,substituicao_entra,Renato C
185,3,02:05,54,44,PAU,FR,Holloway
186,3,02:05,54,44,MIN,FC,Betinho
187,3,02:11,54,44,PAU,RD,Arthur Pecos
188,3,02:11,54,44,MIN,3_Pts_T,Elinho
189,3,02:31,54,44,PAU,2_Pts_C,César
190,3,02:40,52,44,MIN,substituicao_sai,Douglas Nunes
191,3,02:40,52,44,MIN,substituicao_entra,Wanderson
192,3,02:40,52,44,PAU,FR,Dawkins
193,3,02:40,52,44,MIN,FC,Siqueira
194,3,02:46,52,44,PAU,RD,Holloway
195,3,02:46,52,44,MIN,2_Pts_T,Douglas Nunes
196,3,03:01,52,44,PAU,EN,Mineiro
197,3,03:01,50,44,PAU,AS,Arthur Pecos
198,3,03:07,50,44,PAU,BR,Holloway
199,3,03:07,50,44,MIN,ER,Betinho
200,3,03:24,50,44,PAU,2_Pts_C,Arthur Pecos
201,3,03:47,48,44,MIN,substituicao_sai,George
202,3,03:47,48,44,MIN,substituicao_entra,Adriano
203,3,03:50,48,44,PAU,RD,Paulistano
204,3,03:50,48,44,MIN,2_Pts_T,George
205,3,04:13,48,44,MIN,RD,Douglas Nunes
206,3,04:13,48,44,PAU,2_Pts_T,Mineiro
207,3,04:31,48,44,MIN,3_Pts_C,Betinho
208,3,04:31,48,41,MIN,AS,Elinho
209,3,04:42,48,41,PAU,EN,Holloway
210,3,04:48,46,41,PAU,BR,Holloway
211,3,04:48,46,41,MIN,ER,Douglas Nunes
212,3,04:53,46,41,MIN,tempo_tecnico,Minas
213,3,04:53,46,41,PAU,substituicao_entra,César
214,3,04:53,46,41,PAU,substituicao_sai,Renato C
215,3,04:53,46,41,MIN,BR,Minas
216,3,04:53,46,41,PAU,ER,Holloway
217,3,04:58,46,41,PAU,RD,Holloway
218,3,04:58,46,41,MIN,2_Pts_T,George
219,3,05:15,46,41,PAU,2_Pts_C,Holloway
220,3,05:21,44,41,PAU,RO,Holloway
221,3,05:21,44,41,PAU,3_Pts_T,Renato C
222,3,05:28,44,41,PAU,RO,Paulistano
223,3,05:28,44,41,PAU,3_Pts_T,Renato C
224,3,05:44,44,41,MIN,2_Pts_C,Betinho
225,3,06:03,44,39,MIN,RD,George
226,3,06:03,44,39,PAU,LL_Pts_T,Mineiro
227,3,06:03,44,39,PAU,LL_Pts_C,Mineiro
228,3,06:03,43,39,PAU,FR,Mineiro
229,3,06:03,43,39,MIN,FC,Douglas Nunes
230,3,06:20,43,39,MIN,LL_Pts_C,Siqueira
231,3,06:20,43,38,MIN,LL_Pts_C,Siqueira
232,3,06:20,43,37,MIN,FR,Siqueira
233,3,06:20,43,37,PAU,FC,Arthur Pecos
234,3,06:25,43,37,MIN,substituicao_entra,Betinho
235,3,06:25,43,37,MIN,substituicao_sai,Coelho
236,3,06:40,43,37,PAU,2_Pts_C,Arthur Pecos
237,3,06:40,41,37,PAU,AS,Mineiro
238,3,06:45,41,37,PAU,substituicao_sai,André
239,3,06:45,41,37,PAU,substituicao_entra,Arthur Pecos
240,3,06:45,41,37,PAU,substituicao_entra,Mineiro
241,3,06:45,41,37,PAU,substituicao_sai,Pedro
242,3,06:45,41,37,PAU,substituicao_entra,Pedro
243,3,06:45,41,37,PAU,substituicao_sai,César
244,3,06:52,41,37,PAU,BR,Holloway
245,3,06:52,41,37,MIN,ER,Coelho
246,3,07:05,41,37,MIN,BR,Douglas Nunes
247,3,07:05,41,37,PAU,ER,Renato C
248,3,07:12,41,37,PAU,LL_Pts_C,Dawkins
249,3,07:12,40,37,PAU,LL_Pts_C,Dawkins
250,3,07:15,39,37,MIN,FC_T,Banco do Minas
251,3,07:45,39,37,MIN,2_Pts_C,Coelho
252,3,07:51,39,35,MIN,2_Pts_C,Elinho
253,3,07:51,39,33,MIN,RO,Minas
254,3,07:51,39,33,PAU,TO,Renato C
