,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,80,58, ,fim_partida,
1,4,00:00,80,58,PAU,BR,Paulistano
2,4,00:00,80,58,FLA,RD,Olivinha
3,4,00:00,80,58,FLA,substituicao_entra,Meyinsse
4,4,00:00,80,58,FLA,substituicao_sai,Felicio
5,4,00:00,80,58,FLA,substituicao_entra,Olivinha
6,4,00:00,80,58,FLA,substituicao_sai,Leo
7,4,00:00,80,58,FLA,BR,Flamengo
8,4,00:00,80,58,PAU,substituicao_entra,Renato C
9,4,00:00,80,58,PAU,substituicao_sai,Arthur
10,4,00:00,80,58,PAU,substituicao_entra,Arthur Pecos
11,4,00:00,80,58,PAU,substituicao_sai,Mineiro
12,4,00:00,80,58,PAU,substituicao_entra,Arthur
13,4,00:00,80,58,PAU,substituicao_sai,Renato C
14,4,00:00,80,58,PAU,substituicao_entra,Pedro
15,4,00:00,80,58,PAU,substituicao_sai,Gemerson
16,4,00:00,80,58,PAU,substituicao_entra,Renato C
17,4,00:00,80,58,PAU,substituicao_sai,Arthur Pecos
18,4,00:00,80,58,PAU,substituicao_entra,César
19,4,00:00,80,58,PAU,substituicao_sai,Holloway
20,4,00:00,80,58,PAU,substituicao_entra,Gemerson
21,4,00:00,80,58,PAU,substituicao_sai,Pedro
22,4,00:00,80,58,PAU,2_Pts_T,Mineiro
23,4,00:00,80,58,FLA,substituicao_entra,Laprovittola
24,4,00:00,80,58,FLA,substituicao_sai,Diego Marques
25,4,00:00,80,58,PAU,BR,André
26,4,00:00,80,58,FLA,ER,Diego Marques
27,4,00:00,80,58,PAU,2_Pts_C,Mineiro
28,4,00:00,80,56,PAU,AS,André
29,4,00:00,80,56,PAU,substituicao_entra,Mineiro
30,4,00:00,80,56,PAU,substituicao_sai,Duso
31,4,00:00,80,56,PAU,RD,André
32,4,00:00,80,56,PAU,substituicao_entra,André
33,4,00:00,80,56,PAU,substituicao_sai,Gemerson
34,4,00:00,80,56,PAU,2_Pts_T,Holloway
35,4,00:00,80,56,PAU,substituicao_entra,Holloway
36,4,00:00,80,56,PAU,substituicao_sai,Arthur
37,4,00:00,80,56,PAU,RD,Pedro
38,4,00:00,80,56,FLA,2_Pts_T,Diego Marques
39,4,00:20,80,56,PAU,2_Pts_C,Arthur Pecos
40,4,00:20,80,54,PAU,AS,Arthur
41,4,00:28,80,54,FLA,,
42,4,00:31,80,54,FLA,FR,Douglas
43,4,00:31,80,54,PAU,FC,Gemerson
44,4,00:39,80,54,PAU,FR,Arthur
45,4,00:39,80,54,FLA,FC,Douglas
46,4,00:44,80,54,FLA,RD,Douglas
47,4,00:44,80,54,PAU,LL_Pts_T,Arthur
48,4,00:44,80,54,PAU,LL_Pts_C,Arthur
49,4,00:47,80,53,PAU,RD,Arthur
50,4,00:47,80,53,FLA,3_Pts_T,Gegê
51,4,01:04,80,53,FLA,RD,Diego Marques
52,4,01:04,80,53,PAU,2_Pts_T,Arthur Pecos
53,4,01:13,80,53,PAU,RO,Paulistano
54,4,01:13,80,53,PAU,2_Pts_T,Gemerson
55,4,01:26,80,53,PAU,RD,Pedro
56,4,01:26,80,53,FLA,3_Pts_T,Leo
57,4,01:50,80,53,PAU,3_Pts_C,Duso
58,4,01:50,80,50,PAU,AS,Arthur Pecos
59,4,02:08,80,50,FLA,substituicao_entra,Leo
60,4,02:08,80,50,FLA,substituicao_sai,Marcelinho
61,4,02:13,80,50,PAU,RD,Gemerson
62,4,02:13,80,50,FLA,3_Pts_T,Diego Marques
63,4,02:33,80,50,FLA,RD,Douglas
64,4,02:33,80,50,PAU,LL_Pts_T,Gemerson
65,4,02:33,80,50,PAU,LL_Pts_T,Gemerson
66,4,02:33,80,50,PAU,FR,Gemerson
67,4,02:33,80,50,FLA,FC,Felicio
68,4,02:52,80,50,PAU,RD,Arthur
69,4,02:52,80,50,FLA,3_Pts_T,Marcelinho
70,4,02:52,80,50,FLA,substituicao_entra,Douglas
71,4,02:52,80,50,FLA,substituicao_sai,Olivinha
72,4,02:52,80,50,PAU,LL_Pts_C,Arthur Pecos
73,4,02:52,80,49,PAU,LL_Pts_C,Arthur Pecos
74,4,02:52,80,48,PAU,FR,Arthur Pecos
75,4,02:52,80,48,FLA,FC,Diego Marques
76,4,03:06,80,48,FLA,2_Pts_C,Olivinha
77,4,03:06,78,48,FLA,AS,Diego Marques
78,4,03:29,78,48,FLA,RD,Flamengo
79,4,03:29,78,48,PAU,3_Pts_T,Pedro
80,4,03:51,78,48,FLA,substituicao_entra,Gegê
81,4,03:51,78,48,FLA,substituicao_sai,Laprovittola
82,4,03:51,78,48,PAU,tempo_tecnico,Paulistano
83,4,03:51,78,48,FLA,2_Pts_C,Olivinha
84,4,04:04,76,48,FLA,RD,Laprovittola
85,4,04:04,76,48,PAU,3_Pts_T,Pedro
86,4,04:24,76,48,FLA,3_Pts_C,Marcelinho
87,4,04:24,73,48,FLA,AS,Laprovittola
88,4,04:39,73,48,FLA,RD,Olivinha
89,4,04:39,73,48,PAU,3_Pts_T,Duso
90,4,04:50,73,48,PAU,RD,Arthur
91,4,04:50,73,48,FLA,3_Pts_T,Laprovittola
92,4,05:09,73,48,PAU,2_Pts_C,Duso
93,4,05:09,73,46,PAU,AS,Arthur Pecos
94,4,05:14,73,46,PAU,RD,Arthur Pecos
95,4,05:14,73,46,FLA,3_Pts_T,Olivinha
96,4,05:26,73,46,FLA,BR,Laprovittola
97,4,05:26,73,46,PAU,ER,Arthur
98,4,05:45,73,46,PAU,BR,Paulistano
99,4,05:45,73,46,FLA,ER,Olivinha
100,4,05:52,73,46,FLA,RD,Felicio
101,4,05:52,73,46,PAU,3_Pts_T,Arthur Pecos
102,4,06:05,73,46,PAU,FR,Arthur
103,4,06:05,73,46,FLA,FC,Felicio
104,4,06:05,73,46,PAU,RD,Arthur
105,4,06:05,73,46,FLA,2_Pts_T,Felicio
106,4,06:15,73,46,PAU,2_Pts_C,Duso
107,4,06:15,73,44,PAU,AS,Arthur Pecos
108,4,06:41,73,44,FLA,2_Pts_C,Laprovittola
109,4,07:01,71,44,FLA,RO,Laprovittola
110,4,07:01,71,44,FLA,2_Pts_T,Diego Marques
111,4,07:09,71,44,FLA,RD,Felicio
112,4,07:09,71,44,PAU,2_Pts_T,Arthur
113,4,07:14,71,44,FLA,substituicao_entra,Olivinha
114,4,07:14,71,44,FLA,substituicao_sai,Meyinsse
115,4,07:14,71,44,PAU,FR,Arthur Pecos
116,4,07:14,71,44,FLA,FC,Laprovittola
117,4,07:26,71,44,PAU,FR,Arthur
118,4,07:26,71,44,FLA,FC_O,Meyinsse
119,4,07:45,71,44,PAU,3_Pts_C,Arthur Pecos
120,4,07:45,71,41,PAU,AS,Duso
121,4,07:52,71,41,PAU,FR,Duso
122,4,07:52,71,41,FLA,FC,Diego Marques
123,4,08:09,71,41,FLA,substituicao_entra,Diego Marques
124,4,08:09,71,41,FLA,substituicao_sai,Gegê
125,4,08:09,71,41,PAU,tempo_tecnico,Paulistano
126,4,08:09,71,41,FLA,2_Pts_C,Laprovittola
127,4,08:17,69,41,FLA,RD,Felicio
128,4,08:17,69,41,PAU,2_Pts_T,Arthur Pecos
129,4,08:40,69,41,FLA,3_Pts_C,Marcelinho
130,4,08:40,66,41,FLA,AS,Laprovittola
131,4,08:53,66,41,FLA,RD,Felicio
132,4,08:53,66,41,FLA,TO,Meyinsse
133,4,08:53,66,41,PAU,2_Pts_T,Pedro
134,4,09:12,66,41,PAU,RO,Paulistano
135,4,09:12,66,41,PAU,3_Pts_T,Pedro
136,4,09:22,66,41,PAU,RD,Arthur
137,4,09:22,66,41,PAU,TO,Arthur
138,4,09:22,66,41,FLA,2_Pts_T,Marcelinho
139,4,09:33,66,41,FLA,LL_Pts_C,Marcelinho
140,4,09:33,65,41,FLA,LL_Pts_C,Marcelinho
141,4,09:33,64,41,PAU,FC_T,Paulistano
142,4,09:45,64,41,PAU,RD,Arthur Pecos
143,4,09:45,64,41,FLA,3_Pts_T,Marcelinho
144,3,00:00,64,41, ,fim_quarto,
145,3,00:00,64,41,FLA,RD,Meyinsse
146,3,00:00,64,41,PAU,LL_Pts_T,Duso
147,3,00:00,64,41,PAU,LL_Pts_C,Duso
148,3,00:00,64,40,PAU,FR,Duso
149,3,00:00,64,40,FLA,FC,Gegê
150,3,00:03,64,40,FLA,2_Pts_C,Meyinsse
151,3,00:20,62,40,FLA,LL_Pts_C,Marcelinho
152,3,00:20,61,40,FLA,LL_Pts_C,Marcelinho
153,3,00:20,60,40,PAU,FC_T,Pedro
154,3,00:20,60,40,FLA,LL_Pts_C,Marcelinho
155,3,00:20,59,40,FLA,LL_Pts_T,Marcelinho
156,3,00:20,59,40,PAU,FR,César
157,3,00:20,59,40,FLA,FC,Shilton
158,3,00:20,59,40,PAU,FC_T,César
159,3,00:26,59,40,PAU,RO,César
160,3,00:26,59,40,PAU,3_Pts_T,Gemerson
161,3,00:45,59,40,PAU,BR,Paulistano
162,3,00:45,59,40,FLA,ER,Gegê
163,3,00:50,59,40,FLA,RD,Meyinsse
164,3,00:50,59,40,PAU,2_Pts_T,Pedro
165,3,00:55,59,40,PAU,RO,Pedro
166,3,00:55,59,40,PAU,2_Pts_T,Gemerson
167,3,01:10,59,40,FLA,LL_Pts_C,Gegê
168,3,01:10,58,40,FLA,LL_Pts_C,Gegê
169,3,01:10,57,40,FLA,FR,Gegê
170,3,01:10,57,40,PAU,FC,Duso
171,3,01:19,57,40,PAU,3_Pts_C,César
172,3,01:30,57,37,PAU,tempo_tecnico,Paulistano
173,3,01:30,57,37,FLA,2_Pts_C,Meyinsse
174,3,01:35,55,37,FLA,BR,Shilton
175,3,01:35,55,37,PAU,ER,Gemerson
176,3,01:43,55,37,FLA,2_Pts_C,Meyinsse
177,3,02:04,53,37,FLA,RD,Marcelinho
178,3,02:04,53,37,PAU,2_Pts_T,Pedro
179,3,02:28,53,37,FLA,2_Pts_C,Marcelinho
180,3,02:35,51,37,PAU,substituicao_entra,Duso
181,3,02:35,51,37,PAU,substituicao_sai,Arthur Pecos
182,3,02:37,51,37,FLA,BR,Flamengo
183,3,02:37,51,37,PAU,ER,Arthur Pecos
184,3,02:46,51,37,FLA,2_Pts_C,Marcelinho
185,3,02:52,49,37,FLA,substituicao_entra,Marcelinho
186,3,02:54,49,37,FLA,substituicao_sai,Olivinha
187,3,03:03,49,37,PAU,substituicao_entra,Pedro
188,3,03:03,49,37,PAU,substituicao_sai,Duso
189,3,03:03,49,37,FLA,tempo_tecnico,Flamengo
190,3,03:03,49,37,PAU,2_Pts_C,César
191,3,03:11,49,35,PAU,FR,Duso
192,3,03:11,49,35,FLA,FC,Gegê
193,3,03:24,49,35,PAU,substituicao_entra,Duso
194,3,03:24,49,35,PAU,substituicao_sai,Pedro
195,3,03:24,49,35,PAU,BR,Paulistano
196,3,03:24,49,35,FLA,ER,Gegê
197,3,03:29,49,35,FLA,RD,Meyinsse
198,3,03:29,49,35,PAU,2_Pts_T,Mineiro
199,3,03:45,49,35,PAU,RD,César
200,3,03:45,49,35,FLA,2_Pts_T,Laprovittola
201,3,04:04,49,35,PAU,2_Pts_C,Pedro
202,3,04:10,49,33,PAU,BR,César
203,3,04:10,49,33,FLA,ER,Olivinha
204,3,04:25,49,33,PAU,LL_Pts_C,César
205,3,04:25,49,32,PAU,LL_Pts_T,César
206,3,04:25,49,32,PAU,FR,César
207,3,04:25,49,32,FLA,FC,Laprovittola
208,3,04:38,49,32,PAU,BR,César
209,3,04:38,49,32,FLA,ER,Meyinsse
210,3,04:54,49,32,FLA,FR,Laprovittola
211,3,04:54,49,32,PAU,FC_O,Pedro
212,3,05:06,49,32,PAU,RD,Paulistano
213,3,05:06,49,32,FLA,2_Pts_T,Meyinsse
214,3,05:12,49,32,FLA,RO,Meyinsse
215,3,05:12,49,32,FLA,2_Pts_T,Olivinha
216,3,05:33,49,32,FLA,BR,Flamengo
217,3,05:33,49,32,PAU,ER,Gemerson
218,3,05:51,49,32,FLA,LL_Pts_C,Olivinha
219,3,05:51,48,32,FLA,LL_Pts_C,Olivinha
220,3,05:51,47,32,FLA,FR,Olivinha
221,3,05:51,47,32,PAU,FC,Pedro
222,3,06:04,47,32,FLA,FR,Meyinsse
223,3,06:04,47,32,PAU,FC,César
224,3,06:12,47,32,PAU,LL_Pts_C,Pedro
225,3,06:12,47,31,PAU,LL_Pts_C,Pedro
226,3,06:12,47,30,FLA,FC_T,Flamengo
227,3,06:20,47,30,FLA,2_Pts_C,Shilton
228,3,06:43,45,30,PAU,2_Pts_C,Arthur Pecos
229,3,07:00,45,28,PAU,BR,Paulistano
230,3,07:00,45,28,FLA,ER,Olivinha
231,3,07:13,45,28,PAU,2_Pts_C,Arthur Pecos
232,3,07:19,45,26,PAU,RD,Mineiro
233,3,07:19,45,26,FLA,3_Pts_T,Laprovittola
234,3,07:25,45,26,FLA,BR,Laprovittola
235,3,07:25,45,26,PAU,ER,Arthur Pecos
236,3,07:37,45,26,PAU,FR,César
237,3,07:37,45,26,FLA,FC,Meyinsse
238,3,07:37,45,26,PAU,RD,César
239,3,07:37,45,26,FLA,3_Pts_T,Gegê
240,3,07:54,45,26,FLA,FR,Meyinsse
241,3,07:54,45,26,PAU,FC,Gemerson
242,3,08:02,45,26,FLA,RD,Meyinsse
243,3,08:02,45,26,PAU,3_Pts_T,César
244,3,08:17,45,26,PAU,RO,Arthur Pecos
245,3,08:17,45,26,PAU,2_Pts_T,Pedro
246,3,08:25,45,26,PAU,RO,César
247,3,08:25,45,26,PAU,3_Pts_T,Gemerson
248,3,08:54,45,26,FLA,2_Pts_C,Meyinsse
249,3,08:54,43,26,FLA,AS,Olivinha
250,3,09:12,43,26,PAU,3_Pts_C,César
251,3,09:12,43,23,PAU,AS,Gemerson
252,3,10:00,43,23,PAU,RD,Mineiro
