,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,95,93, ,fim_partida,
1,4,00:01,95,93,PAU,RD,Pedro
2,4,00:01,95,93,GOI,LL_Pts_T,Taboada
3,4,00:01,95,93,GOI,LL_Pts_C,Taboada
4,4,00:01,95,92,GOI,substituicao_sai,Fábio
5,4,00:01,95,92,GOI,substituicao_entra,André Luiz
6,4,00:01,95,92,PAU,substituicao_sai,André
7,4,00:01,95,92,PAU,substituicao_entra,Mineiro
8,4,00:01,95,92,GOI,FR,Taboada
9,4,00:01,95,92,PAU,FC,Pilar
10,4,00:03,95,92,GOI,RD,Taboada
11,4,00:03,95,92,PAU,LL_Pts_T,Holloway
12,4,00:03,95,92,PAU,LL_Pts_C,Holloway
13,4,00:03,94,92,PAU,substituicao_entra,André
14,4,00:03,94,92,PAU,substituicao_sai,César
15,4,00:03,94,92,GOI,substituicao_sai,Adyb
16,4,00:03,94,92,GOI,substituicao_entra,Lacerda
17,4,00:03,94,92,PAU,FR,Holloway
18,4,00:03,94,92,GOI,FC,Taboada
19,4,00:04,94,92,GOI,substituicao_entra,Adyb
20,4,00:04,94,92,GOI,substituicao_sai,Lacerda
21,4,00:04,94,92,PAU,tempo_tecnico,Paulistano
22,4,00:04,94,92,GOI,3_Pts_C,Taboada
23,4,00:12,94,89,PAU,substituicao_sai,André
24,4,00:12,94,89,PAU,substituicao_entra,César
25,4,00:12,94,89,PAU,LL_Pts_C,Pilar
26,4,00:12,93,89,PAU,LL_Pts_C,Pilar
27,4,00:12,92,89,PAU,FR,Pilar
28,4,00:12,92,89,GOI,FC,Rafinha
29,4,00:13,92,89,GOI,substituicao_sai,André Luiz
30,4,00:13,92,89,GOI,substituicao_entra,Fábio
31,4,00:13,92,89,PAU,substituicao_sai,César
32,4,00:13,92,89,PAU,substituicao_entra,André
33,4,00:13,92,89,GOI,LL_Pts_C,Taboada
34,4,00:13,92,88,GOI,LL_Pts_C,Taboada
35,4,00:13,92,87,GOI,FR,Taboada
36,4,00:13,92,87,PAU,FC,Pilar
37,4,00:19,92,87,GOI,substituicao_entra,André Luiz
38,4,00:19,92,87,GOI,substituicao_sai,Fábio
39,4,00:19,92,87,GOI,tempo_tecnico,Goiânia
40,4,00:19,92,87,PAU,LL_Pts_C,Pilar
41,4,00:19,91,87,PAU,LL_Pts_C,Pilar
42,4,00:19,90,87,PAU,FR,Pilar
43,4,00:19,90,87,GOI,FC,F Penna
44,4,00:28,90,87,GOI,LL_Pts_C,Taboada
45,4,00:28,90,86,GOI,LL_Pts_C,Taboada
46,4,00:28,90,85,GOI,FR,Taboada
47,4,00:28,90,85,PAU,FC,César
48,4,00:28,90,85,PAU,LL_Pts_T,Dawkins
49,4,00:28,90,85,PAU,LL_Pts_T,Dawkins
50,4,00:28,90,85,GOI,substituicao_sai,Diego
51,4,00:28,90,85,GOI,substituicao_entra,Fábio
52,4,00:28,90,85,PAU,FR,Dawkins
53,4,00:28,90,85,GOI,FC,Diego
54,4,00:44,90,85,GOI,substituicao_entra,F Penna
55,4,00:44,90,85,GOI,substituicao_sai,Fernando Mineiro
56,4,00:44,90,85,PAU,FR,César
57,4,00:44,90,85,GOI,FC,Fernando Mineiro
58,4,00:44,90,85,PAU,RD,César
59,4,00:44,90,85,GOI,2_Pts_T,Fernando Mineiro
60,4,00:47,90,85,GOI,RO,Fernando Mineiro
61,4,00:47,90,85,GOI,2_Pts_T,Diego
62,4,00:55,90,85,GOI,tempo_tecnico,Goiânia
63,4,00:55,90,85,PAU,ER,Holloway
64,4,01:10,90,85,PAU,RD,Pilar
65,4,01:10,90,85,GOI,LL_Pts_T,Lacerda
66,4,01:10,90,85,GOI,LL_Pts_C,Lacerda
67,4,01:10,90,84,GOI,substituicao_sai,F Penna
68,4,01:10,90,84,GOI,substituicao_entra,Rafinha
69,4,01:10,90,84,GOI,FR,Lacerda
70,4,01:10,90,84,PAU,FC,César
71,4,01:29,90,84,GOI,substituicao_entra,Fernando Mineiro
72,4,01:29,90,84,GOI,substituicao_entra,Diego
73,4,01:29,90,84,GOI,substituicao_sai,Fábio
74,4,01:29,90,84,GOI,substituicao_sai,Rafinha
75,4,01:31,90,84,GOI,FR,Taboada
76,4,01:31,90,84,PAU,FC,Pedro
77,4,01:37,90,84,GOI,RD,Lacerda
78,4,01:37,90,84,PAU,3_Pts_T,Pedro
79,4,01:57,90,84,PAU,LL_Pts_C,Pedro
80,4,01:57,89,84,PAU,LL_Pts_C,Pedro
81,4,01:57,88,84,GOI,FC_T,Goiânia
82,4,02:04,88,84,PAU,RD,César
83,4,02:04,88,84,GOI,2_Pts_T,Taboada
84,4,02:31,88,84,PAU,3_Pts_C,Dawkins
85,4,02:41,85,84,GOI,substituicao_sai,Diego
86,4,02:41,85,84,GOI,substituicao_entra,F Penna
87,4,02:51,85,84,GOI,2_Pts_C,Lacerda
88,4,02:51,85,82,GOI,AS,Rafinha
89,4,02:57,85,82,GOI,RO,Rafinha
90,4,02:57,85,82,GOI,3_Pts_T,Taboada
91,4,03:03,85,82,GOI,RD,Rafinha
92,4,03:03,85,82,GOI,TO,Lacerda
93,4,03:03,85,82,PAU,2_Pts_T,César
94,4,03:26,85,82,PAU,BR,César
95,4,03:26,85,82,GOI,ER,Taboada
96,4,03:40,85,82,PAU,2_Pts_C,César
97,4,03:44,83,82,PAU,RO,César
98,4,03:44,83,82,PAU,2_Pts_T,Pedro
99,4,04:06,83,82,GOI,substituicao_sai,Fernando Mineiro
100,4,04:06,83,82,GOI,substituicao_entra,Fábio
101,4,04:06,83,82,PAU,FR,Holloway
102,4,04:06,83,82,GOI,FC,Diego
103,4,04:12,83,82,PAU,FR,Holloway
104,4,04:12,83,82,GOI,FC,Fernando Mineiro
105,4,04:32,83,82,PAU,substituicao_sai,Mineiro
106,4,04:32,83,82,PAU,substituicao_entra,César
107,4,04:32,83,82,PAU,tempo_tecnico,Paulistano
108,4,04:32,83,82,GOI,2_Pts_C,Fernando Mineiro
109,4,04:32,83,80,GOI,BR,Fernando Mineiro
110,4,04:32,83,80,PAU,ER,Holloway
111,4,04:38,83,80,GOI,2_Pts_C,Diego
112,4,04:47,83,78,GOI,RD,Fernando Mineiro
113,4,04:47,83,78,PAU,3_Pts_T,Holloway
114,4,05:14,83,78,GOI,2_Pts_C,Rafinha
115,4,05:22,83,76,GOI,LL_Pts_T,Lacerda
116,4,05:22,83,76,GOI,LL_Pts_C,Lacerda
117,4,05:22,83,75,PAU,substituicao_sai,César
118,4,05:22,83,75,PAU,substituicao_entra,Pilar
119,4,05:22,83,75,GOI,FR,Lacerda
120,4,05:22,83,75,PAU,FC_A,Mineiro
121,4,05:34,83,75,GOI,RD,Lacerda
122,4,05:34,83,75,PAU,2_Pts_T,Holloway
123,4,05:42,83,75,PAU,RD,Mineiro
124,4,05:42,83,75,GOI,2_Pts_T,Lacerda
125,4,05:58,83,75,PAU,,
126,4,06:23,83,75,PAU,tempo_tecnico,Paulistano
127,4,06:23,83,75,GOI,2_Pts_C,Fernando Mineiro
128,4,06:23,83,73,GOI,AS,Diego
129,4,06:28,83,73,GOI,RD,Diego
130,4,06:28,83,73,PAU,3_Pts_T,Holloway
131,4,06:51,83,73,GOI,2_Pts_C,Taboada
