,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,56,55, ,fim_partida,
1,4,00:08,56,55,SJO,2_Pts_C,J Baxter
2,4,00:14,54,55,SJO,RO,J Baxter
3,4,00:14,54,55,SJO,2_Pts_T,J Baxter
4,4,00:32,54,55,PAL,LL_Pts_C,Neto
5,4,00:32,54,54,PAL,LL_Pts_C,Neto
6,4,00:32,54,53,PAL,FR,Neto
7,4,00:32,54,53,SJO,FC,J Baxter
8,4,00:50,54,53,PAL,tempo_tecnico,Palmeiras
9,4,00:50,54,53,SJO,2_Pts_C,Betinho
10,4,00:55,52,53,SJO,RD,Betinho
11,4,00:55,52,53,PAL,2_Pts_T,Toyloy
12,4,01:13,52,53,SJO,LL_Pts_C,Caio Torres
13,4,01:13,51,53,SJO,FR,Caio Torres
14,4,01:13,51,53,PAL,FC,Toyloy
15,4,01:13,51,53,SJO,2_Pts_C,Caio Torres
16,4,01:13,49,53,SJO,AS,Laws
17,4,01:13,49,53,SJO,RO,Valtinho
18,4,01:13,49,53,SJO,2_Pts_T,J Baxter
19,4,01:21,49,53,SJO,tempo_tecnico,São José
20,4,01:21,49,53,PAL,2_Pts_C,Jhonatan
21,4,01:22,49,51,PAL,substituicao_sai,Marone
22,4,01:22,49,51,PAL,substituicao_entra,Fabricio
23,4,01:22,49,51,PAL,substituicao_sai,Fabricio
24,4,01:22,49,51,PAL,substituicao_entra,Marone
25,4,01:39,49,51,SJO,substituicao_sai,Renan
26,4,01:39,49,51,SJO,substituicao_entra,Betinho
27,4,01:39,49,51,SJO,AS,Caio Torres
28,4,01:45,49,51,SJO,2_Pts_C,Laws
29,4,01:51,47,51,SJO,BR,Caio Torres
30,4,01:51,47,51,PAL,ER,Jhonatan
31,4,02:07,47,51,PAL,RD,Jhonatan
32,4,02:07,47,51,SJO,3_Pts_T,Renan
33,4,02:23,47,51,PAL,3_Pts_C,Fabricio
34,4,02:23,47,48,PAL,AS,Toyloy
35,4,02:46,47,48,SJO,AS,Renan
36,4,02:46,47,48,SJO,LL_Pts_C,Laws
37,4,02:46,46,48,SJO,LL_Pts_T,Laws
38,4,02:46,46,48,SJO,FR,Laws
39,4,02:46,46,48,PAL,FC,Gianella
40,4,03:04,46,48,PAL,LL_Pts_C,Jhonatan
41,4,03:04,46,47,PAL,AS,Neto
42,4,03:04,46,47,PAL,LL_Pts_C,Jhonatan
43,4,03:04,46,46,PAL,FR,Jhonatan
44,4,03:04,46,46,SJO,FC,Caio Torres
45,4,03:20,46,46,PAL,BR,Neto
46,4,03:20,46,46,SJO,ER,Valtinho
47,4,03:28,46,46,SJO,FR,Valtinho
48,4,03:28,46,46,PAL,FC,Fabricio
49,4,03:32,46,46,SJO,RD,Valtinho
50,4,03:32,46,46,PAL,3_Pts_T,Neto
51,4,03:46,46,46,PAL,RD,Fabricio
52,4,03:46,46,46,SJO,3_Pts_T,J Baxter
53,4,04:13,46,46,PAL,ER,Toyloy
54,4,04:30,46,46,PAL,BR,Gianella
55,4,04:30,46,46,SJO,ER,Valtinho
56,4,04:40,46,46,SJO,BR,Renan
57,4,04:40,46,46,PAL,ER,Fabricio
58,4,04:54,46,46,SJO,2_Pts_C,Caio Torres
59,4,04:54,44,46,SJO,AS,J Baxter
60,4,05:12,44,46,PAL,2_Pts_C,Neto
61,4,05:16,44,44,PAL,BR,Neto
62,4,05:16,44,44,SJO,ER,J Baxter
63,4,05:21,44,44,SJO,RO,Laws
64,4,05:21,44,44,SJO,3_Pts_T,Valtinho
65,4,05:46,44,44,PAL,AS,Gianella
66,4,05:46,44,44,PAL,LL_Pts_C,Neto
67,4,05:46,44,43,PAL,LL_Pts_T,Neto
68,4,05:46,44,43,PAL,LL_Pts_T,Neto
69,4,05:46,44,43,SJO,substituicao_sai,Betinho
70,4,05:46,44,43,SJO,substituicao_entra,J Baxter
71,4,05:46,44,43,SJO,substituicao_sai,Mineiro
72,4,05:46,44,43,SJO,substituicao_entra,Caio Torres
73,4,05:46,44,43,PAL,FR,Neto
74,4,05:46,44,43,SJO,FC,Mineiro
75,4,06:05,44,43,PAL,RD,Fabricio
76,4,06:05,44,43,SJO,3_Pts_T,Laws
77,4,06:28,44,43,SJO,RD,Betinho
78,4,06:28,44,43,PAL,2_Pts_T,Gianella
79,4,06:49,44,43,SJO,LL_Pts_C,Renan
80,4,06:49,43,43,SJO,AS,Laws
81,4,06:49,43,43,SJO,LL_Pts_C,Renan
82,4,06:49,42,43,SJO,FR,Renan
83,4,06:49,42,43,PAL,FC,Jhonatan
84,4,07:12,42,43,PAL,2_Pts_C,Fabricio
85,4,07:27,42,41,PAL,LL_Pts_C,Jhonatan
86,4,07:27,42,40,PAL,LL_Pts_C,Jhonatan
87,4,07:27,42,39,PAL,FR,Jhonatan
88,4,07:27,42,39,SJO,FC_A,Mineiro
89,4,07:32,42,39,PAL,substituicao_sai,Marone
90,4,07:32,42,39,PAL,substituicao_entra,Jhonatan
91,4,07:50,42,39,SJO,2_Pts_C,Laws
92,4,08:04,40,39,SJO,FR,Valtinho
93,4,08:04,40,39,PAL,FC,Neto
94,4,08:08,40,39,SJO,RD,Valtinho
95,4,08:08,40,39,PAL,3_Pts_T,Neto
96,4,08:27,40,39,SJO,2_Pts_C,Renan
97,4,08:27,38,39,SJO,AS,Valtinho
98,4,08:44,38,39,PAL,ER,Fabricio
99,4,08:51,38,39,PAL,RO,Fabricio
100,4,08:51,38,39,PAL,3_Pts_T,Marone
101,4,09:18,38,39,PAL,LL_Pts_T,Toyloy
102,4,09:18,38,39,PAL,FR,Toyloy
103,4,09:18,38,39,SJO,FC_A,Renan
104,4,09:18,38,39,PAL,2_Pts_C,Toyloy
105,4,09:18,38,37,PAL,AS,Gianella
106,4,09:33,38,37,PAL,substituicao_sai,Jhonatan
107,4,09:33,38,37,PAL,substituicao_entra,Marone
108,4,09:35,38,37,PAL,RD,Fabricio
109,4,09:35,38,37,SJO,2_Pts_T,Betinho
110,3,00:00,38,37, ,fim_quarto,
111,3,00:01,38,37,SJO,3_Pts_T,Gustavo
112,3,00:01,38,37,PAL,substituicao_sai,Toyloy
113,3,00:01,38,37,PAL,substituicao_entra,Douglas
114,3,00:01,38,37,PAL,substituicao_sai,Marone
115,3,00:01,38,37,PAL,substituicao_entra,Cadu
116,3,00:01,38,37,PAL,substituicao_sai,Egon
117,3,00:01,38,37,PAL,substituicao_entra,Marone
118,3,00:01,38,37,PAL,substituicao_sai,Marone
119,3,00:01,38,37,PAL,substituicao_entra,Egon
120,3,00:01,38,37,SJO,substituicao_sai,J Baxter
121,3,00:01,38,37,SJO,substituicao_entra,Renan
122,3,00:01,38,37,SJO,BR,São José
123,3,00:01,38,37,PAL,ER,Marone
124,3,00:21,38,37,PAL,RD,Toyloy
125,3,00:21,38,37,SJO,2_Pts_T,Gustavo
126,3,00:48,38,37,PAL,3_Pts_C,Fabricio
127,3,00:48,38,34,PAL,AS,Marone
128,3,01:06,38,34,PAL,LL_Pts_T,Neto
129,3,01:06,38,34,PAL,FC_T,Palmeiras
130,3,01:06,38,34,SJO,FC_T,São José
131,3,01:06,38,34,SJO,FC_T,Rafinha
132,3,01:21,38,34,PAL,RD,Toyloy
133,3,01:21,38,34,SJO,2_Pts_T,Rafinha
134,3,01:39,38,34,SJO,substituicao_sai,Caio Torres
135,3,01:39,38,34,SJO,substituicao_entra,Mineiro
136,3,01:39,38,34,SJO,substituicao_sai,Valtinho
137,3,01:39,38,34,SJO,substituicao_entra,Rafinha
138,3,01:44,38,34,PAL,tempo_tecnico,Palmeiras
139,3,01:44,38,34,PAL,3_Pts_C,Fabricio
140,3,01:44,38,31,PAL,AS,Marone
141,3,02:25,38,31,PAL,RD,Marone
142,3,02:25,38,31,SJO,2_Pts_T,Valtinho
143,3,02:25,38,31,SJO,RO,Valtinho
144,3,02:25,38,31,SJO,2_Pts_T,Caio Torres
145,3,02:25,38,31,SJO,RO,Caio Torres
146,3,02:25,38,31,SJO,3_Pts_T,J Baxter
147,3,02:25,38,31,PAL,substituicao_sai,Gianella
148,3,02:25,38,31,PAL,substituicao_entra,Neto
149,3,02:25,38,31,SJO,FR,J Baxter
150,3,02:25,38,31,PAL,FC,Jhonatan
151,3,02:25,38,31,SJO,RD,Caio Torres
152,3,02:25,38,31,PAL,2_Pts_T,Toyloy
153,3,02:46,38,31,PAL,RD,Fabricio
154,3,02:46,38,31,SJO,3_Pts_T,Gustavo
155,3,03:14,38,31,PAL,EN,Jhonatan
156,3,03:29,38,29,SJO,ER,
157,3,03:54,38,29,PAL,2_Pts_C,Toyloy
158,3,03:54,38,27,PAL,AS,Gianella
159,3,04:14,38,27,PAL,RD,Marone
160,3,04:14,38,27,SJO,2_Pts_T,Caio Torres
161,3,04:26,38,27,SJO,RD,Caio Torres
162,3,04:26,38,27,PAL,2_Pts_T,Jhonatan
163,3,04:50,38,27,SJO,substituicao_entra,Gustavo
164,3,04:50,38,27,SJO,substituicao_sai,Renan
165,3,04:50,38,27,PAL,substituicao_sai,Neto
166,3,04:50,38,27,PAL,substituicao_entra,Marone
167,3,04:52,38,27,PAL,tempo_tecnico,Palmeiras
168,3,04:52,38,27,SJO,EN,Betinho
169,3,04:52,36,27,SJO,AS,J Baxter
170,3,04:52,36,27,SJO,BR,J Baxter
171,3,04:52,36,27,PAL,ER,Neto
172,3,05:13,36,27,SJO,AS,Valtinho
173,3,05:18,36,27,SJO,2_Pts_C,Betinho
174,3,05:39,34,27,SJO,RD,São José
175,3,05:39,34,27,PAL,3_Pts_T,Toyloy
176,3,06:05,34,27,SJO,2_Pts_C,Caio Torres
177,3,06:05,32,27,SJO,AS,J Baxter
178,3,06:28,32,27,SJO,BR,São José
179,3,06:28,32,27,PAL,ER,Toyloy
180,3,06:52,32,27,PAL,tempo_tecnico,Palmeiras
181,3,06:52,32,27,SJO,EN,J Baxter
182,3,06:52,30,27,SJO,AS,Valtinho
183,3,07:19,30,27,SJO,BR,Renan
184,3,07:19,30,27,PAL,ER,Neto
185,3,07:30,30,27,PAL,substituicao_entra,Fabricio
186,3,07:30,30,27,PAL,substituicao_sai,Marone
187,3,07:30,30,27,PAL,FR,Neto
188,3,07:30,30,27,SJO,FC,Betinho
189,3,07:44,30,27,SJO,2_Pts_C,Caio Torres
190,3,07:44,28,27,SJO,AS,Renan
191,3,07:56,28,27,SJO,RD,Caio Torres
192,3,07:56,28,27,PAL,2_Pts_T,Jhonatan
193,3,08:10,28,27,PAL,RD,Toyloy
194,3,08:10,28,27,SJO,3_Pts_T,J Baxter
195,3,08:27,28,27,SJO,RD,Caio Torres
196,3,08:27,28,27,PAL,2_Pts_T,Toyloy
197,3,08:49,28,27,PAL,RD,Jhonatan
198,3,08:49,28,27,SJO,LL_Pts_T,Renan
199,3,08:49,28,27,SJO,LL_Pts_C,Renan
200,3,08:49,27,27,SJO,FR,Renan
201,3,08:49,27,27,PAL,FC,Jhonatan
202,3,08:54,27,27,SJO,RD,Renan
203,3,08:54,27,27,SJO,TO,Caio Torres
204,3,08:54,27,27,PAL,2_Pts_T,Jhonatan
205,3,09:18,27,27,PAL,RD,Neto
206,3,09:18,27,27,SJO,2_Pts_T,Betinho
207,3,09:25,27,27,SJO,RO,Betinho
208,3,09:25,27,27,SJO,2_Pts_T,Renan
209,3,09:39,27,27,SJO,RD,Caio Torres
210,3,09:39,27,27,PAL,2_Pts_T,Neto
211,2,00:00,27,27, ,fim_quarto,
212,2,00:00,27,27,SJO,3_Pts_T,Caio Torres
213,2,00:02,27,27,SJO,RD,Caio Torres
214,2,00:02,27,27,PAL,2_Pts_T,Douglas
215,2,00:07,27,27,PAL,RO,Douglas
216,2,00:07,27,27,PAL,3_Pts_T,Neto
217,2,00:35,27,27,PAL,BR,Gianella
218,2,00:35,27,27,SJO,ER,Laws
219,2,00:42,27,27,SJO,RD,Betinho
220,2,00:42,27,27,PAL,2_Pts_T,Neto
221,2,01:04,27,27,PAL,RD,Palmeiras
222,2,01:04,27,27,SJO,2_Pts_T,Betinho
223,2,01:13,27,27,SJO,LL_Pts_T,Betinho
224,2,01:13,27,27,SJO,AS,Laws
225,2,01:13,27,27,SJO,LL_Pts_C,Betinho
226,2,01:13,26,27,SJO,substituicao_sai,Valtinho
227,2,01:13,26,27,SJO,substituicao_entra,Rafinha
228,2,01:13,26,27,PAL,substituicao_sai,Jhonatan
229,2,01:13,26,27,PAL,substituicao_entra,Gianella
230,2,01:13,26,27,PAL,tempo_tecnico,Palmeiras
231,2,01:13,26,27,SJO,FR,Betinho
232,2,01:13,26,27,PAL,FC_A,Marone
233,2,01:16,26,27,SJO,RD,Laws
234,2,01:16,26,27,PAL,2_Pts_T,Neto
235,2,01:32,26,27,PAL,RD,Fabricio
236,2,01:32,26,27,SJO,2_Pts_T,Laws
237,2,01:36,26,27,SJO,RO,Valtinho
238,2,01:36,26,27,SJO,2_Pts_T,Betinho
239,2,01:55,26,27,SJO,RD,Caio Torres
240,2,01:55,26,27,PAL,2_Pts_T,Jhonatan
241,2,02:18,26,27,PAL,RD,Fabricio
242,2,02:18,26,27,SJO,LL_Pts_T,Caio Torres
243,2,02:18,26,27,SJO,AS,Betinho
244,2,02:18,26,27,SJO,LL_Pts_C,Caio Torres
245,2,02:22,25,27,SJO,FR,Caio Torres
246,2,02:22,25,27,PAL,FC,Douglas
247,2,02:37,25,27,PAL,2_Pts_C,Neto
248,2,02:59,25,25,SJO,3_Pts_C,Betinho
249,2,02:59,22,25,SJO,AS,Laws
250,2,03:17,22,25,PAL,2_Pts_C,Marone
251,2,03:27,22,23,PAL,substituicao_entra,Marone
252,2,03:27,22,23,PAL,substituicao_sai,Gianella
253,2,03:27,22,23,PAL,BR,Palmeiras
254,2,03:27,22,23,SJO,ER,J Baxter
255,2,03:50,22,23,PAL,2_Pts_C,Gianella
256,2,04:03,22,21,PAL,RO,Neto
257,2,04:03,22,21,PAL,3_Pts_T,Fabricio
258,2,04:21,22,21,SJO,2_Pts_C,Betinho
259,2,04:43,20,21,PAL,LL_Pts_C,Fabricio
260,2,04:43,20,20,PAL,LL_Pts_T,Fabricio
261,2,04:43,20,20,PAL,AS,Gianella
262,2,04:43,20,20,PAL,LL_Pts_C,Fabricio
263,2,04:43,20,19,SJO,substituicao_sai,Renan
264,2,04:43,20,19,SJO,substituicao_entra,Laws
265,2,04:43,20,19,PAL,FR,Fabricio
266,2,04:43,20,19,SJO,FC,Renan
267,2,05:06,20,19,SJO,3_Pts_C,J Baxter
268,2,05:06,17,19,SJO,AS,Valtinho
269,2,05:30,17,19,SJO,BR,São José
270,2,05:30,17,19,PAL,ER,Douglas
271,2,05:45,17,19,PAL,RD,Jhonatan
272,2,05:45,17,19,SJO,3_Pts_T,J Baxter
273,2,05:59,17,19,PAL,substituicao_sai,Toyloy
274,2,05:59,17,19,PAL,substituicao_entra,Douglas
275,2,05:59,17,19,SJO,FR,Caio Torres
276,2,05:59,17,19,PAL,FC,Toyloy
277,2,06:23,17,19,PAL,EN,Toyloy
278,2,06:23,17,17,PAL,AS,Gianella
279,2,06:29,17,17,PAL,FR,Toyloy
280,2,06:29,17,17,SJO,FC,Betinho
281,2,06:44,17,17,PAL,RD,Toyloy
282,2,06:44,17,17,SJO,2_Pts_T,Betinho
283,2,07:02,17,17,PAL,tempo_tecnico,Palmeiras
284,2,07:02,17,17,PAL,substituicao_sai,Marone
285,2,07:02,17,17,PAL,substituicao_entra,Gianella
286,2,07:02,17,17,SJO,RD,São José
287,2,07:02,17,17,PAL,3_Pts_T,Neto
288,2,07:31,17,17,SJO,3_Pts_C,J Baxter
289,2,07:31,14,17,SJO,AS,Caio Torres
290,2,07:47,14,17,SJO,RD,J Baxter
291,2,07:47,14,17,PAL,2_Pts_T,Neto
292,2,07:54,14,17,PAL,RD,Jhonatan
293,2,07:54,14,17,PAL,TO,Toyloy
294,2,07:54,14,17,SJO,2_Pts_T,Renan
295,2,08:07,14,17,SJO,substituicao_sai,Gustavo
296,2,08:07,14,17,SJO,substituicao_entra,J Baxter
297,2,08:10,14,17,SJO,FR,Caio Torres
298,2,08:10,14,17,PAL,FC,Toyloy
299,2,08:26,14,17,PAL,EN,Toyloy
300,2,08:26,14,15,PAL,AS,Fabricio
301,2,08:45,14,15,SJO,substituicao_sai,Rafinha
302,2,08:45,14,15,SJO,substituicao_entra,Valtinho
303,2,08:45,14,15,PAL,substituicao_sai,Gianella
304,2,08:45,14,15,PAL,substituicao_entra,Neto
305,2,08:48,14,15,PAL,RD,Palmeiras
306,2,08:48,14,15,SJO,3_Pts_T,Renan
307,2,09:12,14,15,PAL,2_Pts_C,Marone
308,2,09:12,14,13,PAL,AS,Gianella
309,2,09:21,14,13,SJO,substituicao_sai,Drudi
310,2,09:21,14,13,SJO,substituicao_entra,Renan
311,2,09:21,14,13,PAL,RO,Jhonatan
312,2,09:23,14,13,PAL,3_Pts_T,Marone
313,2,09:37,14,13,PAL,substituicao_entra,Jhonatan
314,2,09:37,14,13,PAL,substituicao_sai,Egon
315,2,09:37,14,13,PAL,substituicao_sai,Douglas
316,2,09:37,14,13,PAL,substituicao_entra,Toyloy
317,2,09:37,14,13,PAL,FR,Gianella
318,2,09:37,14,13,SJO,FC,Rafinha
319,2,09:48,14,13,SJO,3_Pts_C,Rafinha
320,2,09:48,11,13,SJO,AS,Gustavo
321,1,00:00,11,13, ,fim_quarto,
322,1,00:01,11,13,SJO,2_Pts_T,Caio Torres
323,1,00:19,11,13,PAL,3_Pts_C,Marone
324,1,00:19,11,10,PAL,AS,Toyloy
325,1,00:45,11,10,SJO,2_Pts_C,Caio Torres
326,1,01:02,9,10,PAL,substituicao_entra,Toyloy
327,1,01:02,9,10,PAL,substituicao_sai,Douglas
328,1,01:02,9,10,PAL,substituicao_sai,Neto
329,1,01:02,9,10,PAL,substituicao_entra,Gianella
330,1,01:02,9,10,PAL,substituicao_sai,Jhonatan
331,1,01:02,9,10,PAL,substituicao_entra,Egon
332,1,01:02,9,10,SJO,BR,São José
333,1,01:02,9,10,PAL,ER,Douglas
334,1,01:02,9,10,SJO,FR,Rafinha
335,1,01:02,9,10,PAL,FC_O,Douglas
336,1,01:15,9,10,SJO,3_Pts_C,Rafinha
337,1,01:31,6,10,PAL,2_Pts_C,Neto
338,1,01:59,6,8,PAL,substituicao_entra,Marone
339,1,01:59,6,8,PAL,substituicao_sai,Gianella
340,1,01:59,6,8,SJO,substituicao_sai,Laws
341,1,01:59,6,8,SJO,substituicao_entra,Gustavo
342,1,02:01,6,8,SJO,ER,Caio Torres
343,1,02:13,6,8,SJO,RD,Drudi
344,1,02:13,6,8,PAL,2_Pts_T,Jhonatan
