,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,80,65, ,fim_partida,
1,4,00:00,80,65,SJO,2_Pts_C,Dedé
2,4,00:16,80,63,FRA,2_Pts_C,Léo Waszkiewicz
3,4,00:16,78,63,FRA,AS,Cobos
4,4,00:37,78,63,FRA,substituicao_entra,Cobos
5,4,00:37,78,63,FRA,substituicao_sai,Mata
6,4,00:37,78,63,FRA,BR,Franca
7,4,00:37,78,63,SJO,ER,Caio Torres
8,4,00:47,78,63,FRA,2_Pts_C,Léo Meindl
9,4,00:47,76,63,FRA,AS,Figueroa
10,4,01:09,76,63,FRA,RD,Lucas Mariano
11,4,01:09,76,63,SJO,2_Pts_T,Caio Torres
12,4,01:23,76,63,SJO,RD,Caio Torres
13,4,01:23,76,63,FRA,2_Pts_T,Lucas Mariano
14,4,01:43,76,63,FRA,RD,Mata
15,4,01:43,76,63,SJO,3_Pts_T,Valtinho
16,4,01:55,76,63,SJO,RD,Dedé
17,4,01:55,76,63,FRA,LL_Pts_T,Léo Waszkiewicz
18,4,01:55,76,63,FRA,FR,Léo Waszkiewicz
19,4,01:55,76,63,SJO,FC,Dedé
20,4,01:55,76,63,FRA,2_Pts_C,Léo Waszkiewicz
21,4,01:57,74,63,FRA,RO,Léo Waszkiewicz
22,4,01:57,74,63,FRA,3_Pts_T,Lucas Mariano
23,4,02:18,74,63,SJO,2_Pts_C,Caio Torres
24,4,02:18,74,61,SJO,AS,Valtinho
25,4,02:29,74,61,FRA,LL_Pts_C,Léo Meindl
26,4,02:29,73,61,FRA,LL_Pts_T,Léo Meindl
27,4,02:29,73,61,SJO,substituicao_entra,Valtinho
28,4,02:29,73,61,SJO,substituicao_sai,Betinho
29,4,02:29,73,61,SJO,substituicao_entra,Dedé
30,4,02:29,73,61,SJO,substituicao_sai,Drudi
31,4,02:29,73,61,FRA,FR,Léo Meindl
32,4,02:29,73,61,SJO,FC,Betinho
33,4,02:35,73,61,FRA,RD,Léo Waszkiewicz
34,4,02:35,73,61,SJO,3_Pts_T,J Baxter
35,4,02:58,73,61,SJO,tempo_tecnico,São José
36,4,02:58,73,61,FRA,EN,Mata
37,4,02:58,71,61,FRA,AS,Léo Meindl
38,4,03:02,71,61,FRA,BR,Léo Waszkiewicz
39,4,03:02,71,61,SJO,ER,J Baxter
40,4,03:17,71,61,FRA,ER,
41,4,03:34,71,61,FRA,RO,Lucas Mariano
42,4,03:34,71,61,FRA,LL_Pts_T,Mata
43,4,03:34,71,61,FRA,LL_Pts_C,Mata
44,4,03:34,70,61,SJO,substituicao_entra,Caio Torres
45,4,03:34,70,61,SJO,substituicao_sai,Renan
46,4,03:34,70,61,FRA,substituicao_entra,Léo Waszkiewicz
47,4,03:34,70,61,FRA,substituicao_sai,Cobos
48,4,03:34,70,61,FRA,substituicao_entra,Léo Meindl
49,4,03:34,70,61,FRA,substituicao_sai,Antonio
50,4,03:34,70,61,FRA,substituicao_entra,Figueroa
51,4,03:34,70,61,FRA,substituicao_sai,Helinho
52,4,03:34,70,61,FRA,FR,Mata
53,4,03:34,70,61,SJO,FC,J Baxter
54,4,03:49,70,61,SJO,2_Pts_C,Drudi
55,4,03:53,70,59,SJO,RO,Drudi
56,4,03:53,70,59,SJO,2_Pts_T,Renan
57,4,04:10,70,59,SJO,FR,Betinho
58,4,04:10,70,59,FRA,FC,Helinho
59,4,04:17,70,59,SJO,BR,São José
60,4,04:17,70,59,FRA,ER,Helinho
61,4,04:17,70,59,FRA,FR,Antonio
62,4,04:17,70,59,SJO,FC,Drudi
63,4,04:28,70,59,FRA,FR,Cobos
64,4,04:28,70,59,SJO,FC,Betinho
65,4,04:48,70,59,SJO,2_Pts_C,Drudi
66,4,04:48,70,57,SJO,AS,J Baxter
67,4,04:55,70,57,SJO,RD,J Baxter
68,4,04:55,70,57,SJO,TO,Renan
69,4,04:55,70,57,FRA,2_Pts_T,Helinho
70,4,05:16,70,57,FRA,tempo_tecnico,Franca
71,4,05:16,70,57,SJO,2_Pts_C,J Baxter
72,4,05:16,70,55,SJO,AS,Laws
73,4,05:17,70,55,SJO,substituicao_entra,Drudi
74,4,05:17,70,55,SJO,substituicao_sai,Dedé
75,4,05:17,70,55,FRA,substituicao_entra,Mata
76,4,05:17,70,55,FRA,substituicao_sai,Léo Meindl
77,4,05:23,70,55,SJO,RD,Laws
78,4,05:23,70,55,FRA,2_Pts_T,Cobos
79,4,05:30,70,55,FRA,RO,Antonio
80,4,05:30,70,55,FRA,3_Pts_T,Léo Meindl
81,4,05:48,70,55,FRA,RD,Lucas Mariano
82,4,05:48,70,55,SJO,3_Pts_T,J Baxter
83,4,06:02,70,55,SJO,FR,Dedé
84,4,06:02,70,55,FRA,FC,Léo Meindl
85,4,06:02,70,55,SJO,RO,São José
86,4,06:02,70,55,SJO,3_Pts_T,J Baxter
87,4,06:17,70,55,FRA,ER,Helinho
88,4,06:41,70,55,SJO,3_Pts_C,J Baxter
89,4,06:41,70,52,SJO,AS,Betinho
90,4,06:56,70,52,FRA,3_Pts_C,Antonio
91,4,07:15,67,52,SJO,2_Pts_C,J Baxter
92,4,07:30,67,50,FRA,ER,
93,4,07:42,67,50,FRA,substituicao_entra,Helinho
94,4,07:42,67,50,FRA,substituicao_sai,Figueroa
95,4,07:42,67,50,FRA,substituicao_entra,Cobos
96,4,07:42,67,50,FRA,substituicao_sai,Mata
97,4,08:00,67,50,SJO,2_Pts_C,J Baxter
98,4,08:06,67,48,SJO,BR,São José
99,4,08:06,67,48,FRA,ER,Léo Meindl
100,4,08:19,67,48,SJO,2_Pts_C,Dedé
101,4,08:19,67,46,SJO,AS,Laws
102,4,08:25,67,46,SJO,RD,Renan
103,4,08:25,67,46,FRA,2_Pts_T,Mata
104,4,08:35,67,46,SJO,2_Pts_C,Renan
105,4,08:39,67,44,SJO,RO,Renan
106,4,08:39,67,44,SJO,2_Pts_T,Betinho
107,4,09:06,67,44,FRA,EN,Lucas Mariano
108,4,09:06,65,44,FRA,AS,Léo Meindl
109,4,09:14,65,44,FRA,FR,Figueroa
110,4,09:14,65,44,SJO,FC,Renan
111,4,09:14,65,44,FRA,RD,Franca
112,4,09:14,65,44,SJO,3_Pts_T,Betinho
113,4,09:50,65,44,SJO,RD,Dedé
114,4,09:50,65,44,FRA,LL_Pts_T,Antonio
115,4,09:50,65,44,FRA,FR,Antonio
116,4,09:50,65,44,SJO,FC,Dedé
117,4,09:50,65,44,FRA,2_Pts_C,Antonio
118,3,00:00,63,44, ,fim_quarto,
119,3,00:01,63,44,FRA,3_Pts_C,Mata
120,3,00:01,60,44,FRA,AS,Figueroa
121,3,00:09,60,44,FRA,RD,Antonio
122,3,00:09,60,44,SJO,2_Pts_T,Renan
123,3,00:35,60,44,FRA,2_Pts_C,Antonio
124,3,00:35,58,44,FRA,AS,Léo Meindl
125,3,00:40,58,44,FRA,RD,Mata
126,3,00:40,58,44,SJO,2_Pts_T,Laws
127,3,00:50,58,44,FRA,EN,Léo Meindl
128,3,00:53,56,44,FRA,FR,Léo Meindl
129,3,00:53,56,44,SJO,FC,Laws
130,3,00:56,56,44,FRA,FR,Léo Meindl
131,3,00:56,56,44,SJO,FC,Renan
132,3,01:01,56,44,FRA,RD,Léo Meindl
133,3,01:01,56,44,SJO,2_Pts_T,J Baxter
134,3,01:21,56,44,FRA,ER,Figueroa
