,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,65,56, ,fim_partida,
1,4,00:00,65,56,RCB,FR,Caio
2,4,00:00,65,56,LSB,FC,Renato Scholz
3,4,00:00,65,56,LSB,substituicao_entra,Renato Scholz
4,4,00:00,65,56,LSB,substituicao_sai,Socas
5,4,00:03,65,56,LSB,RD,Socas
6,4,00:03,65,56,RCB,2_Pts_T,Daniel Alemão
7,4,00:04,65,56,RCB,RO,Rio Claro
8,4,00:04,65,56,RCB,3_Pts_T,Caio
9,4,00:31,65,56,RCB,tempo_tecnico,Rio Claro
10,4,00:31,65,56,LSB,LL_Pts_C,Neto
11,4,00:31,64,56,LSB,LL_Pts_C,Neto
12,4,00:31,63,56,LSB,FR,Neto
13,4,00:31,63,56,RCB,FC,F Penna
14,4,00:47,63,56,LSB,RD,Lupa
15,4,00:47,63,56,RCB,3_Pts_T,F Penna
16,4,00:57,63,56,RCB,substituicao_entra,Caio
17,4,00:57,63,56,RCB,substituicao_sai,Teichmann
18,4,00:57,63,56,LSB,LL_Pts_C,A Pinheiro
19,4,00:57,62,56,LSB,LL_Pts_C,A Pinheiro
20,4,00:57,61,56,RCB,substituicao_entra,F Penna
21,4,00:57,61,56,RCB,substituicao_sai,Dedé
22,4,00:57,61,56,LSB,FR,A Pinheiro
23,4,00:57,61,56,RCB,FC,Dedé
24,4,00:57,61,56,LSB,substituicao_entra,A Pinheiro
25,4,00:57,61,56,LSB,substituicao_sai,Fab Melo
26,4,00:58,61,56,RCB,AS,Tatu
27,4,01:00,61,56,RCB,2_Pts_C,Gui Deodato
28,4,01:00,61,54,RCB,BR,Tatu
29,4,01:00,61,54,LSB,ER,Fab Melo
30,4,01:15,61,54,LSB,RO,Chupeta
31,4,01:15,61,54,RCB,3_Pts_T,Tatu
32,4,01:25,61,54,LSB,LL_Pts_C,Socas
33,4,01:25,60,54,LSB,LL_Pts_T,Socas
34,4,01:25,60,54,LSB,substituicao_entra,Chupeta
35,4,01:25,60,54,LSB,substituicao_sai,Renato Scholz
36,4,01:25,60,54,LSB,FR,Socas
37,4,01:25,60,54,RCB,FC,Gui Deodato
38,4,01:27,60,54,RCB,LL_Pts_C,Tatu
39,4,01:27,60,53,RCB,LL_Pts_C,Tatu
40,4,01:27,60,52,LSB,substituicao_entra,Socas
41,4,01:27,60,52,LSB,substituicao_sai,A Pinheiro
42,4,01:27,60,52,RCB,FR,Tatu
43,4,01:27,60,52,LSB,FC,A Pinheiro
44,4,01:27,60,52,LSB,substituicao_entra,A Pinheiro
45,4,01:27,60,52,LSB,substituicao_sai,Socas
46,4,01:27,60,52,LSB,substituicao_entra,Socas
47,4,01:27,60,52,LSB,substituicao_sai,Chupeta
48,4,01:27,60,52,LSB,substituicao_entra,Fab Melo
49,4,01:27,60,52,LSB,substituicao_sai,A Pinheiro
50,4,01:37,60,52,LSB,EN,Lupa
51,4,01:37,58,52,LSB,AS,A Pinheiro
52,4,01:42,58,52,LSB,BR,Neto
53,4,01:42,58,52,RCB,ER,Gui Deodato
54,4,01:44,58,52,RCB,substituicao_entra,Daniel Alemão
55,4,01:44,58,52,RCB,substituicao_sai,Vinicius
56,4,01:48,58,52,RCB,tempo_tecnico,Rio Claro
57,4,01:48,58,52,LSB,2_Pts_C,Lupa
58,4,02:08,56,52,LSB,RD,Neto
59,4,02:08,56,52,RCB,2_Pts_T,Gui Deodato
60,4,02:15,56,52,RCB,RO,Vinicius
61,4,02:15,56,52,RCB,3_Pts_T,Dedé
62,4,02:42,56,52,LSB,2_Pts_C,Neto
63,4,03:03,54,52,LSB,substituicao_entra,A Pinheiro
64,4,03:03,54,52,LSB,substituicao_sai,Socas
65,4,03:03,54,52,LSB,tempo_tecnico,Liga Sorocabana
66,4,03:03,54,52,RCB,LL_Pts_C,Dedé
67,4,03:03,54,51,RCB,LL_Pts_T,Dedé
68,4,03:03,54,51,RCB,FR,Dedé
69,4,03:03,54,51,LSB,FC,Chupeta
70,4,03:06,54,51,RCB,BR,Vinicius
71,4,03:06,54,51,LSB,ER,Neto
72,4,03:27,54,51,RCB,LL_Pts_C,Dedé
73,4,03:27,54,50,RCB,LL_Pts_T,Dedé
74,4,03:27,54,50,RCB,FR,Dedé
75,4,03:27,54,50,LSB,FC,Lupa
76,4,03:45,54,50,LSB,LL_Pts_C,Chupeta
77,4,03:45,53,50,LSB,LL_Pts_C,Chupeta
78,4,03:45,52,50,LSB,FR,Chupeta
79,4,03:45,52,50,RCB,FC,Dedé
80,4,03:58,52,50,RCB,substituicao_entra,Vinicius
81,4,03:58,52,50,RCB,substituicao_sai,Daniel Alemão
82,4,03:58,52,50,LSB,FR,Chupeta
83,4,03:58,52,50,RCB,FC,Dedé
84,4,04:21,52,50,LSB,RD,Renato Scholz
85,4,04:21,52,50,RCB,2_Pts_T,Daniel Alemão
86,4,04:46,52,50,LSB,2_Pts_C,Chupeta
87,4,05:05,50,50,RCB,2_Pts_C,Dedé
88,4,05:05,50,48,RCB,AS,Teichmann
89,4,05:14,50,48,RCB,FR,Teichmann
90,4,05:14,50,48,LSB,FC,Neto
91,4,05:31,50,48,RCB,RD,Teichmann
92,4,05:31,50,48,LSB,2_Pts_T,Lupa
93,4,05:54,50,48,LSB,BR,Neto
94,4,05:54,50,48,RCB,ER,Tatu
95,4,06:10,50,48,LSB,substituicao_entra,Renato Scholz
96,4,06:10,50,48,LSB,substituicao_sai,Fab Melo
97,4,06:10,50,48,LSB,substituicao_entra,Neto
98,4,06:10,50,48,LSB,substituicao_sai,A Pinheiro
99,4,06:13,50,48,RCB,BR,Rio Claro
100,4,06:13,50,48,LSB,ER,Fab Melo
101,4,06:33,50,48,RCB,2_Pts_C,Gui Deodato
102,4,06:33,50,46,RCB,AS,Tatu
103,4,06:37,50,46,RCB,BR,Teichmann
104,4,06:37,50,46,LSB,ER,Lupa
105,4,07:00,50,46,LSB,RO,A Pinheiro
106,4,07:00,50,46,RCB,TO,Tatu
107,4,07:00,50,46,LSB,2_Pts_T,Lupa
108,4,07:03,50,46,RCB,FR,Dedé
109,4,07:03,50,46,LSB,FC,Chupeta
110,4,07:03,50,46,RCB,RD,Dedé
111,4,07:03,50,46,RCB,TO,Daniel Alemão
112,4,07:03,50,46,LSB,2_Pts_T,Lupa
113,4,07:27,50,46,LSB,substituicao_entra,Chupeta
114,4,07:27,50,46,LSB,substituicao_sai,Renato Scholz
115,4,07:27,50,46,LSB,ER,Fab Melo
116,4,07:54,50,46,RCB,EN,Daniel Alemão
117,4,08:03,50,44,RCB,FR,Tatu
118,4,08:03,50,44,LSB,FC,Renato Scholz
119,4,08:19,50,44,LSB,LL_Pts_C,Lupa
120,4,08:19,49,44,LSB,LL_Pts_T,Lupa
121,4,08:19,49,44,LSB,FR,Lupa
122,4,08:19,49,44,RCB,FC,Tatu
123,4,08:23,49,44,LSB,RO,Lupa
124,4,08:23,49,44,LSB,2_Pts_T,Fab Melo
125,4,08:24,49,44,RCB,substituicao_entra,Dedé
126,4,08:24,49,44,RCB,substituicao_entra,Daniel Alemão
127,4,08:24,49,44,RCB,substituicao_entra,Tatu
128,4,08:24,49,44,RCB,substituicao_sai,Tom
129,4,08:24,49,44,RCB,substituicao_sai,F Penna
130,4,08:24,49,44,RCB,substituicao_sai,Caio
131,4,08:24,49,44,LSB,FR,A Pinheiro
132,4,08:24,49,44,RCB,FC,Caio
133,4,08:24,49,44,LSB,RD,A Pinheiro
134,4,08:24,49,44,RCB,3_Pts_T,F Penna
135,4,08:38,49,44,LSB,2_Pts_C,Socas
136,4,08:44,47,44,LSB,RO,Socas
137,4,08:44,47,44,LSB,2_Pts_T,Fab Melo
138,4,09:01,47,44,RCB,ER,Gui Deodato
139,4,09:23,47,44,LSB,2_Pts_C,A Pinheiro
140,4,09:41,45,44,LSB,RD,Lupa
141,4,09:41,45,44,RCB,LL_Pts_T,Tom
142,4,09:41,45,44,RCB,LL_Pts_T,Tom
143,4,09:41,45,44,RCB,FR,Tom
144,4,09:41,45,44,LSB,FC,Fab Melo
145,3,00:00,45,44, ,fim_quarto,
146,3,00:01,45,44,LSB,3_Pts_T,Chupeta
147,3,00:04,45,44,RCB,ER,Caio
148,3,00:27,45,44,RCB,RD,Caio
149,3,00:27,45,44,LSB,3_Pts_T,Renato Scholz
150,3,00:39,45,44,RCB,substituicao_entra,Caio
151,3,00:39,45,44,RCB,substituicao_sai,Dedé
152,3,00:39,45,44,RCB,substituicao_entra,Vinicius
153,3,00:39,45,44,RCB,substituicao_sai,Daniel Alemão
154,3,00:39,45,44,LSB,substituicao_entra,Renato Scholz
155,3,00:39,45,44,LSB,substituicao_sai,Socas
156,3,00:39,45,44,LSB,FR,A Pinheiro
157,3,00:39,45,44,RCB,FC,Dedé
158,3,00:45,45,44,LSB,RO,Lupa
159,3,00:45,45,44,LSB,2_Pts_T,Chupeta
160,3,01:03,45,44,RCB,2_Pts_C,Daniel Alemão
161,3,01:03,45,42,RCB,AS,F Penna
162,3,01:16,45,42,RCB,RD,Dedé
163,3,01:16,45,42,LSB,2_Pts_T,Verson
164,3,01:25,45,42,LSB,RD,Liga Sorocabana
165,3,01:38,45,42,LSB,TO,A Pinheiro
166,3,01:38,45,42,RCB,2_Pts_T,F Penna
167,3,01:48,45,42,LSB,2_Pts_C,Lupa
168,3,02:11,43,42,LSB,substituicao_entra,A Pinheiro
169,3,02:11,43,42,LSB,substituicao_sai,Neto
170,3,02:11,43,42,RCB,LL_Pts_C,F Penna
171,3,02:11,43,41,RCB,LL_Pts_C,F Penna
172,3,02:11,43,40,RCB,substituicao_entra,Tom
173,3,02:11,43,40,RCB,substituicao_sai,Teichmann
174,3,02:11,43,40,LSB,substituicao_entra,Chupeta
175,3,02:11,43,40,LSB,substituicao_sai,Victor
176,3,02:11,43,40,RCB,FR,F Penna
177,3,02:11,43,40,LSB,FC,Socas
178,3,02:32,43,40,LSB,2_Pts_C,Neto
179,3,02:55,41,40,LSB,RD,Verson
180,3,02:55,41,40,RCB,3_Pts_T,Dedé
181,3,03:08,41,40,RCB,RD,Gui Deodato
182,3,03:08,41,40,LSB,3_Pts_T,Verson
183,3,03:28,41,40,RCB,EN,Teichmann
184,3,03:31,41,38,RCB,BR,Teichmann
185,3,03:31,41,38,LSB,ER,Victor
186,3,03:42,41,38,LSB,substituicao_entra,Lupa
187,3,03:42,41,38,LSB,substituicao_sai,Fab Melo
188,3,03:42,41,38,RCB,LL_Pts_C,F Penna
