,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,60,74, ,fim_partida,
1,4,00:00,60,74,MIN,substituicao_sai,Loroh
2,4,00:00,60,74,MIN,substituicao_entra,Sosa
3,4,00:02,60,74,MIN,RD,Matheus
4,4,00:02,60,74,MAC,3_Pts_T,Márcio
5,4,00:07,60,74,MIN,LL_Pts_C,Siqueira
6,4,00:07,60,73,MIN,LL_Pts_C,Siqueira
7,4,00:07,60,72,MIN,substituicao_sai,Simmons
8,4,00:07,60,72,MIN,substituicao_entra,Rafael
9,4,00:07,60,72,MIN,substituicao_entra,Loroh
10,4,00:07,60,72,MIN,substituicao_sai,Sosa
11,4,00:07,60,72,MIN,substituicao_sai,Ansaloni
12,4,00:07,60,72,MIN,substituicao_entra,Júnior
13,4,00:07,60,72,MIN,substituicao_entra,Matheus
14,4,00:07,60,72,MIN,substituicao_sai,Shilton
15,4,00:07,60,72,MIN,FR,Siqueira
16,4,00:07,60,72,MAC,FC,Mosso
17,4,00:18,60,72,MIN,RD,Sosa
18,4,00:18,60,72,MAC,3_Pts_T,Mosso
19,4,00:25,60,72,MAC,RD,Mosso
20,4,00:25,60,72,MIN,2_Pts_T,Ansaloni
21,4,00:44,60,72,MIN,RD,Ansaloni
22,4,00:44,60,72,MAC,LL_Pts_T,Mosso
23,4,00:44,60,72,MAC,LL_Pts_T,Mosso
24,4,00:47,60,72,MAC,FR,Mosso
25,4,00:47,60,72,MIN,FC,Ansaloni
26,4,00:52,60,72,MAC,RO,Mosso
27,4,00:52,60,72,MAC,2_Pts_T,Maique
28,4,01:03,60,72,MAC,FR,Pedrinho Rava
29,4,01:03,60,72,MIN,FC_O,Siqueira
30,4,01:25,60,72,MIN,BR,Sosa
31,4,01:25,60,72,MAC,ER,Pedrinho Rava
32,4,01:36,60,72,MIN,LL_Pts_C,Siqueira
33,4,01:36,60,71,MAC,substituicao_sai,Henrique
34,4,01:36,60,71,MAC,substituicao_entra,Matheuzinho
35,4,01:44,60,71,MIN,2_Pts_C,Siqueira
36,4,01:44,60,69,MIN,FR,Siqueira
37,4,01:44,60,69,MAC,FC,Henrique
38,4,02:03,60,69,MAC,LL_Pts_C,Pedrinho Rava
39,4,02:03,59,69,MAC,LL_Pts_T,Pedrinho Rava
40,4,02:03,59,69,MIN,substituicao_sai,Léo Demétrio
41,4,02:03,59,69,MIN,substituicao_entra,Shilton
42,4,02:03,59,69,MAC,FR,Pedrinho Rava
43,4,02:03,59,69,MIN,FC,Léo Demétrio
44,4,02:13,59,69,MAC,RD,Márcio
45,4,02:13,59,69,MIN,3_Pts_T,Léo Demétrio
46,4,02:23,59,69,MIN,LL_Pts_T,Léo Demétrio
47,4,02:23,59,69,MIN,LL_Pts_T,Léo Demétrio
48,4,02:23,59,69,MIN,substituicao_entra,Sosa
49,4,02:23,59,69,MIN,substituicao_sai,Coelho
50,4,02:23,59,69,MIN,FR,Léo Demétrio
51,4,02:23,59,69,MAC,FC_A,Maique
52,4,02:28,59,69,MIN,RO,Léo Demétrio
53,4,02:28,59,69,MIN,2_Pts_T,Simmons
54,4,02:51,59,69,MAC,EN,Maique
55,4,02:51,57,69,MAC,AS,Pedrinho Rava
56,4,03:03,57,69,MAC,RD,Maique
57,4,03:03,57,69,MIN,3_Pts_T,Simmons
58,4,03:22,57,69,MAC,LL_Pts_C,Pedrinho Rava
59,4,03:22,56,69,MAC,LL_Pts_C,Pedrinho Rava
60,4,03:22,55,69,MIN,tempo_tecnico,Minas
61,4,03:22,55,69,MAC,FR,Pedrinho Rava
62,4,03:22,55,69,MIN,FC,Coelho
63,4,03:22,55,69,MIN,substituicao_sai,Pedro Macedo
64,4,03:22,55,69,MIN,substituicao_entra,Siqueira
65,4,03:22,55,69,MIN,substituicao_sai,Sosa
66,4,03:22,55,69,MIN,substituicao_entra,Simmons
67,4,03:27,55,69,MIN,ER,
68,4,03:51,55,69,MIN,RD,Ansaloni
69,4,03:51,55,69,MAC,3_Pts_T,Mosso
70,4,04:09,55,69,MIN,2_Pts_C,Ansaloni
71,4,04:18,55,67,MIN,substituicao_entra,Ansaloni
72,4,04:18,55,67,MIN,substituicao_sai,Shilton
73,4,04:18,55,67,MAC,LL_Pts_C,Pedrinho Rava
74,4,04:18,54,67,MAC,FR,Pedrinho Rava
75,4,04:26,54,67,MAC,2_Pts_C,Pedrinho Rava
76,4,04:26,52,67,MAC,AS,Mosso
77,4,04:40,52,67,MIN,LL_Pts_C,Shilton
78,4,04:40,52,66,MIN,LL_Pts_C,Shilton
79,4,04:44,52,65,MIN,FR,Shilton
80,4,04:44,52,65,MAC,FC,Márcio
81,4,04:56,52,65,MIN,RO,Léo Demétrio
82,4,04:56,52,65,MIN,3_Pts_T,Sosa
83,4,05:17,52,65,MIN,BR,Minas
84,4,05:17,52,65,MAC,ER,Pedrinho Rava
85,4,05:35,52,65,MIN,3_Pts_C,Léo Demétrio
86,4,05:35,52,62,MIN,AS,Coelho
87,4,05:54,52,62,MIN,substituicao_entra,Léo Demétrio
88,4,05:54,52,62,MIN,substituicao_sai,Ansaloni
89,4,05:54,52,62,MAC,LL_Pts_C,Maique
90,4,06:02,51,62,MAC,EN,Maique
91,4,06:02,49,62,MAC,FR,Maique
92,4,06:02,49,62,MIN,FC,Coelho
93,4,06:15,49,62,MIN,substituicao_sai,Siqueira
94,4,06:15,49,62,MIN,substituicao_entra,Sosa
95,4,06:15,49,62,MAC,FR,Pedrinho Rava
96,4,06:15,49,62,MIN,FC_O,Shilton
97,4,06:33,49,62,MIN,RD,Minas
98,4,06:33,49,62,MIN,TO,Shilton
99,4,06:33,49,62,MAC,2_Pts_T,Márcio
100,4,06:48,49,62,MAC,RD,Mosso
101,4,06:48,49,62,MIN,3_Pts_T,Pedro Macedo
102,4,06:53,49,62,MAC,substituicao_entra,Henrique
103,4,06:53,49,62,MAC,substituicao_sai,Pablo
104,4,06:53,49,62,MIN,FR,Siqueira
105,4,06:53,49,62,MAC,FC,Pablo
106,4,07:09,49,62,MAC,2_Pts_C,Maique
107,4,07:09,47,62,MAC,AS,Pedrinho Rava
108,4,07:23,47,62,MAC,RO,Márcio
109,4,07:23,47,62,MAC,3_Pts_T,Mosso
110,4,07:29,47,62,MAC,FR,Mosso
111,4,07:29,47,62,MIN,FC,Pedro Macedo
112,4,07:41,47,62,MAC,RO,Mosso
113,4,07:41,47,62,MAC,2_Pts_T,Maique
114,4,07:50,47,62,MIN,LL_Pts_C,Shilton
115,4,07:50,47,61,MIN,LL_Pts_C,Shilton
116,4,07:53,47,60,MIN,FR,Shilton
117,4,07:53,47,60,MAC,FC,Maique
118,4,08:02,47,60,MAC,AS,Pedrinho Rava
119,4,08:06,47,60,MAC,substituicao_entra,Pablo
120,4,08:06,47,60,MAC,substituicao_sai,Henrique
121,4,08:10,47,60,MAC,3_Pts_C,Mosso
122,4,08:21,44,60,MAC,RO,Mosso
123,4,08:21,44,60,MIN,TO,Pedro Macedo
124,4,08:21,44,60,MAC,2_Pts_T,Maique
125,4,09:19,44,60,MIN,LL_Pts_C,Siqueira
126,4,09:22,44,59,MIN,2_Pts_C,Siqueira
127,4,09:22,44,57,MIN,FR,Siqueira
128,4,09:22,44,57,MAC,FC,Mosso
129,4,09:31,44,57,MIN,FR,Ansaloni
130,4,09:31,44,57,MAC,FC,Henrique
131,4,09:32,44,57,MIN,BR,Pedro Macedo
132,4,09:32,44,57,MAC,ER,Henrique
133,4,09:59,44,57,MIN,2_Pts_C,Coelho
134,4,09:59,44,55,MIN,RD,Shilton
135,4,09:59,44,55,MAC,2_Pts_T,Márcio
136,3,00:00,44,55, ,fim_quarto,
137,3,00:06,44,55,MAC,RO,Maique
138,3,00:06,44,55,MAC,2_Pts_T,Pedrinho Rava
139,3,00:16,44,55,MIN,2_Pts_C,Ansaloni
140,3,00:16,44,53,MIN,AS,Coelho
141,3,00:36,44,53,MIN,RD,Coelho
142,3,00:36,44,53,MAC,3_Pts_T,Henrique
143,3,00:43,44,53,MAC,RO,Maique
144,3,00:43,44,53,MAC,2_Pts_T,Maique
145,3,01:01,44,53,MAC,substituicao_entra,Mosso
146,3,01:01,44,53,MAC,substituicao_sai,Pablo
147,3,01:01,44,53,MIN,LL_Pts_C,Shilton
148,3,01:01,44,52,MIN,LL_Pts_C,Shilton
149,3,01:01,44,51,MIN,substituicao_entra,Siqueira
150,3,01:01,44,51,MIN,substituicao_sai,Sosa
151,3,01:01,44,51,MIN,FR,Shilton
152,3,01:01,44,51,MAC,FC,Pablo
153,3,01:15,44,51,MAC,LL_Pts_C,Pablo
154,3,01:15,43,51,MAC,LL_Pts_C,Pablo
155,3,01:15,42,51,MIN,substituicao_entra,Shilton
156,3,01:15,42,51,MIN,substituicao_sai,Léo Demétrio
157,3,01:15,42,51,MAC,FR,Pablo
158,3,01:15,42,51,MIN,FC,Léo Demétrio
159,3,01:24,42,51,MAC,BR,Macaé Basquete
160,3,01:24,42,51,MIN,ER,Coelho
161,3,01:45,42,51,MAC,2_Pts_C,Henrique
162,3,01:59,40,51,MAC,BR,Macaé Basquete
163,3,01:59,40,51,MIN,ER,Sosa
164,3,02:14,40,51,MIN,RD,Pedro Macedo
165,3,02:14,40,51,MAC,3_Pts_T,Henrique
166,3,02:28,40,51,MAC,FR,Pedrinho Rava
167,3,02:28,40,51,MIN,FC_O,Coelho
168,3,02:35,40,51,MIN,BR,Léo Demétrio
169,3,02:35,40,51,MAC,ER,Pablo
170,3,02:42,40,51,MIN,ER,Ansaloni
171,3,03:04,40,51,MIN,substituicao_entra,Coelho
172,3,03:04,40,51,MIN,substituicao_sai,Siqueira
173,3,03:04,40,51,MAC,tempo_tecnico,Macaé Basquete
174,3,03:04,40,51,MIN,RD,Minas
175,3,03:04,40,51,MAC,2_Pts_T,Pedrinho Rava
176,3,03:16,40,51,MIN,substituicao_sai,Simmons
177,3,03:16,40,51,MIN,substituicao_entra,Ansaloni
178,3,03:16,40,51,MIN,substituicao_entra,Pedro Macedo
179,3,03:16,40,51,MIN,substituicao_sai,Shilton
180,3,03:16,40,51,MAC,substituicao_entra,Maique
181,3,03:16,40,51,MAC,substituicao_sai,Mosso
182,3,03:16,40,51,MAC,FR,Márcio
183,3,03:16,40,51,MIN,FC,Siqueira
184,3,03:24,40,51,MAC,RO,Márcio
185,3,03:24,40,51,MAC,3_Pts_T,Mosso
186,3,03:38,40,51,MIN,2_Pts_C,Léo Demétrio
187,3,03:41,40,49,MIN,RO,Léo Demétrio
188,3,03:41,40,49,MIN,LL_Pts_T,Simmons
189,3,03:41,40,49,MIN,LL_Pts_T,Simmons
190,3,03:41,40,49,MIN,FR,Simmons
191,3,03:41,40,49,MAC,FC,Henrique
192,3,03:49,40,49,MIN,RD,Sosa
193,3,03:49,40,49,MAC,3_Pts_T,Mosso
194,3,03:51,40,49,MAC,FR,Márcio
195,3,03:51,40,49,MIN,FC,Siqueira
196,3,04:01,40,49,MAC,BR,Henrique
197,3,04:01,40,49,MIN,ER,Sosa
198,3,04:08,40,49,MIN,RD,Léo Demétrio
199,3,04:08,40,49,MAC,2_Pts_T,Márcio
200,3,04:25,40,49,MIN,LL_Pts_C,Léo Demétrio
201,3,04:25,40,48,MIN,LL_Pts_C,Léo Demétrio
202,3,04:25,40,47,MIN,FR,Léo Demétrio
203,3,04:25,40,47,MAC,FC,Pablo
204,3,04:31,40,47,MIN,RD,Siqueira
205,3,04:31,40,47,MAC,2_Pts_T,Pedrinho Rava
206,3,04:50,40,47,MIN,2_Pts_C,Simmons
207,3,05:08,40,45,MAC,3_Pts_C,Mosso
208,3,05:08,37,45,MAC,AS,Márcio
209,3,05:11,37,45,MAC,FR,Márcio
210,3,05:11,37,45,MIN,FC,Léo Demétrio
211,3,05:28,37,45,MIN,3_Pts_C,Sosa
212,3,05:37,37,42,MIN,RO,Minas
213,3,05:37,37,42,MIN,2_Pts_T,Siqueira
214,3,05:45,37,42,MIN,RD,Siqueira
215,3,05:45,37,42,MAC,2_Pts_T,Henrique
216,3,05:51,37,42,MAC,BR,Henrique
217,3,05:51,37,42,MIN,ER,Sosa
218,3,05:57,37,42,MIN,FR,Simmons
219,3,05:57,37,42,MAC,FC,Mosso
220,3,06:09,37,42,MIN,RD,Léo Demétrio
221,3,06:09,37,42,MAC,3_Pts_T,Mosso
222,3,06:26,37,42,MAC,RD,Márcio
223,3,06:26,37,42,MIN,3_Pts_T,Simmons
224,3,06:38,37,42,MAC,EN,Márcio
225,3,06:38,35,42,MAC,AS,Pedrinho Rava
226,3,06:48,35,42,MIN,substituicao_sai,Coelho
227,3,06:48,35,42,MIN,substituicao_entra,Siqueira
228,3,06:50,35,42,MIN,LL_Pts_C,Coelho
229,3,06:50,35,41,MIN,LL_Pts_C,Coelho
230,3,06:53,35,40,MIN,FR,Coelho
231,3,06:53,35,40,MAC,FC,Henrique
232,3,06:58,35,40,MIN,RD,Coelho
233,3,06:58,35,40,MAC,2_Pts_T,Pablo
234,3,07:06,35,40,MAC,RO,Pablo
235,3,07:06,35,40,MAC,2_Pts_T,Mosso
236,3,07:21,35,40,MIN,3_Pts_C,Sosa
237,3,07:21,35,37,MIN,AS,Coelho
238,3,07:26,35,37,MIN,BR,Léo Demétrio
239,3,07:26,35,37,MAC,ER,Márcio
240,3,07:42,35,37,MAC,RD,Henrique
241,3,07:42,35,37,MIN,2_Pts_T,Sosa
242,3,07:55,35,37,MIN,FR,Coelho
243,3,07:55,35,37,MAC,FC_O,Márcio
244,3,08:11,35,37,MIN,2_Pts_C,Léo Demétrio
245,3,08:16,35,35,MIN,RO,Léo Demétrio
246,3,08:16,35,35,MIN,2_Pts_T,Shilton
247,3,08:32,35,35,MAC,LL_Pts_C,Márcio
248,3,08:32,34,35,MAC,LL_Pts_C,Márcio
249,3,08:35,33,35,MAC,FR,Márcio
250,3,08:35,33,35,MIN,FC,Simmons
251,3,08:51,33,35,MIN,2_Pts_C,Léo Demétrio
252,3,08:56,33,33,MIN,RO,Léo Demétrio
253,3,08:56,33,33,MIN,3_Pts_T,Coelho
254,3,09:20,33,33,MAC,2_Pts_C,Márcio
255,3,09:20,31,33,MAC,AS,Mosso
256,3,09:43,31,33,MAC,RD,Márcio
257,3,09:43,31,33,MIN,2_Pts_T,Léo Demétrio
258,2,00:00,31,33, ,fim_quarto,
259,2,00:02,31,33,MAC,LL_Pts_T,Márcio
260,2,00:02,31,33,MAC,LL_Pts_C,Márcio
261,2,00:02,30,33,MAC,FR,Márcio
262,2,00:12,30,33,MAC,3_Pts_T,Márcio
263,2,00:18,30,33,MAC,substituicao_entra,Márcio
264,2,00:18,30,33,MAC,substituicao_sai,Maique
265,2,00:18,30,33,MAC,substituicao_entra,Pedrinho Rava
266,2,00:18,30,33,MAC,substituicao_sai,Tadeu
267,2,00:18,30,33,MIN,substituicao_sai,Ansaloni
268,2,00:18,30,33,MIN,substituicao_entra,Rafael
269,2,00:18,30,33,MIN,substituicao_sai,Simmons
270,2,00:18,30,33,MIN,substituicao_entra,Coelho
271,2,00:18,30,33,MAC,tempo_tecnico,Macaé Basquete
272,2,00:18,30,33,MIN,ER,
273,2,00:30,30,33,MAC,substituicao_sai,Pablo
274,2,00:30,30,33,MAC,substituicao_entra,Tadeu
275,2,00:30,30,33,MAC,substituicao_entra,Matheuzinho
276,2,00:30,30,33,MAC,substituicao_sai,Pedrinho Rava
277,2,00:39,30,33,MIN,tempo_tecnico,Minas
