,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,84,82, ,fim_partida,
1,4,00:01,84,82,PAU,RD,Gruber
2,4,00:01,84,82,MAC,3_Pts_T,Eddy
3,4,00:04,84,82,MAC,substituicao_entra,Matheus Fontes
4,4,00:04,84,82,MAC,substituicao_sai,Cintra
5,4,00:04,84,82,PAU,substituicao_entra,Gruber
6,4,00:04,84,82,PAU,substituicao_sai,Caio Torres
7,4,00:04,84,82,PAU,substituicao_entra,Arthur Pecos
8,4,00:04,84,82,PAU,substituicao_sai,Dawkins
9,4,00:04,84,82,MAC,tempo_tecnico,Macaé Basquete
10,4,00:04,84,82,PAU,LL_Pts_C,Caio Torres
11,4,00:04,83,82,PAU,LL_Pts_T,Caio Torres
12,4,00:04,83,82,MAC,substituicao_entra,Pedrinho Rava
13,4,00:04,83,82,MAC,substituicao_sai,Pablo
14,4,00:04,83,82,PAU,FR,Caio Torres
15,4,00:04,83,82,MAC,FC,Cintra
16,4,00:13,83,82,MAC,substituicao_entra,Cintra
17,4,00:13,83,82,MAC,substituicao_sai,Matheus Fontes
18,4,00:13,83,82,MAC,LL_Pts_C,Matheus Fontes
19,4,00:13,83,81,MAC,LL_Pts_C,Matheus Fontes
20,4,00:13,83,80,MAC,substituicao_entra,Pablo
21,4,00:13,83,80,MAC,substituicao_sai,Pedrinho Rava
22,4,00:13,83,80,MAC,FR,Matheus Fontes
23,4,00:13,83,80,PAU,FC,Caio Torres
24,4,00:18,83,80,MAC,RO,Matheus Fontes
25,4,00:18,83,80,MAC,3_Pts_T,Márcio
26,4,00:40,83,80,PAU,LL_Pts_C,Jhonatan
27,4,00:40,82,80,PAU,LL_Pts_C,Jhonatan
28,4,00:40,81,80,PAU,FR,Jhonatan
29,4,00:40,81,80,MAC,FC,Matheus Fontes
30,4,00:53,81,80,MAC,2_Pts_C,Mosso
31,4,00:53,81,78,MAC,AS,Pedrinho Rava
32,4,01:07,81,78,MAC,LL_Pts_C,Pedrinho Rava
33,4,01:07,81,77,MAC,LL_Pts_C,Pedrinho Rava
34,4,01:07,81,76,MAC,substituicao_entra,Márcio
35,4,01:07,81,76,MAC,substituicao_sai,Pablo
36,4,01:07,81,76,PAU,substituicao_entra,Jhonatan
37,4,01:07,81,76,PAU,substituicao_sai,Gruber
38,4,01:07,81,76,MAC,FR,Pedrinho Rava
39,4,01:07,81,76,PAU,FC_A,Dawkins
40,4,01:07,81,76,PAU,FR,Dawkins
41,4,01:07,81,76,MAC,FC,Pedrinho Rava
42,4,01:14,81,76,PAU,substituicao_entra,Caio Torres
43,4,01:14,81,76,PAU,substituicao_sai,Toyloy
44,4,01:14,81,76,PAU,substituicao_entra,Dawkins
45,4,01:14,81,76,PAU,substituicao_sai,Arthur Pecos
46,4,01:17,81,76,PAU,tempo_tecnico,Paulistano
47,4,01:17,81,76,MAC,2_Pts_C,Mosso
48,4,01:32,81,74,MAC,BR,Matheus Fontes
49,4,01:32,81,74,PAU,ER,Arthur Pecos
50,4,01:49,81,74,MAC,LL_Pts_C,Eddy
51,4,01:49,81,73,MAC,LL_Pts_C,Eddy
52,4,01:49,81,72,MAC,FR,Eddy
53,4,01:49,81,72,PAU,FC,Toyloy
54,4,01:57,81,72,MAC,RD,Matheus Fontes
55,4,01:57,81,72,PAU,2_Pts_T,Toyloy
56,4,02:18,81,72,PAU,RD,Toyloy
57,4,02:18,81,72,MAC,3_Pts_T,Pedrinho Rava
58,4,02:21,81,72,PAU,substituicao_entra,Gemerson
59,4,02:21,81,72,PAU,substituicao_sai,Jhonatan
60,4,02:35,81,72,PAU,ER,Toyloy
61,4,02:47,81,72,MAC,substituicao_entra,Pablo
62,4,02:47,81,72,MAC,substituicao_sai,Márcio
63,4,02:47,81,72,PAU,FR,Valtinho
64,4,02:47,81,72,MAC,FC,Eddy
65,4,02:56,81,72,PAU,RD,Toyloy
66,4,02:56,81,72,PAU,TO,Gruber
67,4,02:56,81,72,MAC,3_Pts_T,Márcio
68,4,03:06,81,72,PAU,substituicao_entra,Toyloy
69,4,03:06,81,72,PAU,substituicao_sai,Caio Torres
70,4,03:06,81,72,PAU,LL_Pts_C,Jhonatan
71,4,03:06,80,72,PAU,LL_Pts_C,Jhonatan
72,4,03:06,79,72,PAU,substituicao_entra,Valtinho
73,4,03:06,79,72,PAU,substituicao_sai,Dawkins
74,4,03:06,79,72,PAU,FR,Jhonatan
75,4,03:06,79,72,MAC,FC,Márcio
76,4,03:33,79,72,MAC,3_Pts_C,Pedrinho Rava
77,4,03:44,79,69,MAC,RD,Mosso
78,4,03:44,79,69,PAU,2_Pts_T,Caio Torres
79,4,04:05,79,69,MAC,substituicao_entra,Matheus Fontes
80,4,04:05,79,69,MAC,substituicao_sai,Murilo
81,4,04:12,79,69,PAU,RD,Paulistano
82,4,04:12,79,69,MAC,3_Pts_T,Murilo
83,4,04:21,79,69,MAC,substituicao_entra,Pedrinho Rava
84,4,04:21,79,69,MAC,substituicao_sai,Caleb Brown
85,4,04:21,79,69,PAU,substituicao_entra,Arthur Pecos
86,4,04:21,79,69,PAU,substituicao_sai,Valtinho
87,4,04:21,79,69,PAU,substituicao_entra,Gruber
88,4,04:21,79,69,PAU,substituicao_sai,Gemerson
89,4,04:21,79,69,MAC,FR,Caleb Brown
90,4,04:21,79,69,PAU,FC,Dawkins
91,4,04:26,79,69,MAC,RD,Eddy
92,4,04:26,79,69,PAU,3_Pts_T,Gemerson
93,4,04:39,79,69,PAU,BR,Paulistano
94,4,04:39,79,69,MAC,ER,Murilo
95,4,04:52,79,69,MAC,substituicao_entra,Murilo
96,4,04:52,79,69,MAC,substituicao_sai,Pedrinho Rava
97,4,04:52,79,69,MAC,FR,Mosso
98,4,04:52,79,69,PAU,FC,Jhonatan
99,4,05:03,79,69,MAC,RD,Mosso
100,4,05:03,79,69,PAU,3_Pts_T,Caio Torres
101,4,05:19,79,69,PAU,RD,Paulistano
102,4,05:19,79,69,MAC,3_Pts_T,Caleb Brown
103,4,05:35,79,69,PAU,2_Pts_C,Caio Torres
104,4,05:35,77,69,PAU,AS,Valtinho
105,4,05:59,77,69,MAC,LL_Pts_C,Caleb Brown
106,4,05:59,77,68,MAC,LL_Pts_T,Caleb Brown
107,4,05:59,77,68,MAC,FR,Caleb Brown
108,4,05:59,77,68,PAU,FC,Caio Torres
109,4,06:14,77,68,MAC,tempo_tecnico,Macaé Basquete
110,4,06:14,77,68,PAU,3_Pts_C,Jhonatan
111,4,06:14,74,68,PAU,AS,Dawkins
112,4,06:29,74,68,PAU,RD,Valtinho
113,4,06:29,74,68,MAC,3_Pts_T,Eddy
114,4,06:52,74,68,PAU,2_Pts_C,Gemerson
115,4,07:04,72,68,PAU,RD,Jhonatan
116,4,07:04,72,68,MAC,2_Pts_T,Márcio
117,4,07:08,72,68,MAC,RO,Márcio
118,4,07:08,72,68,MAC,2_Pts_T,Márcio
119,4,07:27,72,68,PAU,3_Pts_C,Valtinho
120,4,07:46,69,68,MAC,2_Pts_C,Mosso
121,4,07:46,69,66,MAC,AS,Caleb Brown
122,4,07:59,69,66,MAC,FR,Pedrinho Rava
123,4,07:59,69,66,PAU,FC,Valtinho
124,4,08:18,69,66,PAU,2_Pts_C,Dawkins
125,4,08:24,67,66,PAU,RD,Gemerson
126,4,08:24,67,66,MAC,2_Pts_T,Márcio
127,4,08:35,67,66,MAC,substituicao_entra,Eddy
128,4,08:35,67,66,MAC,substituicao_sai,Matheus Fontes
129,4,08:35,67,66,PAU,LL_Pts_C,Valtinho
130,4,08:35,66,66,PAU,LL_Pts_T,Valtinho
131,4,08:35,66,66,PAU,FR,Valtinho
132,4,08:35,66,66,MAC,FC,Pedrinho Rava
133,4,08:50,66,66,MAC,2_Pts_C,Mosso
134,4,09:09,66,64,PAU,2_Pts_C,Caio Torres
135,4,09:17,64,64,PAU,RO,Caio Torres
136,4,09:17,64,64,PAU,2_Pts_T,Jhonatan
137,4,09:23,64,64,PAU,RO,Jhonatan
138,4,09:23,64,64,PAU,3_Pts_T,Gemerson
139,4,09:44,64,64,MAC,2_Pts_C,Caleb Brown
140,3,00:00,64,62, ,fim_quarto,
141,3,00:04,64,62,PAU,RD,Arthur Pecos
142,3,00:04,64,62,MAC,2_Pts_T,Márcio
143,3,00:08,64,62,PAU,substituicao_entra,Guilherme
144,3,00:08,64,62,PAU,substituicao_sai,Gruber
145,3,00:08,64,62,PAU,substituicao_entra,Victão
146,3,00:08,64,62,PAU,substituicao_sai,Toyloy
147,3,00:08,64,62,MAC,substituicao_entra,Caleb Brown
