,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,76,78, ,fim_partida,
1,4,00:04,76,78,VIT,2_Pts_C,Calvo
2,4,00:04,76,76,VIT,AS,Jason Smith
3,4,00:04,76,76,FRA,LL_Pts_C,Isaac
4,4,00:04,75,76,FRA,LL_Pts_C,Isaac
5,4,00:04,74,76,FRA,substituicao_entra,Antonio
6,4,00:04,74,76,FRA,substituicao_sai,Cassiano
7,4,00:04,74,76,VIT,substituicao_sai,Edu
8,4,00:04,74,76,VIT,substituicao_entra,Nilson
9,4,00:04,74,76,FRA,FR,Isaac
10,4,00:04,74,76,VIT,FC,Calvo
11,4,00:05,74,76,FRA,substituicao_entra,Cassiano
12,4,00:05,74,76,FRA,substituicao_sai,Matheus
13,4,00:05,74,76,VIT,FR,Calvo
14,4,00:05,74,76,FRA,FC,Matheus
15,4,00:06,74,76,FRA,tempo_tecnico,Franca
16,4,00:06,74,76,FRA,FR,Bruno
17,4,00:06,74,76,VIT,FC,Calvo
18,4,00:10,74,76,FRA,FR,Kurtz
19,4,00:10,74,76,VIT,FC,Renan
20,4,00:13,74,76,VIT,LL_Pts_C,Calvo
21,4,00:13,74,75,VIT,LL_Pts_T,Calvo
22,4,00:15,74,75,VIT,substituicao_sai,Nilson
23,4,00:15,74,75,VIT,substituicao_entra,Edu
24,4,00:15,74,75,VIT,FR,Jason Smith
25,4,00:15,74,75,FRA,FC,Schneider
26,4,00:25,74,75,FRA,ER,Matheus
27,4,00:33,74,75,FRA,RO,Schneider
28,4,00:33,74,75,FRA,3_Pts_T,Matheus
29,4,00:56,74,75,VIT,2_Pts_C,Renan
30,4,00:56,74,73,VIT,AS,Kojo
31,4,01:16,74,73,VIT,RD,Kojo
32,4,01:16,74,73,FRA,2_Pts_T,Matheus
33,4,01:36,74,73,FRA,RD,Kurtz
34,4,01:36,74,73,VIT,3_Pts_T,Jason Smith
35,4,01:50,74,73,VIT,RD,Renan
36,4,01:50,74,73,FRA,3_Pts_T,Isaac
37,4,02:04,74,73,VIT,3_Pts_C,Jason Smith
38,4,02:17,74,70,VIT,BR,Nilson
39,4,02:17,74,70,FRA,ER,Bruno
40,4,02:43,74,70,FRA,RD,Kurtz
41,4,02:43,74,70,VIT,LL_Pts_T,Kojo
42,4,02:43,74,70,VIT,LL_Pts_C,Kojo
43,4,02:43,74,69,FRA,substituicao_entra,Matheus
44,4,02:43,74,69,FRA,substituicao_sai,Cassiano
45,4,02:43,74,69,FRA,tempo_tecnico,Franca
46,4,02:43,74,69,VIT,FR,Kojo
47,4,02:43,74,69,FRA,FC,Kurtz
48,4,02:58,74,69,FRA,substituicao_entra,Schneider
49,4,02:58,74,69,FRA,substituicao_sai,Antonio
50,4,02:58,74,69,FRA,ER,Antonio
51,4,03:14,74,69,VIT,2_Pts_C,Calvo
52,4,03:14,74,67,VIT,AS,Kojo
53,4,03:24,74,67,VIT,BR,Nilson
54,4,03:24,74,67,FRA,ER,Cassiano
55,4,03:35,74,67,FRA,FR,Isaac
56,4,03:35,74,67,VIT,FC_O,Nilson
57,4,03:46,74,67,FRA,2_Pts_C,Bruno
58,4,04:03,72,67,VIT,3_Pts_C,Jason Smith
59,4,04:12,72,64,VIT,FR,Renan
60,4,04:12,72,64,FRA,FC_O,Kurtz
61,4,04:33,72,64,FRA,RD,Bruno
62,4,04:33,72,64,VIT,3_Pts_T,Kojo
63,4,04:53,72,64,VIT,RD,Renan
64,4,04:53,72,64,FRA,2_Pts_T,Antonio
65,4,05:03,72,64,FRA,RD,Antonio
66,4,05:03,72,64,VIT,2_Pts_T,Renan
67,4,05:08,72,64,VIT,RO,Renan
68,4,05:08,72,64,VIT,2_Pts_T,Nilson
69,4,05:28,72,64,VIT,tempo_tecnico,Vitória
70,4,05:28,72,64,FRA,ER,Bruno
