,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,78,71, ,fim_partida,
1,4,00:03,78,71,CEA,LL_Pts_C,Toledo
2,4,00:03,77,71,CEA,LL_Pts_T,Toledo
3,4,00:03,77,71,CEA,FR,Toledo
4,4,00:03,77,71,MIN,FC,Rodgers
5,4,00:04,77,71,MIN,2_Pts_C,Paulinho Boracini
6,4,00:07,77,69,CEA,LL_Pts_C,Duda
7,4,00:07,76,69,CEA,LL_Pts_C,Duda
8,4,00:07,75,69,CEA,FR,Duda
9,4,00:07,75,69,MIN,FC,Matheus P
10,4,00:07,75,69,MIN,AS,Rodgers
11,4,00:07,75,69,MIN,2_Pts_C,Paulinho Boracini
12,4,00:11,75,67,CEA,substituicao_entra,Audrei
13,4,00:11,75,67,CEA,substituicao_sai,Lima
14,4,00:11,75,67,MIN,substituicao_entra,Paulinho Boracini
15,4,00:11,75,67,MIN,substituicao_sai,Xande
16,4,00:11,75,67,MIN,tempo_tecnico,Minas
17,4,00:11,75,67,MIN,RD,Minas
18,4,00:13,75,67,CEA,2_Pts_T,Lima
19,4,00:37,75,67,MIN,substituicao_entra,Xande
20,4,00:37,75,67,MIN,substituicao_sai,Paulinho Boracini
21,4,00:37,75,67,CEA,tempo_tecnico,Basq Cearense
22,4,00:37,75,67,MIN,AS,Mosso
23,4,00:37,75,67,MIN,2_Pts_C,Rodgers
24,4,00:39,75,65,MIN,BR,Mosso
25,4,00:41,75,65,CEA,ER,Duda
26,4,01:06,75,65,CEA,substituicao_entra,Sualisson
27,4,01:06,75,65,CEA,substituicao_sai,Gruber
28,4,01:06,75,65,CEA,substituicao_entra,Lima
29,4,01:06,75,65,CEA,substituicao_sai,Audrei
30,4,01:06,75,65,MIN,ER,Siqueira
31,4,01:19,75,65,CEA,AS,Duda
32,4,01:21,75,65,CEA,2_Pts_C,Toledo
33,4,01:44,73,65,MIN,3_Pts_C,Paulinho Boracini
34,4,01:44,73,62,MIN,substituicao_entra,Matheus P
35,4,01:44,73,62,MIN,substituicao_sai,Wesley
36,4,01:48,73,62,CEA,substituicao_entra,Audrei
37,4,01:48,73,62,CEA,substituicao_sai,Lima
38,4,01:48,73,62,MIN,FR,Wesley
39,4,01:48,73,62,CEA,FC,Gruber
40,4,01:48,73,62,CEA,RD,Gruber
41,4,01:49,73,62,MIN,2_Pts_T,Rodgers
42,4,01:55,73,62,MIN,RD,Rodgers
43,4,01:57,73,62,CEA,2_Pts_T,Gruber
44,4,02:14,73,62,MIN,AS,Rodgers
45,4,02:17,73,62,MIN,2_Pts_C,Wesley
