,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,80,64,,fim_partida,
1,4,00:20,80,64,CAX,RD,Cauê B
2,4,00:26,80,64,BOT,3_Pts_T,Tatum
3,4,00:37,80,64,CAX,AS,Warren
4,4,00:37,80,64,CAX,3_Pts_C,Cauê B
5,4,00:42,77,64,CAX,BR,Cafferata
6,4,00:42,77,64,BOT,ER,Jamaal
7,4,00:53,77,64,BOT,FR,Jamaal
8,4,00:53,77,64,CAX,FC,Cafferata
9,4,01:01,77,64,CAX,AS,Warren
10,4,01:01,77,64,CAX,LL_Pts_C,Marcão
11,4,01:01,76,64,CAX,LL_Pts_C,Marcão
12,4,01:01,75,64,BOT,substituicao_entra,Átila
13,4,01:01,75,64,BOT,substituicao_sai,R Bahia
14,4,01:01,75,64,CAX,FR,Marcão
15,4,01:01,75,64,BOT,FC,R Bahia
16,4,01:13,75,64,CAX,RO,Cauê B
17,4,01:16,75,64,CAX,3_Pts_T,Warren
18,4,01:34,75,64,CAX,RD,Cauê B
19,4,01:40,75,64,BOT,2_Pts_T,Roberto
20,4,01:59,75,64,BOT,RD,Roberto
21,4,02:00,75,64,CAX,LL_Pts_T,Cauê B
22,4,02:00,75,64,CAX,LL_Pts_C,Cauê B
23,4,02:00,74,64,CAX,FR,Cauê B
24,4,02:00,74,64,BOT,FC,R Bahia
25,4,02:18,74,64,BOT,2_Pts_C,Roberto
26,4,02:44,74,62,CAX,2_Pts_C,Marcão
27,4,03:02,72,62,BOT,2_Pts_C,Tatum
28,4,03:16,72,60,BOT,RD,R Bahia
29,4,03:20,72,60,CAX,2_Pts_T,Warren
30,4,03:43,72,60,BOT,LL_Pts_C,Gabriel
31,4,03:43,72,59,BOT,FR,Gabriel
32,4,03:43,72,59,CAX,FC,Warren
33,4,03:43,72,59,BOT,2_Pts_C,Gabriel
34,4,03:58,72,57,CAX,LL_Pts_C,Alex
35,4,03:58,71,57,BOT,substituicao_entra,Roberto
36,4,03:58,71,57,BOT,substituicao_sai,Coimbra
